update,policy_loss,value_loss,entropy_sum,entropy_mean,approx_KL,clip_fraction,grad_norm,explained_variance
0,-0.005787040238510035,0.9962432256857688,68.95144165789002,2.360183812507252,0.0038201884012308038,0.0377576104525862,0.19875850481912494,-2.7836232161737584e-05
1,-0.002310406956596992,12.877029136072725,69.78634592094298,2.405968928727691,0.0010570745442488134,0.0010270743534482759,2.7427003979682922,0.0031697372703147764
2,-0.003143150146745346,1.3632183460872929,85.06938897315734,2.8466418558753754,0.0013921833802857594,0.0025929418103448273,0.6333810854703188,-0.0020982846957313672
3,-0.006893358080258716,3.4042662322111577,93.30031522395538,3.0661561825093893,0.002666652828338556,0.023100754310344827,1.1978404223918915,-0.0016930496896985225
4,-0.001250138132694827,22.121524940087227,60.072939184544495,2.080172822605979,0.0006890518170307744,0.00026939655172413793,2.9425561279058456,0.0015794113795530862
5,-0.003962001946468984,14.550440275593967,64.10843892466148,2.21469545817095,0.0009621196388315152,0.0015658674568965517,2.5091972202062607,0.001518518524723067
6,-0.00876411284421569,14.105991034518702,58.66118487063795,2.0338999088381913,0.009096294804325665,0.1329724542025862,3.661353677511215,0.0020033931213091494
7,-0.004536510401059221,10.6999138391634,83.86403020297915,2.769614113444575,0.0053694013361658514,0.06632206357758622,5.021007090806961,-0.001607065951410247
8,-0.005897158315551208,4.990383606622595,79.83706203877026,2.6470123128995606,0.004034581064780499,0.04326340247844827,2.549850419163704,0.0002608954561734711
9,-0.005321418098365539,30.842568601462354,69.34479580310591,2.352841358536509,0.001962739077561278,0.014749461206896552,10.956820130348206,0.0027954851588823937
10,-0.00276872433397067,5.971557042424854,67.03835145854552,2.258560014031085,0.007955647950815357,0.11107556573275862,10.066791296005249,-0.0010817246229393174
