update,policy_loss,value_loss,entropy_sum,entropy_mean,approx_KL,clip_fraction,grad_norm,explained_variance
0,-0.00046609326949201627,6516.101755322086,11.584299712696268,0.7584322334688326,0.0004086063392982208,0.0,97.01416254043579,-6.631568681747524e-06
1,-0.0015930094280006725,2542.981169476773,17.31636883552961,1.4746248108296705,0.0008354825333989193,0.0007829337284482759,75.70592927932739,8.02894763413109e-05
2,-0.0036991594872335617,6111.1548158484675,12.64299289215053,0.8514924475341167,0.0039202553708836884,0.04814621497844827,250.4344663619995,0.00029078508151236804
3,-0.001273262964597985,3823.5431637889624,16.070803578911903,1.2033293614856653,0.0048539359970540125,0.06455414870689655,635.0856285095215,0.0020236200786020175
4,-0.0005832393767024827,4939.659466879627,13.552412742820612,0.8973220753437561,0.006574909059493401,0.0874865301724138,2190.933250427246,0.012052072872894115
5,-0.0011912189161345883,1732.0607909595315,17.46563245922102,1.3708027902799773,0.002199571076399197,0.021206559806034482,3056.7191162109375,0.01087897142367844
6,0.0002615128495541553,894.9749179761255,16.896456423469978,1.2954877855040807,0.002823650099313015,0.02994511045258621,3778.4840869903564,-0.0006060948760930884
7,0.02514759814839694,574.4909204446265,17.210136004212785,1.3223102687977095,0.030958844085348415,0.2732775457974138,4963.268310546875,-0.6686645487390273
8,0.0030893105864195063,772.9972851449844,16.48717368067722,1.1468141277772044,0.0070485325499060406,0.0945581896551724,7703.0768394470215,-0.9515928985295914
9,0.002261457824049322,711.2343033415018,14.116473226349878,0.9379468469757017,0.006106660732445468,0.07203832165948276,7980.982843399048,-1.069305133172647
10,0.008608179562648584,896.1550333077369,14.540685733866573,0.9676933209690607,0.012990383436082428,0.1802178744612069,9757.697059631348,-1.4854349780803195
11,0.008007266175670323,977.9371148272184,11.079346670954816,0.7111596735089891,0.015975367182144165,0.1381330818965517,11153.276714324951,-1.896413682764729
12,0.0030060114694807853,712.1933675548471,15.49495340581002,1.069045253143674,0.006319957573302009,0.07028724407327586,4186.089202880859,-3.903983919004009
13,0.008627066258122599,487.3236625117151,16.071878235712887,1.1127176970129735,0.020193893363566844,0.20774683459051724,4017.6140632629395,-5.067676953468368
14,0.05203537097830578,426.0299786699432,18.74572712754638,1.4027133488067067,0.08518495977327331,0.37175882273706895,3538.2382793426514,-3.036507625955851
15,0.032476557531000164,401.741756251299,15.451387243259072,1.1412982322331273,0.057164033888605845,0.3363415948275862,2755.082670211792,-3.5286061521723724
