update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals
0,4860.729063158588,38.28813058330143,0.9805865344898802,0.00950020652622883,0.00784799669558034,0,17.31811844639973,0.880769855425721,0.935476762485036,2421
1,3029.716020125364,28.040709507074695,0.8563365828630066,0.08517188301693177,0.05489994869163674,0,2.7462668823236176,0.8748673271480154,0.7376472946530588,1949
2,4726.643364717696,37.74846579228996,0.9687630154102457,0.012078300708038317,0.01749271137026239,0,10.040412743974274,0.8969711163422501,0.9264752271395384,2401
3,3832.2381144298556,32.57246912485757,0.9197936210131332,0.04455909943714822,0.03330206378986867,0,3.615918568651658,0.8936293490667325,0.8401350731316736,2132
4,4613.072852706884,37.1222724360688,0.9664970313825275,0.02205258693808312,0.011450381679389313,0,9.58891196646452,0.8795814262599031,0.898060163208755,2358
5,3436.496724499755,30.354017859654356,0.8921471172962226,0.059145129224652086,0.04671968190854871,0,4.890476602873159,0.8758611664367785,0.7981884775331816,2012
6,3568.447307058693,30.561868371481737,0.9083333333333333,0.05,0.0392156862745098,0,4.406384289082865,0.8638447883230315,0.8278329811650489,2040
7,3527.6645998100416,31.16145376536447,0.8900096061479347,0.053314121037463975,0.05427473583093179,0,5.198307786832881,0.8616022470838502,0.7996023096463539,2082
8,4033.1552062092574,33.444143436972816,0.9377880184331797,0.03732718894009217,0.022119815668202765,0,9.491174022709174,0.8566942569390665,0.8665463802446765,2170
9,4540.980152030568,35.96799169656599,0.9739470256187581,0.02127659574468085,0.004342162396873643,0,10.272614209621223,0.8544132748469743,0.925433629337079,2303
10,4766.763025646427,38.73935229549899,0.9594320486815415,0.025557809330628803,0.01460446247464503,0,21.356787694924456,0.8633326220233313,0.8969347600822767,2465
11,5084.935446819167,39.24865939304083,0.9947874899759422,0.002004811547714515,0.002004811547714515,0,31.223576902135374,0.8393915767914828,0.9625585817414034,2494
12,4374.8661635734925,35.46144459212535,0.9583333333333334,0.027039007092198582,0.012411347517730497,0,17.12536550813343,0.8570689168081188,0.8997076675594836,2256
13,4204.750148394468,34.29265323849991,0.9509536784741145,0.024069028156221618,0.022706630336058128,0,16.750590857288035,0.8510128170494468,0.9035170050268644,2202
14,3412.772033044576,29.958457862182755,0.8919186911254338,0.07882994546355974,0.02478929102627665,0,13.264485619136115,0.8724694058413566,0.757219820185482,2017
15,4116.480868215298,34.35005104687471,0.9324932493249325,0.03555355535553555,0.029252925292529253,0,14.43600204982735,0.8810929590315617,0.8694958243840728,2222
16,3452.4231301244836,30.235049423862428,0.8917322834645669,0.05511811023622047,0.04773622047244094,0,6.351842833255203,0.8712220838007796,0.8123628323240265,2032
17,3486.7968794783264,31.032112394923896,0.8802980903586399,0.040987424312994875,0.0759198882161155,0,8.489766205856979,0.8754127064821753,0.78506533959575,2147
18,3733.3844923825677,31.817245048969596,0.910075329566855,0.04048964218455744,0.046139359698681735,0,7.203910318918569,0.8560990078687603,0.8463533711272169,2124
19,4726.195964097576,37.367687566402836,0.9768128161888702,0.011382799325463743,0.01011804384485666,0,6.2333046687095495,0.8555771964748765,0.9443236325422628,2372
20,4667.557887280169,37.18410647763121,0.9692890197728229,0.013041649137568364,0.01724863273033235,0,13.011184421450315,0.8672015645313371,0.9308282530297426,2377
21,4301.39687354757,35.029608407221914,0.9474605954465849,0.016637478108581436,0.03415061295971979,0,10.104888879064983,0.8683195670474191,0.9028840543729264,2284
22,3884.0559842288276,32.465987318206196,0.9275634995296331,0.03339604891815616,0.03574788334901223,0,7.029769753947503,0.8515709763048719,0.874141852057851,2126
23,4657.3970521881865,37.15445329947805,0.9717586649550706,0.008985879332477536,0.017115960633290545,0,7.475610621710839,0.8774338810447135,0.9502055620759728,2337
24,4738.583641598655,37.77325648307612,0.9704781704781705,0.016216216216216217,0.011642411642411643,0,12.052302538340747,0.8483951133252993,0.9310140077704823,2405
