update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth
0,7358.034901169197,65.54333056241876,0.843213058419244,0.13466494845360824,0.020833333333333332,0,20.960942476578715,1.0,0.7355710420860238,4656,20,17.715005084939897,3.779726567631691
1,7667.431598632365,69.41134290085019,0.8292828685258964,0.12410358565737052,0.04302788844621514,0,14.29678094939359,1.0,0.7414104782977605,5020,22,19.512842939025468,3.831791979748574
2,6019.586275045305,66.88825806698884,0.7177042437838849,0.2482707048046364,0.030659936436717144,0,16.86855230656855,1.0,0.6582675484392004,5349,28,18.00649250535391,3.9069637374674273
3,6888.976618216242,73.04244964170395,0.7407276580713529,0.22377251854468386,0.033910279053338044,0,11.742360480691103,1.0,0.7125308979885924,5662,30,18.250114482349236,3.9221562172422835
4,8556.51749591092,69.5491416921172,0.9170106452313709,0.06430588746469694,0.01716271996524006,0,17.055718807122425,1.0,0.8356492340975504,4603,18,17.78964979052596,3.591672850892724
5,7719.523917144977,66.57922238006405,0.8659749243406831,0.09792477302204929,0.033938607868568955,0,10.328828606665095,1.0,0.7839056156971287,4626,20,17.558604538562438,3.8166811797021927
6,7096.30849249909,58.21775310403649,0.9096573208722741,0.07165109034267912,0.01791277258566978,0,10.436381574930563,1.0,0.8512845136710643,3852,16,19.43081881436943,3.583681552242945
7,3970.010221833447,46.211309690668436,0.6985834207764953,0.23294858342077648,0.06505771248688352,0,3.3224701251499993,1.0,0.6688363500058423,3812,21,16.846426299217686,3.9015630154480077
8,5976.305857278375,66.8572386055454,0.7158753709198813,0.24387982195845698,0.037091988130563795,0,7.9348556237047285,1.0,0.6992618905109796,5392,30,18.702445825282535,3.948183273666636
9,11833.141780474136,95.3010341033831,0.9182409906334339,0.05731068423559295,0.022860771551039848,0,14.003959436766522,1.0,0.853838715740933,6299,25,18.924356563055127,3.8132758888016114
10,7529.821501713138,68.80842118091704,0.8241605404331412,0.11543810848400557,0.058215775879197296,0,9.50946227559024,1.0,0.7415883105930337,5033,23,18.634617545339307,3.8981023860086457
11,5937.845433498267,64.03786799794466,0.7345691185170578,0.21001774797870243,0.053046736343916386,0,12.091412906323434,1.0,0.6721255272785088,5071,26,16.852879545205568,3.928049461352283
12,5289.8145124234725,55.53688951992755,0.7520125223613596,0.1945438282647585,0.050983899821109124,0,9.657529744909718,1.0,0.6330701521540141,4472,23,15.882014715800517,3.903118364226363
13,5901.225240125778,53.20583787084924,0.8379426208322563,0.11682605324373223,0.043939002326182475,0,9.727520975838976,1.0,0.7172031401241229,3869,17,15.988971398990916,3.7406275487858474
14,6435.79374581061,67.81987879299083,0.7419776119402985,0.1988805970149254,0.056716417910447764,0,9.532047624619377,1.0,0.696968156155368,5360,28,17.555402811106774,3.9060345148295488
15,6024.098702390084,62.36853252712396,0.7513281569268492,0.19329791581528402,0.05312627707396812,0,9.870507118506124,1.0,0.6897409938963351,4894,25,18.70882588222451,3.9017017832476775
16,5759.410527963031,56.179824615770315,0.7837065269175798,0.17055740828966173,0.04383039542639352,0,11.315068433889511,1.0,0.6994973833088868,4198,20,18.489397159253855,3.842846473004714
17,4495.733729652286,58.97944901546758,0.6654573228947871,0.2831773916364331,0.04792820316975368,0,6.636464518423226,1.0,0.607120693458228,5237,30,16.795356031683596,3.9152004327429064
18,4579.754930168643,60.97062801336424,0.6544423440453686,0.3,0.04272211720226843,0,6.888300622339249,1.0,0.6492717380320759,5290,31,18.697296104003385,3.927448414265786
19,6217.982437614357,64.26634582451575,0.7538733084918612,0.17728966464012552,0.06609139046871935,0,7.180270764925911,1.0,0.6781583019024086,5099,26,19.07862141010402,3.9072666314784423
20,5024.76903705609,47.30008494392766,0.8119369369369369,0.13541666666666666,0.05039414414414414,0,5.920063893042209,1.0,0.6995008706723997,3552,16,17.736849977957775,3.728403619588658
21,4968.7175617444145,50.09433490436513,0.7709239825953417,0.15843358075249553,0.06757102636293831,0,8.852179393998577,1.0,0.6572047837976279,3907,18,17.016397906251534,3.8203575364736397
22,6188.138520028734,57.304539595589965,0.8150343846336258,0.1356414512686744,0.047664216267488735,0,8.693212202808311,1.0,0.717554354716557,4217,19,17.526696645635205,3.8154433674145234
23,5461.234104919321,53.20850339805934,0.7809072781655035,0.14506480558325024,0.07153539381854436,0,5.46840291415148,1.0,0.7256049192069272,4012,20,16.864824558905447,3.8606142669216323
24,5825.473288337271,54.940072452606806,0.806237721021611,0.1475933202357564,0.04494106090373281,0,10.226584459474001,1.0,0.701733540307185,4072,19,15.070462690878696,3.8200370834839585
25,6756.280934394716,72.47810730289143,0.735309412376495,0.20818166059975732,0.05390882301958745,0,10.250734364524012,1.0,0.6807923406930139,5769,30,17.93104018226611,3.9164840914447074
26,7441.368336086378,73.0879028299423,0.7731565564838359,0.18906647293861242,0.03396294950962586,0,7.363307362801708,1.0,0.7870771622020889,5506,29,17.201959734221067,3.91152046939134
27,9432.902097344773,89.77275198365703,0.7980594299575501,0.1720739842328684,0.02804730139478472,0,18.17652161588717,1.0,0.6993888532406503,6596,31,19.079746347127532,3.9164273030086623
28,7575.6846093394515,63.45704934916266,0.8910405972935138,0.08399440037330845,0.023098460102659823,0,13.098289679008486,1.0,0.8088505972599723,4286,17,20.592303205036856,3.576298922032854
29,4025.1396012466917,47.82979481171279,0.6933298593017196,0.2764460656591975,0.027357998957790515,0,9.546358941539722,1.0,0.5967228862082956,3838,20,16.423724014886982,3.8879193565187213
30,9504.570832378,81.2777364746569,0.870274144418563,0.09675685361046407,0.030818849668518188,0,16.39143821450401,1.0,0.7805850551185148,5581,24,16.0672690823722,3.8377343741436114
31,9255.32400201899,88.446562254022,0.7932141219624026,0.171939477303989,0.03194253400580773,0,15.435863072147013,1.0,0.711693980255162,6543,31,17.76099282466835,3.923588621342921
32,10820.128415328518,87.38233231443208,0.9155631986242476,0.05760963026655202,0.025107480653482374,0,19.54426499096817,1.0,0.840501522292586,5815,23,17.4127624529025,3.72085874061998
33,8117.444686219824,81.864880899663,0.7633999365683476,0.20726292419917539,0.026482714874722486,0,13.072693324890317,1.0,0.7012483600366762,6306,32,19.3743872721152,3.9343713221429804
34,10644.158091154346,93.48301529653068,0.8506650544135429,0.11457073760580411,0.033403869407496976,0,17.51738151784761,1.0,0.7422118926817192,6616,28,17.74564737503072,3.884768283878658
35,10456.950284725288,82.53869808240445,0.9392876914559882,0.04188964753644584,0.017161837977486622,0,16.153645301149048,1.0,0.8623727090720933,5419,20,17.228493217957258,3.5004062862412666
36,7964.5293902294725,70.44876003350157,0.8475227502527806,0.10313447927199192,0.04711830131445905,0,13.291527493052389,1.0,0.747481224646368,4945,21,17.34670271922772,3.8564733183990025
37,9463.746239215674,83.92829916559695,0.836861559139785,0.13709677419354838,0.023521505376344086,0,15.311149923610387,1.0,0.776078122189764,5952,28,17.791666959891494,3.922972256682967
38,10598.427587761984,96.33396967704938,0.823982869379015,0.1401855817273376,0.033261955745895785,0,19.52469064677684,1.0,0.7241386479877755,7005,32,16.454490899420104,3.9346282567830255
39,7548.205802987715,63.934749928690046,0.8735007920343969,0.08735007920343969,0.03711246888436298,0,17.239961830573076,1.0,0.7875606877595784,4419,19,18.408725094677266,3.7810985603497143
40,6823.2525300300595,65.24190516477687,0.7975989890480202,0.17080876158382477,0.02906486941870261,0,14.555912081575627,1.0,0.6792876606598598,4748,22,17.1763178608151,3.901164075258208
41,9693.075752142426,85.45064460659697,0.8522970525275811,0.10538448872056644,0.04083648937921949,0,20.722537616035538,1.0,0.7183763245086074,6073,25,17.474054565585966,3.902517606702775
42,7723.717166568454,75.59186513016303,0.7799930045470445,0.1757607555089192,0.04197271773347324,0,11.262528265584471,1.0,0.6994166727043561,5718,28,18.231213077946308,3.9467014529143825
43,8025.461981991896,68.83351836861948,0.8652892561983471,0.10289256198347108,0.03037190082644628,0,9.785887359958018,1.0,0.7978003183714953,4840,22,16.938731226328805,3.889426546493841
44,9660.966487043248,89.73937447422365,0.8161842703439915,0.13729352932262465,0.04470374299136233,0,15.141064856607144,1.0,0.7055746196500695,6599,30,17.26543227407696,3.955251767683402
45,9285.347429264388,81.79562620189031,0.8473656572728864,0.11185016628741466,0.03938386136880798,0,16.767848519631986,1.0,0.7629846282003002,5713,25,17.38069449637013,3.931455713179965
46,8011.941288350384,83.73787688229456,0.7514883223935277,0.2042436269271867,0.04136773011753931,0,14.905648351729603,1.0,0.633230067778133,6551,32,18.39311887192858,3.9664495434080997
47,10057.129362679696,80.09912282683915,0.9260170293282876,0.05241248817407758,0.019489120151371806,0,12.006352504028232,1.0,0.8724674134609145,5285,21,15.34127912270861,3.7091531570395753
48,8723.38324714938,87.65139355482953,0.7682706766917293,0.18977443609022557,0.04,0,18.87742345675451,1.0,0.6609021854331403,6650,32,15.496539874975825,3.968393721177824
49,8399.545596793938,69.31617848887312,0.9043329043329044,0.05791505791505792,0.036036036036036036,0,12.643697053084574,1.0,0.8144370623879321,4662,18,17.974376919025122,3.720032706336975
50,10461.306897751601,92.93385485476695,0.8398668079309823,0.12365672771303163,0.03466020886938096,0,18.361655118980135,1.0,0.7372763570710975,6607,29,17.416868185057357,3.9593024005625637
51,8528.730775726903,81.19652782922861,0.7983137708712184,0.1501074557778145,0.048933708050917506,0,16.06528867788714,1.0,0.6610410942282653,6049,27,18.126156261453602,3.969319260780856
52,5801.866951123667,54.252545620938996,0.8092354277062831,0.13878374968458237,0.04920514761544285,0,12.023808593968914,1.0,0.682970241353103,3963,18,17.168475608809793,3.9121521290953476
53,8823.022699844632,77.90761240889468,0.8481380563124432,0.10990009082652134,0.040508628519527703,0,15.14762318178142,1.0,0.7274458574053897,5505,23,16.54850705741168,3.949832377053551
54,9375.020745713267,77.31222968241286,0.8998272884283247,0.06351947802725005,0.035309921320284016,0,12.33733439882226,1.0,0.8283960316346304,5211,21,17.961142206813037,3.863714184005078
55,4828.892146123,52.74640705500874,0.739161003046637,0.20482774783220062,0.05319896883056011,0,9.532446845551553,1.0,0.5754953103990353,4267,20,14.652269433497136,3.946788997327398
56,7106.65305555374,70.25414460217371,0.7748837209302326,0.17134883720930233,0.052651162790697675,0,10.233979143709684,1.0,0.6854347689802256,5375,26,18.34309053239217,3.9631134527138885
57,5011.211709861325,54.34089296794715,0.733150559744117,0.18711446196024675,0.07722184144391135,0,6.55327048891869,1.0,0.6290667424428563,4377,22,16.172640727372343,3.955404632329474
