299,0,0,6.65,154359.2,0,326,0,3.932
299,0,1,22.27,7383.2,0,326,0,3.921
299,0,2,20.19,2832527.0,345,0,0,3.992
299,0,3,15.08,2673535.0,332,0,0,3.998
299,0,4,12.66,66589.0,0,336,0,3.892
299,0,5,12.32,2758122.0,352,0,0,3.993
299,0,6,23.59,40501.8,0,316,0,3.931
299,0,7,29.41,2468956.0,304,0,0,3.995
299,0,8,26.89,584730.1,44,285,0,3.932
299,0,9,11.95,2771423.3,341,1,0,3.981
299,0,10,25.73,25873.3,0,335,0,3.927
299,0,11,9.19,2778346.0,354,0,0,3.993
299,0,12,11.11,2877541.0,353,0,0,3.983
299,0,13,15.51,383209.0,23,288,0,3.924
299,0,14,23.28,2672128.7,326,3,0,3.999
299,0,15,21.85,2711952.0,334,0,0,3.963
299,0,16,21.6,539.6,0,321,0,3.982
299,0,17,23.82,2496476.4,318,5,0,3.955
299,0,18,27.48,2666100.3,336,0,0,3.958
299,0,19,5.6,24195.8,0,346,0,3.931
299,0,20,13.77,2531911.2,318,1,0,3.998
299,0,21,17.56,2853274.0,363,0,0,3.968
299,0,22,22.78,65944.4,0,318,0,3.921
299,0,23,12.17,58634.3,0,299,0,3.92
299,0,24,22.8,0.0,0,0,0,0.0
299,0,25,12.77,0.0,0,0,0,0.0
299,0,26,10.24,0.0,0,0,0,0.0
299,0,27,18.02,0.0,0,0,0,0.0
299,0,28,17.56,0.0,0,0,0,0.0
299,0,29,14.3,0.0,0,0,0,0.0
299,0,30,23.94,0.0,0,0,0,0.0
299,0,31,26.59,0.0,0,0,0,0.0
299,1,0,15.71,127692.0,3,285,0,3.995
299,1,1,17.29,2476090.0,309,0,0,4.0
299,1,2,19.04,369209.1,33,255,0,3.998
299,1,3,16.81,2406867.0,305,0,0,4.0
299,1,4,25.54,7086.0,0,293,0,4.0
299,1,5,18.36,2424511.2,295,0,0,4.0
299,1,6,8.63,1932220.5,235,46,0,4.0
299,1,7,5.33,2323056.6,282,2,0,4.0
299,1,8,8.28,2352148.0,296,0,0,4.0
299,1,9,16.95,89844.8,2,276,0,3.994
299,1,10,5.22,2398694.0,298,0,0,4.0
299,1,11,27.19,1991132.2,249,0,0,4.0
299,1,12,16.04,7637.3,0,283,0,3.994
299,1,13,25.94,2295341.5,292,0,0,4.0
299,1,14,7.56,2111116.0,268,0,0,4.0
299,1,15,10.93,2254132.4,279,20,0,4.0
299,1,16,21.21,2402468.0,305,0,0,4.0
299,1,17,10.16,2117408.0,274,0,0,4.0
299,1,18,13.45,1681668.3,191,55,0,4.0
299,1,19,28.59,375243.6,36,253,0,3.997
299,1,20,28.46,2403099.0,300,0,0,4.0
299,1,21,7.19,1856764.3,216,61,0,4.0
299,1,22,21.02,2190745.0,275,0,0,4.0
299,1,23,22.73,861453.3,90,171,0,3.999
299,1,24,27.19,29602.6,0,268,0,3.994
299,1,25,13.95,335042.2,22,276,0,3.998
299,1,26,20.95,2494635.0,308,0,0,4.0
299,1,27,28.46,0.0,0,0,0,0.0
299,1,28,27.22,0.0,0,0,0,0.0
299,1,29,21.5,0.0,0,0,0,0.0
299,1,30,21.16,0.0,0,0,0,0.0
299,1,31,18.93,0.0,0,0,0,0.0
299,2,0,6.96,4481.3,0,236,0,3.988
299,2,1,7.77,1680408.3,212,3,0,3.996
299,2,2,20.56,320618.3,26,192,0,3.997
299,2,3,13.62,1645304.0,201,0,0,4.0
299,2,4,16.07,1750530.0,207,0,0,4.0
299,2,5,14.57,2419.4,0,194,0,3.993
299,2,6,13.01,1487102.0,193,0,0,4.0
299,2,7,22.07,1487571.4,182,37,0,3.999
299,2,8,12.5,1345797.6,161,49,0,3.999
299,2,9,25.95,389762.6,40,164,0,3.997
299,2,10,28.65,1648748.1,206,2,0,4.0
299,2,11,13.51,311834.1,23,198,0,3.987
299,2,12,8.75,1574359.0,197,0,0,4.0
299,2,13,16.81,1524871.1,195,11,0,4.0
299,2,14,15.53,1663011.2,210,2,0,3.998
299,2,15,24.33,1413133.7,177,29,0,4.0
299,2,16,27.2,1507551.0,191,0,0,4.0
299,2,17,22.13,1667800.0,209,0,0,4.0
299,2,18,7.17,1531950.0,190,0,0,4.0
299,2,19,25.2,1714938.7,204,4,0,3.998
299,2,20,14.13,36830.5,0,181,0,3.996
299,2,21,13.24,1657156.7,202,6,0,3.999
299,2,22,17.91,1527044.0,192,0,0,4.0
299,2,23,17.9,1595630.0,205,0,0,4.0
299,2,24,22.87,595790.1,68,155,0,3.995
299,2,25,14.85,32471.8,0,202,0,3.981
299,2,26,13.33,1405937.8,169,36,0,3.999
299,2,27,21.36,1722731.0,219,0,0,4.0
299,2,28,11.89,926050.2,99,89,0,3.998
299,2,29,27.14,1587425.0,197,0,0,4.0
299,2,30,26.39,0.0,0,0,0,0.0
299,2,31,12.54,0.0,0,0,0,0.0
309,0,0,6.65,155452.7,0,326,0,3.843
309,0,1,22.27,7335.1,0,326,0,3.79
309,0,2,20.19,2832527.0,345,0,0,3.994
309,0,3,15.08,2673535.0,332,0,0,3.997
309,0,4,12.66,70276.9,0,336,0,3.756
309,0,5,12.32,2758122.0,352,0,0,3.994
309,0,6,23.59,39373.7,0,316,0,3.818
309,0,7,29.41,2468956.0,304,0,0,3.997
309,0,8,26.89,619476.7,47,282,0,3.833
309,0,9,11.95,2771423.3,341,1,0,3.974
309,0,10,25.73,26195.9,0,335,0,3.795
309,0,11,9.19,2776268.6,353,1,0,3.984
309,0,12,11.11,2877541.0,353,0,0,3.986
309,0,13,15.51,402645.2,25,286,0,3.81
309,0,14,23.28,2672128.7,326,3,0,3.996
309,0,15,21.85,2711952.0,334,0,0,3.952
309,0,16,21.6,536.3,0,321,0,3.784
309,0,17,23.82,2500108.0,318,5,0,3.914
309,0,18,27.48,2666101.1,336,0,0,3.93
309,0,19,5.6,21852.3,0,346,0,3.815
309,0,20,13.77,2531911.2,318,1,0,3.997
309,0,21,17.56,2853274.0,363,0,0,3.961
309,0,22,22.78,65926.8,0,318,0,3.812
309,0,23,12.17,58128.7,0,299,0,3.816
309,0,24,22.8,0.0,0,0,0,0.0
309,0,25,12.77,0.0,0,0,0,0.0
309,0,26,10.24,0.0,0,0,0,0.0
309,0,27,18.02,0.0,0,0,0,0.0
309,0,28,17.56,0.0,0,0,0,0.0
309,0,29,14.3,0.0,0,0,0,0.0
309,0,30,23.94,0.0,0,0,0,0.0
309,0,31,26.59,0.0,0,0,0,0.0
309,1,0,15.71,124186.0,3,285,0,3.964
309,1,1,17.29,2476090.0,309,0,0,4.0
309,1,2,19.04,375729.5,33,255,0,3.979
309,1,3,16.81,2406867.0,305,0,0,4.0
309,1,4,25.54,5840.8,0,293,0,3.975
309,1,5,18.36,2424511.2,295,0,0,4.0
309,1,6,8.63,1973427.8,240,41,0,3.995
309,1,7,5.33,2328629.3,283,1,0,4.0
309,1,8,8.28,2352148.0,296,0,0,3.999
309,1,9,16.95,95909.9,3,275,0,3.958
309,1,10,5.22,2398694.0,298,0,0,4.0
309,1,11,27.19,1993246.0,249,0,0,3.998
309,1,12,16.04,7507.0,0,283,0,3.935
309,1,13,25.94,2295242.0,292,0,0,3.997
309,1,14,7.56,2111116.0,268,0,0,3.998
309,1,15,10.93,2283263.0,286,13,0,3.994
309,1,16,21.21,2402468.0,305,0,0,4.0
