update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth
0,6550.448209285298,60.87371800716728,0.8137321549966009,0.14140040788579197,0.043507817811012914,0,14.13567162065059,0.8613877275976789,0.4599182507976603,4413,20,17.715005084939897,3.786094144861938
1,6753.001023787889,63.559009843898025,0.8029243483788938,0.12714558169103624,0.0675990675990676,0,9.409190519675679,0.8518667214245567,0.5055879257321467,4719,22,19.512842939025468,3.805574211211753
2,5198.218630683679,62.05189259537128,0.6852941176470588,0.2511764705882353,0.06156862745098039,0,11.494083495629878,0.8694157097678019,0.5690222698820112,5100,28,18.00649250535391,3.9077862196127247
3,6229.4817045037835,68.66650841983086,0.7171900526411327,0.2161916863314576,0.06389544381920494,0,9.579490616765302,0.8871036999203606,0.6559300774264609,5509,30,18.250114482349236,3.913654626616359
4,7716.019002136817,64.48866290867612,0.8928653890556454,0.07180789655968599,0.033710459478180556,0,12.860157683060265,0.8660677493050312,0.46536277025791045,4331,18,17.78964979052596,3.5870957640028585
5,6789.578225905837,60.64080855692327,0.8373646625201566,0.1032020271826768,0.0580511402902557,0,6.891848464373011,0.8547469301694575,0.48904054935636704,4341,20,17.558604538562438,3.7852178875807545
6,6411.462784807944,54.557251345300315,0.8748991121872478,0.08635996771589992,0.035781544256120526,0,7.202084048349695,0.8636047189998771,0.42109672362787365,3717,16,19.43081881436943,3.537992096139538
7,3630.4970316780227,44.28813311390575,0.680614406779661,0.21875,0.09772245762711865,0,2.7778927675254046,0.8604119738888849,0.4264654935270352,3776,21,16.846426299217686,3.859785266200152
8,5447.258086520733,64.50470909064616,0.6921205315365899,0.24162455549316864,0.06269885831929628,0,6.080485239144372,0.8770560175581084,0.6482956513599548,5343,30,18.702445825282535,3.898198926081898
9,10431.118145519888,87.4358489671947,0.8842033667743581,0.08008842033667743,0.03434790001700391,0,11.920786536096086,0.8775403533233123,0.6578938663349857,5881,25,18.924356563055127,3.746319392677226
