update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,4419.078539622041,64.99283365891175,0.6417512012813668,0.35504538174052325,0.0,0,13.810192135001902,0.856640841155605,0.8242002646686177,5619,17,22.523359384244607,3.7082559620669566,2.930948419301165,8.0,18.488,0.0,0.3301341706851508,0.9757973309206062,1.0219717883749952,0.021830518474813775,57.303838,721,763,0.944954128440367,1551,1594,0.9730238393977415,2286,2334,0.9794344473007712,21326,21835,0.9766888023814976
1,-4293.930406525296,75.64001311580792,0.3550911434358313,0.6396612041981219,0.00018412815319462345,0,14.510906488723982,0.8599682754704266,0.606847102153393,10862,23,22.840265274682803,3.8577110578806924,4.303344568317345,9.0,54.162,0.00046010858562620777,0.4750842675679604,0.9866287242431515,1.0109353507565337,0.011589684503032972,60.158704,376,388,0.9690721649484536,836,853,0.9800703399765534,1227,1243,0.9871279163314561,26338,26683,0.987070419368137
2,2159.8840510229215,61.32706700655712,0.5357546408393866,0.45972558514931394,0.000645682001614205,0,9.005660639560206,0.8564794708318353,0.7319469520884426,6195,29,22.562659108215648,3.826309515147699,3.3055137089484785,8.0,24.629,0.0,0.21216695948714343,0.9800077298759706,1.0191210648637228,0.019667952604023146,51.643212,408,426,0.9577464788732394,1018,1043,0.9760306807286673,1494,1526,0.9790301441677588,24972,25466,0.9806015864289641
3,2706.0600274413487,52.01286653551145,0.5885631709331132,0.4083402146985962,0.00020644095788604458,0,12.703240722609213,0.865467456170872,0.7690852972243609,4844,22,24.452035001507564,3.723161017596801,2.6453875833041036,8.0,16.526,0.0,0.21948832709081284,0.983063521142558,1.016471997604073,0.0167990001470372,44.519878,721,757,0.952443857331572,1513,1536,0.9850260416666666,2329,2370,0.9827004219409282,21731,22084,0.9840155768882449
4,4593.370303119583,61.18757806097718,0.6737451737451737,0.32374517374517375,0.00019305019305019305,0,12.563306858344616,0.8717731283527452,0.8106206407530528,5180,27,21.373753384837556,3.7486719831502,2.5584527220630373,7.0,15.444,0.0,0.1919058656769984,0.9885722657680756,1.011214542256102,0.011262810994821279,55.104528,707,722,0.9792243767313019,1372,1391,0.9863407620416966,2173,2194,0.9904284412032817,22738,22995,0.988823657316808
5,2501.7032540930927,67.81875989014597,0.5355117875261116,0.4600119367353029,0.0,0,8.139340594472191,0.8501394120452574,0.7876091138615301,6702,26,23.526381173657803,3.8284276637626773,3.7241571468375594,9.0,27.581,0.0,0.25274695554468785,0.9653226670476054,1.0325159532515953,0.03154290457579635,55.87748,420,438,0.958904109589041,932,968,0.9628099173553719,1557,1628,0.9563882063882064,24121,24967,0.9661152721592502
6,3265.5403368116877,66.66516025266317,0.572885136211566,0.42249482236737296,0.0,0,10.583646628560556,0.8430143951446992,0.8051566158400492,6277,21,23.78728322621575,3.8200168842719924,3.692157953281424,9.0,24.305,0.0,0.3002783671078817,0.97248,1.0263101604278075,0.025839077274773994,56.559426,471,491,0.9592668024439919,978,997,0.9809428284854563,1500,1530,0.9803921568627451,24402,25107,0.971920181622655
7,3186.6333787687304,51.545594227761796,0.6256539024900607,0.37078886796400923,0.0006277463904582549,0,12.524696030493697,0.8490868721184013,0.7300768373399629,4779,20,25.93366910865641,3.6967204386133052,2.1759197324414714,5.0,14.567,0.0,0.24200196070127597,0.970928008568587,1.028725933880494,0.029152894863891263,47.3554,725,760,0.9539473684210527,1572,1616,0.9727722772277227,2457,2526,0.9726840855106889,20628,21240,0.9711864406779661
8,4100.5470658648765,45.0638855506241,0.7441116603663855,0.25385286420471065,0.0,0,9.11931658551291,0.828615548727633,0.8912618086473008,3439,20,22.945791079860058,3.6315019881498443,2.648300117233294,7.0,9.076,0.0,0.17275283315309198,0.9792200623003825,1.0205782447270717,0.020659561322211924,40.646508,905,942,0.9607218683651805,1926,1963,0.9811512990320937,2960,3012,0.9827357237715804,19043,19444,0.9793766714667764
9,1171.086795156759,50.78861575877144,0.5086988039144618,0.48749546937296123,0.0,0,7.721331579146977,0.8524022381430572,0.6656458692079259,5518,20,19.51688353661593,3.8162085005746107,2.8539365871036693,7.0,21.847,0.0,0.27968443018733946,0.9734617024300128,1.0268886043533931,0.02625661604455668,44.273164,424,439,0.9658314350797267,1022,1045,0.9779904306220095,1638,1677,0.9767441860465116,24317,24987,0.9731860567495098
