world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
K8,SUS+CQI-Feasible,30017,2259.6678,32.1951,32.1383,0.6631,0.3353,2.0875,0.6959
K8,SUS+CQI@m=3,30017,3057.4942,35.6368,35.0767,0.7206,0.2774,2.1413,0.7478
K8,SUS-RPS,30018,2458.5849,26.8829,25.161,0.7475,0.2444,1.4396,0.838
K8,SUS+CQI-Feasible,30018,1577.6791,22.3454,22.273,0.6633,0.3329,1.649,0.6737
K8,SUS+CQI@m=3,30018,2207.1536,26.1385,24.0332,0.7152,0.2715,2.5621,0.8253
K8,SUS-RPS,30019,3043.1957,28.3627,27.1468,0.8296,0.167,1.4075,0.8975
K8,SUS+CQI-Feasible,30019,2303.2641,24.625,24.5561,0.7566,0.2424,1.8133,0.7864
K8,SUS+CQI@m=3,30019,2813.8172,27.7581,26.0447,0.7977,0.1983,2.5637,0.8905
K8,SUS-RPS,30020,3613.9146,31.1604,30.2119,0.884,0.1117,1.6408,0.9337
K8,SUS+CQI-Feasible,30020,3365.6268,29.519,29.519,0.8657,0.1338,2.0304,0.874
K8,SUS+CQI@m=3,30020,3624.2619,31.2087,30.2524,0.885,0.1094,2.17,0.9356
K8,SUS-RPS,30021,952.7264,14.8902,14.7044,0.6415,0.355,1.3386,0.6385
K8,SUS+CQI-Feasible,30021,911.6577,14.5969,14.5969,0.6373,0.362,1.5832,0.6216
K8,SUS+CQI@m=3,30021,954.1772,14.9088,14.7044,0.6415,0.355,1.6767,0.64
K8,SUS-RPS,30022,4652.1753,36.9753,36.2867,0.9409,0.0575,1.6189,0.9889
K8,SUS+CQI-Feasible,30022,3907.1345,33.67,33.4975,0.8743,0.124,2.0615,0.9331
K8,SUS+CQI@m=3,30022,4558.7323,36.7735,35.8191,0.9281,0.069,2.4607,0.9896
K8,SUS-RPS,30023,3846.6869,43.5456,42.2823,0.7309,0.2666,1.5736,0.7773
K8,SUS+CQI-Feasible,30023,3169.6183,40.0732,39.9759,0.6944,0.3039,1.9484,0.7257
K8,SUS+CQI@m=3,30023,3314.7425,41.9677,39.8659,0.6901,0.3058,2.6318,0.7706
K8,SUS-RPS,30024,2877.7809,39.9464,37.6586,0.6653,0.3322,1.6182,0.7643
K8,SUS+CQI-Feasible,30024,2085.8946,35.4956,35.4648,0.6246,0.3734,2.0371,0.6371
K8,SUS+CQI@m=3,30024,2459.4486,38.7347,35.9535,0.6345,0.3633,2.7017,0.7363
K8,SUS-RPS,30025,4191.0382,40.7128,39.5241,0.8039,0.1939,1.6707,0.8561
K8,SUS+CQI-Feasible,30025,3352.5053,36.5847,36.5402,0.7476,0.2504,2.1998,0.769
K8,SUS+CQI@m=3,30025,4041.998,40.303,38.8332,0.7895,0.2089,2.5305,0.8544
K8,SUS-RPS,30026,3832.2025,28.8395,28.7015,0.9907,0.0088,1.6656,0.9968
K8,SUS+CQI-Feasible,30026,3393.6869,27.0399,26.9847,0.9364,0.0636,2.2365,0.9715
K8,SUS+CQI@m=3,30026,3856.0049,28.9196,28.826,0.9945,0.0055,2.292,0.9971
K8,SUS-RPS,30027,2051.1815,33.8783,32.7951,0.6277,0.368,1.9214,0.6667
K8,SUS+CQI-Feasible,30027,1883.253,32.513,32.513,0.622,0.375,2.0816,0.6233
K8,SUS+CQI@m=3,30027,2061.5536,33.9705,32.8162,0.628,0.368,2.2444,0.6696
K8,SUS-RPS,30028,6098.7923,46.8462,46.3363,0.9738,0.0255,1.957,0.9966
K8,SUS+CQI-Feasible,30028,5757.3329,45.1438,45.0674,0.952,0.0474,2.6027,0.9891
K8,SUS+CQI@m=3,30028,6152.0832,47.0688,46.567,0.9782,0.0215,2.4807,0.9968
K8,SUS-RPS,30029,4424.6014,38.8049,37.8596,0.8663,0.1293,1.7572,0.9135
K8,SUS+CQI-Feasible,30029,3940.7531,36.3034,36.2593,0.8321,0.1653,2.1842,0.8679
K8,SUS+CQI@m=3,30029,4348.1313,38.7005,37.4643,0.8571,0.1378,2.518,0.918
K8,SUS-RPS,30030,4157.9777,41.1363,39.9357,0.7907,0.2071,1.6113,0.859
K8,SUS+CQI-Feasible,30030,3066.2053,36.1146,35.9827,0.7184,0.2794,2.0525,0.7678
K8,SUS+CQI@m=3,30030,4039.1956,40.921,39.3388,0.7794,0.2184,2.3895,0.8573
K8,SUS-RPS,30031,3705.747,35.4075,33.2577,0.814,0.184,1.6484,0.9594
K8,SUS+CQI-Feasible,30031,2362.7961,28.7739,28.6301,0.7071,0.2902,2.0416,0.7758
K8,SUS+CQI@m=3,30031,3103.8383,33.8924,30.4896,0.7485,0.2491,2.7348,0.9337
K8,SUS-RPS,30032,3632.0121,32.7072,31.508,0.8493,0.1502,1.6541,0.9202
K8,SUS+CQI-Feasible,30032,2814.1293,28.7217,28.6578,0.7768,0.2219,2.1207,0.8056
K8,SUS+CQI@m=3,30032,3506.332,32.4323,30.9274,0.8335,0.166,2.4866,0.9208
K8,SUS-RPS,30033,2496.7623,21.8269,21.3948,0.8659,0.1296,1.4669,0.9107
K8,SUS+CQI-Feasible,30033,2374.7689,21.0439,21.0439,0.8531,0.145,1.7376,0.8708
K8,SUS+CQI@m=3,30033,2502.3778,21.8585,21.4069,0.8665,0.129,1.8471,0.9129
K8,SUS-RPS,30034,2055.6155,33.5445,32.4447,0.6301,0.3652,1.6655,0.6673
K8,SUS+CQI-Feasible,30034,1945.3901,32.3766,32.3766,0.6286,0.3683,2.2541,0.6245
K8,SUS+CQI@m=3,30034,2062.5836,33.5916,32.4571,0.6304,0.3649,2.1562,0.6686
K8,SUS-RPS,30035,3292.158,26.4431,25.7151,0.9401,0.057,1.5044,0.9815
K8,SUS+CQI-Feasible,30035,2731.496,23.7545,23.6956,0.8707,0.1275,1.8417,0.8809
K8,SUS+CQI@m=3,30035,3278.3845,26.4493,25.6384,0.9371,0.0599,2.1189,0.9814
K8,SUS-RPS,30036,2253.0187,20.1381,19.4572,0.8542,0.1401,1.3531,0.9108
K8,SUS+CQI-Feasible,30036,1489.4093,16.7038,16.6078,0.7366,0.2599,1.6524,0.8
K8,SUS+CQI@m=3,30036,2167.7553,19.9909,18.9662,0.8345,0.1585,2.1838,0.9154
K8,SUS-RPS,30037,5031.8449,46.8033,45.1083,0.8263,0.1726,1.8517,0.9084
K8,SUS+CQI-Feasible,30037,4231.205,42.6782,42.5641,0.7818,0.217,2.5409,0.8345
K8,SUS+CQI@m=3,30037,4616.7953,45.9073,43.1076,0.7905,0.2084,2.709,0.9124
K8,SUS-RPS,30038,4498.8517,46.1566,44.3759,0.7742,0.2236,1.8395,0.8524
K8,SUS+CQI-Feasible,30038,3775.152,42.2376,42.2,0.7373,0.2607,2.3885,0.762
K8,SUS+CQI@m=3,30038,4165.6129,45.416,42.9022,0.747,0.2508,2.6623,0.8492
K8,SUS-RPS,30039,1743.2097,17.3209,16.4331,0.7952,0.1978,1.3723,0.8738
K8,SUS+CQI-Feasible,30039,1433.8174,15.5249,15.5155,0.7513,0.2471,1.5493,0.7531
K8,SUS+CQI@m=3,30039,1744.2066,17.3308,16.4203,0.7952,0.1971,1.9457,0.8731
K8,SUS-RPS,30040,4276.2694,46.4941,44.8558,0.748,0.2512,1.6964,0.8429
K8,SUS+CQI-Feasible,30040,3375.5639,41.983,41.8327,0.7009,0.298,2.3023,0.7623
K8,SUS+CQI@m=3,30040,3755.1187,45.2869,42.3783,0.7086,0.2901,2.6954,0.8294
K8,SUS-RPS,30041,4531.903,41.4682,40.7694,0.8336,0.1638,1.5811,0.8709
K8,SUS+CQI-Feasible,30041,3625.1892,37.4793,37.3521,0.7692,0.2279,2.0979,0.816
K8,SUS+CQI@m=3,30041,4452.2768,41.2921,40.3688,0.8255,0.1719,2.3113,0.8713
K8,SUS-RPS,30042,6036.9616,48.2486,47.2924,0.9401,0.0592,1.8766,0.9882
K8,SUS+CQI-Feasible,30042,5572.3246,45.855,45.7294,0.9126,0.0867,2.6076,0.9649
K8,SUS+CQI@m=3,30042,6141.1194,48.6902,47.7518,0.9472,0.0522,2.5875,0.9902
K8,SUS-RPS,30043,2348.1386,37.7812,36.3002,0.6318,0.3641,1.4398,0.6866
K8,SUS+CQI-Feasible,30043,1957.1518,35.3023,35.3003,0.6147,0.3826,1.8013,0.6225
K8,SUS+CQI@m=3,30043,2295.1481,37.7367,36.0155,0.6268,0.3685,2.3597,0.6885
K8,SUS-RPS,30044,2765.4565,40.2856,38.9819,0.6545,0.3431,1.5573,0.707
K8,SUS+CQI-Feasible,30044,2031.9447,36.7038,36.6997,0.615,0.3829,1.7661,0.6305
K8,SUS+CQI@m=3,30044,2741.6719,40.2544,38.8232,0.6521,0.3455,2.2041,0.7095
K8,SUS-RPS,30045,2001.6423,17.9871,17.7328,0.8487,0.1497,1.4158,0.8657
K8,SUS+CQI-Feasible,30045,1548.8969,16.0498,16.0456,0.7701,0.2284,1.5552,0.7785
K8,SUS+CQI@m=3,30045,2005.8628,18.0019,17.755,0.8495,0.149,1.7247,0.8658
K8,SUS-RPS,30046,1687.8606,22.1615,20.4843,0.6816,0.3088,1.5232,0.7947
K8,SUS+CQI-Feasible,30046,1065.3731,18.6751,18.6742,0.6198,0.3776,1.7337,0.624
K8,SUS+CQI@m=3,30046,1550.9522,21.7087,19.8891,0.6631,0.3268,2.3363,0.7795
K8,SUS-RPS,30047,4880.9121,49.6705,48.2811,0.776,0.2219,1.7179,0.8476
K8,SUS+CQI-Feasible,30047,4103.0153,45.8221,45.7266,0.737,0.2609,2.3457,0.7838
K8,SUS+CQI@m=3,30047,4507.5446,48.7716,46.4884,0.7473,0.2494,2.6191,0.8453
K8,SUS-RPS,30048,3520.8501,36.1797,35.0474,0.7753,0.2226,1.585,0.8243
