world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
D26,SUS+CQI-Feasible,30017,2822.6125,83.4965,82.8589,0.5441,0.4544,3.2639,0.5955
D26,SUS+CQI@m=3,30017,3003.7362,87.7745,82.1208,0.535,0.4635,2.999,0.6055
D26,SUS-RPS,30018,3631.338,64.386,62.0288,0.5985,0.4007,1.8154,0.6723
D26,SUS+CQI-Feasible,30018,2824.5237,59.8413,59.4822,0.5784,0.4208,2.9075,0.6357
D26,SUS+CQI@m=3,30018,3431.8996,66.1001,60.4594,0.5802,0.4188,2.9198,0.6838
D26,SUS-RPS,30019,4519.6879,72.3419,70.5856,0.6175,0.3803,1.9461,0.6802
D26,SUS+CQI-Feasible,30019,4725.5525,72.8072,72.0527,0.6274,0.3704,3.2152,0.6738
D26,SUS+CQI@m=3,30019,5005.4977,76.9105,72.1114,0.6213,0.3761,2.959,0.6935
D26,SUS-RPS,30020,4892.5037,79.8793,78.045,0.6147,0.3847,2.0495,0.6691
D26,SUS+CQI-Feasible,30020,4362.0598,76.9407,76.3615,0.6045,0.3947,3.0503,0.6493
D26,SUS+CQI@m=3,30020,4631.9817,81.6647,76.1319,0.597,0.4023,2.9864,0.6781
D26,SUS-RPS,30021,3950.9623,45.1286,42.214,0.7077,0.2902,1.6655,0.7927
D26,SUS+CQI-Feasible,30021,2784.6369,38.7042,38.6506,0.6512,0.3466,2.2191,0.6753
D26,SUS+CQI@m=3,30021,3569.2166,44.1248,40.6052,0.6802,0.3174,2.7288,0.7808
D26,SUS-RPS,30022,4978.7264,64.4408,62.4577,0.6662,0.3329,1.7299,0.7275
D26,SUS+CQI-Feasible,30022,4275.8642,60.5169,60.2754,0.6478,0.3517,3.0031,0.7006
D26,SUS+CQI@m=3,30022,4895.4735,65.7731,61.6087,0.6546,0.3442,2.8941,0.7348
D26,SUS-RPS,30023,1675.0478,101.8894,100.7615,0.503,0.4955,2.5162,0.6128
D26,SUS+CQI-Feasible,30023,4293.9608,115.7708,112.5071,0.5486,0.4501,3.5709,0.6376
D26,SUS+CQI@m=3,30023,3338.6539,116.0472,107.3573,0.5208,0.4779,3.0,0.6227
D26,SUS-RPS,30024,2968.1775,75.4616,72.9542,0.5523,0.4464,1.8928,0.6321
D26,SUS+CQI-Feasible,30024,2636.4346,73.0631,72.372,0.5495,0.449,2.8947,0.6166
D26,SUS+CQI@m=3,30024,2412.9394,77.5591,69.6333,0.5222,0.4764,2.9905,0.6474
D26,SUS-RPS,30025,9066.2578,95.9066,94.5849,0.7346,0.2644,2.359,0.8141
D26,SUS+CQI-Feasible,30025,9589.5402,99.0399,96.9635,0.7466,0.2523,3.3723,0.8322
D26,SUS+CQI@m=3,30025,8899.1482,100.7268,92.5546,0.7086,0.2902,2.9803,0.833
D26,SUS-RPS,30026,5648.0288,69.0287,66.6964,0.6833,0.3156,1.8914,0.77
D26,SUS+CQI-Feasible,30026,5232.7698,66.5323,65.773,0.675,0.3241,2.9066,0.7468
D26,SUS+CQI@m=3,30026,5278.5831,70.8298,64.4268,0.6543,0.3443,2.9717,0.7785
D26,SUS-RPS,30027,6280.1198,91.0209,88.888,0.6375,0.361,2.0343,0.6895
D26,SUS+CQI-Feasible,30027,6235.25,89.99,89.4614,0.6413,0.3573,3.1655,0.6815
D26,SUS+CQI@m=3,30027,6188.9166,93.1044,87.9905,0.6265,0.372,2.9823,0.6988
D26,SUS-RPS,30028,8712.9589,77.4275,75.0628,0.8219,0.1762,2.161,0.9236
D26,SUS+CQI-Feasible,30028,8341.6353,74.9273,74.3435,0.8157,0.1826,3.1306,0.9051
D26,SUS+CQI@m=3,30028,8642.8235,79.9744,73.8925,0.8034,0.1945,2.8825,0.9426
D26,SUS-RPS,30029,4504.4618,65.1188,62.3603,0.6372,0.362,1.6981,0.7283
D26,SUS+CQI-Feasible,30029,3800.1514,61.1326,60.4406,0.62,0.379,2.7184,0.6964
D26,SUS+CQI@m=3,30029,3925.165,66.6095,58.8317,0.5975,0.4014,2.9348,0.7366
D26,SUS-RPS,30030,3394.1719,101.9791,100.4047,0.5374,0.4609,2.4967,0.5991
D26,SUS+CQI-Feasible,30030,4083.9713,106.1637,103.6337,0.552,0.4463,3.4067,0.619
D26,SUS+CQI@m=3,30030,3270.3886,107.6646,98.8616,0.5231,0.475,2.9998,0.6225
D26,SUS-RPS,30031,2729.0577,62.828,60.5579,0.5625,0.4359,1.6211,0.6319
D26,SUS+CQI-Feasible,30031,2313.2457,60.2785,59.6988,0.5551,0.4432,2.7021,0.614
D26,SUS+CQI@m=3,30031,2104.2373,63.7055,57.01,0.527,0.471,2.9635,0.6401
D26,SUS-RPS,30032,5253.5376,87.1775,85.7359,0.6106,0.3881,2.3167,0.681
D26,SUS+CQI-Feasible,30032,5679.01,89.9235,87.9215,0.6212,0.3773,3.3827,0.6951
D26,SUS+CQI@m=3,30032,5302.0982,92.7635,84.6283,0.5947,0.4038,2.9942,0.7011
D26,SUS-RPS,30033,6763.1765,60.9499,58.7886,0.8171,0.182,1.8197,0.8926
D26,SUS+CQI-Feasible,30033,6151.7666,57.4768,57.0536,0.7965,0.2024,2.8197,0.8619
D26,SUS+CQI@m=3,30033,6731.5345,62.6046,58.165,0.804,0.1951,2.8564,0.9022
D26,SUS-RPS,30034,3592.4832,102.72,101.5823,0.541,0.4572,2.5733,0.613
D26,SUS+CQI-Feasible,30034,5208.2177,111.3955,108.7852,0.5735,0.4248,3.5405,0.6414
D26,SUS+CQI@m=3,30034,4234.1217,111.9677,103.4742,0.5421,0.4561,2.9975,0.635
D26,SUS-RPS,30035,4689.4169,52.409,49.9441,0.7164,0.2832,1.7736,0.7776
D26,SUS+CQI-Feasible,30035,3365.3737,45.7571,45.6935,0.6585,0.341,2.4241,0.6785
D26,SUS+CQI@m=3,30035,4190.723,51.434,47.7388,0.6839,0.3156,2.791,0.7681
D26,SUS-RPS,30036,2748.0492,38.5123,36.0208,0.6457,0.354,1.4885,0.7305
