world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
V60max,SUS-RPS,30017,3059.9158,85.7164,85.2116,0.5573,0.4394,2.8722,0.6054
V60max,SUS+CQI-Feasible,30017,3495.9563,88.5607,87.3946,0.5675,0.4295,3.6882,0.6043
V60max,SUS+CQI@m=3,30017,3216.0294,88.7323,85.7478,0.5558,0.4414,3.0,0.6008
V60max,SUS-RPS,30018,3992.9327,66.4431,65.1004,0.6265,0.3714,2.3921,0.6803
V60max,SUS+CQI-Feasible,30018,3892.7378,65.8571,65.129,0.6246,0.3732,3.3742,0.6744
V60max,SUS+CQI@m=3,30018,3528.2345,66.7203,62.7233,0.5999,0.3978,2.9822,0.6839
V60max,SUS-RPS,30019,5143.367,75.8738,75.0057,0.6515,0.3446,2.7288,0.6893
V60max,SUS+CQI-Feasible,30019,5364.1394,77.4291,76.1332,0.6566,0.3394,3.6007,0.6916
V60max,SUS+CQI@m=3,30019,5123.8356,77.8655,74.7848,0.6423,0.3537,2.9882,0.6921
V60max,SUS-RPS,30020,5141.8514,81.7485,80.8739,0.6362,0.3614,2.5968,0.6767
V60max,SUS+CQI-Feasible,30020,5072.3927,81.7155,80.8249,0.6345,0.3633,3.4539,0.6752
V60max,SUS+CQI@m=3,30020,4703.8778,82.4277,78.6811,0.6151,0.3827,2.9963,0.6774
V60max,SUS-RPS,30021,3964.4193,45.5095,43.4525,0.7271,0.2694,1.9215,0.7952
V60max,SUS+CQI-Feasible,30021,3287.8841,41.5408,41.4074,0.6952,0.3019,2.4414,0.7227
V60max,SUS+CQI@m=3,30021,3499.1289,44.2582,41.4213,0.693,0.303,2.908,0.7794
V60max,SUS-RPS,30022,5325.3218,66.6339,65.4786,0.6962,0.3023,2.277,0.7358
V60max,SUS+CQI-Feasible,30022,5189.3817,65.7148,65.3179,0.694,0.3041,3.2747,0.7256
V60max,SUS+CQI@m=3,30022,5000.6972,66.5823,63.7597,0.6765,0.3215,2.9676,0.7359
V60max,SUS-RPS,30023,622.4231,99.3525,98.9763,0.4894,0.5062,2.9001,0.6557
V60max,SUS+CQI-Feasible,30023,4311.9797,118.7815,115.2901,0.5567,0.44,3.8852,0.6342
V60max,SUS+CQI@m=3,30023,3427.3852,116.9321,111.1055,0.5363,0.4604,3.0,0.6157
V60max,SUS-RPS,30024,3193.8151,76.9644,75.8765,0.5728,0.4242,2.6183,0.6397
V60max,SUS+CQI-Feasible,30024,3072.8371,77.091,75.7027,0.5689,0.4285,3.4305,0.6432
V60max,SUS+CQI@m=3,30024,2600.5912,78.0207,72.7412,0.5441,0.4529,2.9962,0.6462
V60max,SUS-RPS,30025,9481.7678,99.4387,98.8279,0.7608,0.2369,2.918,0.8207
V60max,SUS+CQI-Feasible,30025,9578.2672,101.6209,99.0604,0.7572,0.2406,3.7178,0.8336
V60max,SUS+CQI@m=3,30025,9046.8225,101.5208,96.2944,0.7337,0.264,2.9956,0.8253
V60max,SUS-RPS,30026,5811.1955,70.3819,69.3773,0.7069,0.2914,2.51,0.7701
V60max,SUS+CQI-Feasible,30026,5730.7272,70.6979,69.1403,0.7019,0.2963,3.5463,0.7702
V60max,SUS+CQI@m=3,30026,5418.0618,71.5775,67.1939,0.6791,0.319,2.9961,0.7747
V60max,SUS-RPS,30027,6709.0417,94.2325,93.2001,0.6633,0.3339,2.6113,0.6953
V60max,SUS+CQI-Feasible,30027,6715.1181,94.1613,93.4171,0.6641,0.3328,3.312,0.6945
V60max,SUS+CQI@m=3,30027,6252.687,94.1018,90.8815,0.6444,0.3523,2.9958,0.6971
V60max,SUS-RPS,30028,8906.8626,79.1666,78.2044,0.8503,0.1466,2.7415,0.9289
V60max,SUS+CQI-Feasible,30028,8908.2256,79.3011,78.3897,0.8497,0.1466,3.5509,0.9287
V60max,SUS+CQI@m=3,30028,8735.8697,80.4947,76.8375,0.8312,0.1651,2.9489,0.9346
V60max,SUS-RPS,30029,4729.0654,66.4028,65.0109,0.6626,0.3344,2.1453,0.736
V60max,SUS+CQI-Feasible,30029,4613.5664,66.118,64.9247,0.6584,0.3389,3.4303,0.7314
V60max,SUS+CQI@m=3,30029,4286.9392,67.5588,62.4736,0.6309,0.366,2.9716,0.7377
V60max,SUS-RPS,30030,1528.8137,95.4653,94.9083,0.5075,0.4887,2.5953,0.6186
