update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals
0,6117.113509525545,56.11897657218475,0.7771971496437055,0.21306413301662708,0.007838479809976246,0,15.582842161126464,0.8825841257035842,0.7952493176123612,4210
1,3356.998868243651,41.24216252738442,0.6506120276742948,0.32730175625332625,0.020223523150612027,0,4.853440499380054,0.8779201168201622,0.6597860190126755,3758
2,5879.890748817052,53.768598746947134,0.7729504172803142,0.21330387825233185,0.012027491408934709,0,9.7509412625805,0.8977088807118667,0.8112018720524153,4074
3,4033.320420755522,44.64216753701166,0.6799577501980459,0.29865328756271453,0.020068655928175336,0,4.380710184657993,0.8968692427963912,0.7404947777970241,3787
4,5571.542664184058,51.93962304512384,0.7591204397801099,0.223888055972014,0.015742128935532233,0,8.471352582174942,0.879835306442635,0.8235816924609963,4002
5,3708.8376563545594,43.736213685531844,0.6584671154842051,0.3182288969445883,0.020973588814085967,0,6.122843209051125,0.8783062411795306,0.6724136854629855,3862
6,3512.8461635100784,42.58174588078286,0.6374438869817798,0.33667810932136255,0.023765513599155005,0,5.384590219971596,0.864097135094019,0.7123682068275144,3787
7,3878.098407433629,44.08282615308125,0.671765620948924,0.30697433238268085,0.02022297122115634,0,5.8208487714978965,0.8663131354375261,0.703518749593248,3857
8,4526.675522896435,47.21420441906944,0.6975546975546976,0.2782496782496782,0.022136422136422137,0,7.36110391963501,0.8556879640488063,0.7671374560757334,3885
9,5672.096194571761,52.04347429823039,0.7680829539706626,0.22003034901365706,0.010369246332827516,0,8.183697301872645,0.8595727539586817,0.8309166982375114,3954
10,6344.801746924611,56.67171568400744,0.791380535164575,0.1934643618280843,0.013497513615912858,0,17.02629653933779,0.8665371977138633,0.8101241047051229,4223
11,5997.201290949127,53.63218699699361,0.775887943971986,0.21385692846423213,0.009254627313656828,0,23.093700673109694,0.8397203417684639,0.8704589778948065,3998
12,5577.452986208414,52.32965135700805,0.753253130370734,0.23250675178001473,0.012030444389884607,0,14.77339515847732,0.8580398571128236,0.7977360015893392,4073
