K,phase,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
48,pilot,SUS+CQI@0.60,40000,5238.2,75.05,0.3541,4.0
48,pilot,SUS+CQI@0.65,40000,5236.0,75.02,0.3542,4.0
48,pilot,SUS+CQI@0.70,40000,5220.1,74.88,0.3552,3.99
48,pilot,SUS+CQI@0.75,40000,5206.7,74.78,0.3557,3.986
48,pilot,SUS+CQI@0.80,40000,5092.2,74.22,0.3605,3.984
48,pilot,SUS+CQI@0.60,40001,5313.2,100.31,0.4053,4.0
48,pilot,SUS+CQI@0.65,40001,5358.8,100.45,0.4045,4.0
48,pilot,SUS+CQI@0.70,40001,5399.1,100.52,0.4039,3.997
48,pilot,SUS+CQI@0.75,40001,5380.9,100.29,0.4048,3.996
48,pilot,SUS+CQI@0.80,40001,5331.2,100.06,0.4063,3.994
48,pilot,SUS+CQI@0.60,40002,5096.6,87.96,0.3926,3.997
48,pilot,SUS+CQI@0.65,40002,5116.0,88.02,0.3923,3.998
48,pilot,SUS+CQI@0.70,40002,5088.2,87.84,0.3934,4.0
48,pilot,SUS+CQI@0.75,40002,5035.5,87.63,0.3953,3.998
48,pilot,SUS+CQI@0.80,40002,4932.7,87.09,0.3985,3.992
48,pilot,SUS+CQI@0.60,40003,-658.8,133.57,0.5299,4.0
48,pilot,SUS+CQI@0.65,40003,-578.6,133.93,0.5287,4.0
48,pilot,SUS+CQI@0.70,40003,-446.1,134.36,0.5271,4.0
48,pilot,SUS+CQI@0.75,40003,-351.8,134.48,0.5264,4.0
48,pilot,SUS+CQI@0.80,40003,-333.0,134.32,0.527,4.0
48,pilot,SUS+CQI@0.60,40004,-6049.4,145.67,0.5871,4.0
48,pilot,SUS+CQI@0.65,40004,-5833.7,146.54,0.585,4.0
48,pilot,SUS+CQI@0.70,40004,-5545.8,147.43,0.5821,4.0
48,pilot,SUS+CQI@0.75,40004,-5532.7,147.0,0.5831,4.0
48,pilot,SUS+CQI@0.80,40004,-5544.1,146.69,0.5841,4.0
48,pilot,SUS+CQI@0.60,40005,-4371.7,146.78,0.57,4.0
48,pilot,SUS+CQI@0.65,40005,-4111.1,147.6,0.5675,4.0
48,pilot,SUS+CQI@0.70,40005,-3903.3,148.25,0.5655,4.0
48,pilot,SUS+CQI@0.75,40005,-3893.4,147.92,0.5663,4.0
48,pilot,SUS+CQI@0.80,40005,-4073.4,146.64,0.5697,4.0
48,pilot,SUS+CQI@0.60,40006,310.6,131.72,0.5171,4.0
48,pilot,SUS+CQI@0.65,40006,396.8,131.97,0.5162,4.0
48,pilot,SUS+CQI@0.70,40006,485.1,132.27,0.5153,4.0
48,pilot,SUS+CQI@0.75,40006,571.0,132.52,0.5144,4.0
48,pilot,SUS+CQI@0.80,40006,554.4,132.29,0.5152,3.999
48,pilot,SUS+CQI@0.60,40007,5208.4,87.44,0.386,4.0
48,pilot,SUS+CQI@0.65,40007,5353.2,88.07,0.3814,4.0
