K,phase,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
60,pilot,SUS+CQI@0.60,40000,3825.3,83.97,0.4248,4.0
60,pilot,SUS+CQI@0.65,40000,3821.5,83.95,0.425,3.998
60,pilot,SUS+CQI@0.70,40000,3806.6,83.87,0.4255,3.989
60,pilot,SUS+CQI@0.75,40000,3750.8,83.59,0.4275,3.983
60,pilot,SUS+CQI@0.80,40000,3700.1,83.36,0.4288,3.969
60,pilot,SUS+CQI@0.60,40001,2707.6,111.43,0.4737,4.0
60,pilot,SUS+CQI@0.65,40001,2825.2,111.82,0.4719,4.0
60,pilot,SUS+CQI@0.70,40001,2869.7,111.84,0.4715,4.0
60,pilot,SUS+CQI@0.75,40001,2930.7,112.01,0.4706,4.0
60,pilot,SUS+CQI@0.80,40001,2900.3,111.68,0.4721,4.0
60,pilot,SUS+CQI@0.60,40002,4687.9,104.75,0.427,4.0
60,pilot,SUS+CQI@0.65,40002,4745.5,105.0,0.4259,4.0
60,pilot,SUS+CQI@0.70,40002,4781.5,105.11,0.4253,4.0
60,pilot,SUS+CQI@0.75,40002,4758.4,104.92,0.4263,4.0
60,pilot,SUS+CQI@0.80,40002,4694.0,104.51,0.428,3.999
60,pilot,SUS+CQI@0.60,40003,-2470.5,163.04,0.5467,4.0
60,pilot,SUS+CQI@0.65,40003,-2258.4,163.93,0.5442,4.0
60,pilot,SUS+CQI@0.70,40003,-2179.9,164.09,0.5438,4.0
60,pilot,SUS+CQI@0.75,40003,-2057.0,164.49,0.5424,4.0
60,pilot,SUS+CQI@0.80,40003,-1992.4,164.71,0.5421,4.0
60,pilot,SUS+CQI@0.60,40004,-13787.3,158.24,0.6388,4.0
60,pilot,SUS+CQI@0.65,40004,-13555.2,158.98,0.637,4.0
60,pilot,SUS+CQI@0.70,40004,-13474.5,159.15,0.6368,4.0
60,pilot,SUS+CQI@0.75,40004,-13155.9,160.26,0.6341,4.0
60,pilot,SUS+CQI@0.80,40004,-13120.3,160.13,0.6343,4.0
60,pilot,SUS+CQI@0.60,40005,-15702.4,143.75,0.6603,4.0
60,pilot,SUS+CQI@0.65,40005,-15333.2,145.1,0.6572,4.0
60,pilot,SUS+CQI@0.70,40005,-15123.7,145.61,0.6556,4.0
60,pilot,SUS+CQI@0.75,40005,-14952.7,146.13,0.6545,4.0
60,pilot,SUS+CQI@0.80,40005,-14752.7,146.4,0.6533,4.0
60,pilot,SUS+CQI@0.60,40006,-4831.1,144.75,0.5748,4.0
60,pilot,SUS+CQI@0.65,40006,-4648.0,145.37,0.5729,4.0
60,pilot,SUS+CQI@0.70,40006,-4498.6,145.82,0.5717,4.0
60,pilot,SUS+CQI@0.75,40006,-4238.6,146.9,0.5687,4.0
60,pilot,SUS+CQI@0.80,40006,-4082.6,147.24,0.5674,4.0
60,pilot,SUS+CQI@0.60,40007,4245.8,101.01,0.4313,4.0
60,pilot,SUS+CQI@0.65,40007,4231.8,100.85,0.432,4.0
60,pilot,SUS+CQI@0.70,40007,4226.5,100.83,0.4323,4.0
60,pilot,SUS+CQI@0.75,40007,4195.2,100.68,0.4332,3.999
60,pilot,SUS+CQI@0.80,40007,4126.7,100.33,0.4349,3.993
60,test,SUS+CQI@0.80,30000,3567.6,109.16,0.4561,3.999
60,test,SUS+PF,30000,-6259.4,64.95,0.6629,4.0
60,test,SUS+Random,30000,-5067.4,69.21,0.6428,4.0
60,test,SU+CQI,30000,-2646.7,86.4,0.5695,1.0
60,test,SU+PF,30000,-10093.6,51.9,0.728,1.0
