config,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
V50,SUS+CQI@0.65,30000,3074.3,52.69,48.24,0.6161,0.3812,3.989
V50,SUS+CQI@0.65,30001,3310.1,82.4,76.57,0.5614,0.4349,3.997
V50,SUS+CQI@0.65,30002,2573.6,113.17,106.78,0.5192,0.4777,4.0
V50,SUS+CQI@0.65,30003,1917.4,39.47,35.44,0.5836,0.4141,3.99
V50,SUS+CQI@0.65,30004,4757.8,76.03,71.56,0.6287,0.3692,3.994
V50,SUS+CQI@0.65,30005,4875.3,72.74,68.32,0.6446,0.3518,3.989
V50,SUS+CQI@0.65,30006,5504.6,103.13,97.96,0.5993,0.3965,3.962
V50,SUS+CQI@0.65,30007,4194.7,57.5,55.38,0.6706,0.3273,3.958
V50,SUS+CQI@0.70,30000,3062.3,52.58,48.21,0.6159,0.3816,3.985
V50,SUS+CQI@0.70,30001,3303.8,82.31,76.57,0.5612,0.4349,3.99
V50,SUS+CQI@0.70,30002,2714.9,113.61,107.41,0.5222,0.4749,4.0
V50,SUS+CQI@0.70,30003,1866.5,39.45,35.17,0.5792,0.4185,3.978
V50,SUS+CQI@0.70,30004,4735.5,75.98,71.5,0.6277,0.3701,3.988
V50,SUS+CQI@0.70,30005,4854.4,72.7,68.24,0.6436,0.353,3.989
V50,SUS+CQI@0.70,30006,5601.1,103.55,98.3,0.6015,0.3944,3.974
V50,SUS+CQI@0.70,30007,4188.7,57.49,55.35,0.6702,0.3276,3.926
V50,SUS+CQI@0.75,30000,3004.9,52.41,48.0,0.6129,0.3847,3.967
V50,SUS+CQI@0.75,30001,3229.5,82.16,76.3,0.5587,0.4374,3.971
V50,SUS+CQI@0.75,30002,2779.0,113.97,107.56,0.5231,0.4739,4.0
V50,SUS+CQI@0.75,30003,1845.4,39.39,35.07,0.5776,0.42,3.953
V50,SUS+CQI@0.75,30004,4708.1,75.85,71.4,0.6269,0.371,3.974
V50,SUS+CQI@0.75,30005,4833.1,72.67,68.12,0.6427,0.3537,3.986
V50,SUS+CQI@0.75,30006,5664.1,103.86,98.52,0.6028,0.3931,3.972
V50,SUS+CQI@0.75,30007,4183.6,57.46,55.32,0.67,0.3278,3.869
V50,SUS+CQI@0.80,30000,2970.1,52.26,47.92,0.6113,0.3863,3.913
V50,SUS+CQI@0.80,30001,3172.2,81.98,75.93,0.5567,0.4395,3.926
V50,SUS+CQI@0.80,30002,2754.5,113.97,107.48,0.5225,0.4746,4.0
V50,SUS+CQI@0.80,30003,1795.9,39.28,34.88,0.574,0.4237,3.89
V50,SUS+CQI@0.80,30004,4580.1,75.54,70.78,0.6217,0.3759,3.95
V50,SUS+CQI@0.80,30005,4781.9,72.49,67.86,0.6404,0.3558,3.969
