world,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
V60max,SU+Deadline-PF,40003,-1854.7,63.54,0.5926,1.0
V60max,SU+PF,40003,-2094.7,64.48,0.5864,1.0
V60max,SU+Random,40003,-6466.2,45.24,0.6983,1.0
V60max,SU+MW,40003,1982.1,83.67,0.4824,1.0
V60max,SU+EDF,40003,-12001.3,26.22,0.826,1.0
V60max,SUS+Deadline-PF,40004,3546.7,66.14,0.4282,3.986
V60max,SUS+PF,40004,3646.6,66.78,0.4231,3.98
V60max,SUS+Random,40004,1676.7,58.52,0.4917,3.995
V60max,SUS+MW,40004,4252.3,69.72,0.4025,3.984
V60max,SUS+EDF,40004,-1724.7,42.57,0.6241,3.999
V60max,SU+CQI,40004,2868.3,66.54,0.4315,1.0
V60max,SU+Deadline-PF,40004,1519.9,58.09,0.4944,1.0
V60max,SU+PF,40004,1547.6,58.91,0.4872,1.0
V60max,SU+Random,40004,-3082.7,38.55,0.6524,1.0
V60max,SU+MW,40004,2170.6,62.64,0.4677,1.0
V60max,SU+EDF,40004,-7524.0,23.31,0.7907,1.0
V60max,SUS+Deadline-PF,40005,2879.3,78.71,0.4556,3.983
V60max,SUS+PF,40005,2768.7,78.52,0.4579,3.975
V60max,SUS+Random,40005,2564.8,76.91,0.465,3.99
V60max,SUS+MW,40005,4946.5,87.73,0.3978,3.963
V60max,SUS+EDF,40005,637.5,67.18,0.5284,3.999
V60max,SU+CQI,40005,1631.7,75.65,0.4787,1.0
V60max,SU+Deadline-PF,40005,-941.0,62.78,0.5633,1.0
V60max,SU+PF,40005,-884.5,63.91,0.5548,1.0
V60max,SU+Random,40005,-3526.4,51.52,0.6331,1.0
V60max,SU+MW,40005,777.5,71.73,0.5123,1.0
V60max,SU+EDF,40005,-5333.6,44.67,0.6852,1.0
V60max,SUS+Deadline-PF,40006,5268.2,65.87,0.3189,3.909
V60max,SUS+PF,40006,5326.2,66.24,0.3153,3.892
V60max,SUS+Random,40006,5265.2,65.8,0.3191,3.928
V60max,SUS+MW,40006,6000.5,69.24,0.2874,3.832
V60max,SUS+EDF,40006,3950.5,58.89,0.385,3.992
V60max,SU+CQI,40006,5448.5,67.46,0.3051,1.0
V60max,SU+Deadline-PF,40006,3916.0,59.71,0.3799,1.0
V60max,SU+PF,40006,3821.5,59.89,0.3781,1.0
V60max,SU+Random,40006,1204.5,47.62,0.4927,1.0
V60max,SU+MW,40006,5435.0,67.23,0.3101,1.0
V60max,SU+EDF,40006,-2667.8,31.98,0.6581,1.0
V60max,SUS+Deadline-PF,40007,1665.7,31.15,0.415,3.8
V60max,SUS+PF,40007,1644.5,31.04,0.4164,3.797
V60max,SUS+Random,40007,1406.2,30.08,0.4349,3.837
V60max,SUS+MW,40007,1733.3,31.61,0.4103,3.78
V60max,SUS+EDF,40007,1373.5,29.51,0.4449,3.899
V60max,SU+CQI,40007,2507.9,35.25,0.346,1.0
V60max,SU+Deadline-PF,40007,2202.9,33.24,0.3777,1.0
V60max,SU+PF,40007,2182.1,33.2,0.3765,1.0
V60max,SU+Random,40007,866.3,27.12,0.4819,1.0
V60max,SU+MW,40007,2231.8,33.75,0.373,1.0
V60max,SU+EDF,40007,-308.0,21.56,0.5877,1.0
CSI02,SUS+CQI@0.60,40000,2338.4,27.96,0.3118,3.656
CSI02,SUS+CQI@0.65,40000,2371.4,28.11,0.3076,3.599
CSI02,SUS+CQI@0.70,40000,2400.3,28.2,0.3045,3.528
CSI02,SUS+CQI@0.75,40000,2444.9,28.42,0.2996,3.442
CSI02,SUS+CQI@0.80,40000,2526.7,28.77,0.2916,3.306
CSI02,SUS+CQI@0.60,40001,2105.2,38.68,0.4031,3.982
CSI02,SUS+CQI@0.65,40001,2061.0,38.55,0.4052,3.975
CSI02,SUS+CQI@0.70,40001,2075.1,38.62,0.404,3.963
CSI02,SUS+CQI@0.75,40001,2064.4,38.57,0.404,3.929
CSI02,SUS+CQI@0.80,40001,2042.7,38.47,0.4057,3.847
CSI02,SUS+CQI@0.60,40002,4521.1,56.02,0.3214,3.989
CSI02,SUS+CQI@0.65,40002,4537.3,56.06,0.3218,3.988
CSI02,SUS+CQI@0.70,40002,4564.1,56.21,0.3192,3.985
CSI02,SUS+CQI@0.75,40002,4527.0,55.94,0.3214,3.975
CSI02,SUS+CQI@0.80,40002,4419.9,55.41,0.3277,3.951
CSI02,SUS+CQI@0.60,40003,5924.1,98.31,0.3817,4.0
CSI02,SUS+CQI@0.65,40003,5907.3,98.14,0.3822,4.0
CSI02,SUS+CQI@0.70,40003,5871.3,97.95,0.3834,4.0
CSI02,SUS+CQI@0.75,40003,5849.8,97.88,0.3841,3.998
CSI02,SUS+CQI@0.80,40003,5743.5,97.39,0.3866,3.988
CSI02,SUS+CQI@0.60,40004,3446.3,67.0,0.4194,3.995
CSI02,SUS+CQI@0.65,40004,3487.8,67.13,0.4185,3.99
CSI02,SUS+CQI@0.70,40004,3532.9,67.4,0.4165,3.984
CSI02,SUS+CQI@0.75,40004,3543.7,67.37,0.4169,3.967
CSI02,SUS+CQI@0.80,40004,3532.9,67.33,0.4173,3.927
CSI02,SUS+CQI@0.60,40005,3869.9,83.16,0.4233,3.97
CSI02,SUS+CQI@0.65,40005,3982.9,83.55,0.4206,3.964
CSI02,SUS+CQI@0.70,40005,3980.5,83.6,0.4206,3.953
CSI02,SUS+CQI@0.75,40005,3975.9,83.84,0.4206,3.938
CSI02,SUS+CQI@0.80,40005,4004.5,83.73,0.4196,3.896
CSI02,SUS+CQI@0.60,40006,5766.4,68.34,0.291,3.934
CSI02,SUS+CQI@0.65,40006,5807.3,68.55,0.2899,3.912
CSI02,SUS+CQI@0.70,40006,5811.5,68.47,0.2889,3.881
CSI02,SUS+CQI@0.75,40006,5822.5,68.56,0.29,3.827
CSI02,SUS+CQI@0.80,40006,5834.7,68.66,0.2887,3.728
CSI02,SUS+CQI@0.60,40007,1592.5,31.06,0.4068,3.854
CSI02,SUS+CQI@0.65,40007,1596.1,31.09,0.4076,3.835
CSI02,SUS+CQI@0.70,40007,1609.5,31.15,0.4065,3.793
CSI02,SUS+CQI@0.75,40007,1590.4,31.05,0.4085,3.737
CSI02,SUS+CQI@0.80,40007,1595.7,31.02,0.4068,3.65
CSI02,SUS+Deadline-PF,40000,2336.5,28.01,0.311,3.545
CSI02,SUS+PF,40000,2335.1,28.0,0.311,3.542
CSI02,SUS+Random,40000,2266.4,27.73,0.3183,3.604
CSI02,SUS+MW,40000,2361.9,28.12,0.3095,3.552
CSI02,SUS+EDF,40000,2228.4,27.53,0.3263,3.695
CSI02,SU+CQI,40000,2855.1,30.35,0.2648,1.0
CSI02,SU+Deadline-PF,40000,2630.2,29.31,0.2858,1.0
CSI02,SU+PF,40000,2650.7,29.45,0.2824,1.0
CSI02,SU+Random,40000,2083.7,26.66,0.3435,1.0
CSI02,SU+MW,40000,2632.1,29.34,0.2931,1.0
CSI02,SU+EDF,40000,1163.0,21.96,0.4647,1.0
CSI02,SUS+Deadline-PF,40001,1795.6,37.29,0.4245,3.971
CSI02,SUS+PF,40001,1789.6,37.3,0.4241,3.971
CSI02,SUS+Random,40001,1200.7,34.85,0.4587,3.982
CSI02,SUS+MW,40001,1897.9,37.81,0.4183,3.967
CSI02,SUS+EDF,40001,726.7,31.85,0.51,3.996
CSI02,SU+CQI,40001,2602.3,41.26,0.3732,1.0
CSI02,SU+Deadline-PF,40001,2031.1,38.1,0.4179,1.0
CSI02,SU+PF,40001,2048.2,38.32,0.4117,1.0
CSI02,SU+Random,40001,1.2,29.44,0.5411,1.0
CSI02,SU+MW,40001,2381.5,40.19,0.3906,1.0
CSI02,SU+EDF,40001,-2840.2,17.65,0.7256,1.0
CSI02,SUS+Deadline-PF,40002,3705.1,51.41,0.3713,3.997
CSI02,SUS+PF,40002,3647.1,51.43,0.3698,3.996
CSI02,SUS+Random,40002,2112.8,44.67,0.4464,3.999
CSI02,SUS+MW,40002,3621.3,51.38,0.3781,3.994
CSI02,SUS+EDF,40002,970.4,37.36,0.536,4.0
CSI02,SU+CQI,40002,3826.1,54.26,0.3503,1.0
CSI02,SU+Deadline-PF,40002,2607.9,46.62,0.4328,1.0
CSI02,SU+PF,40002,2312.0,46.28,0.4351,1.0
CSI02,SU+Random,40002,-768.6,32.56,0.588,1.0
CSI02,SU+MW,40002,2979.4,50.34,0.4025,1.0
CSI02,SU+EDF,40002,-2732.7,24.16,0.6965,1.0
CSI02,SUS+Deadline-PF,40003,1034.9,75.54,0.5188,4.0
CSI02,SUS+PF,40003,976.3,75.97,0.5134,4.0
CSI02,SUS+Random,40003,-102.3,71.11,0.5414,4.0
CSI02,SUS+MW,40003,5377.6,95.72,0.3997,4.0
CSI02,SUS+EDF,40003,-5458.3,46.83,0.6931,4.0
CSI02,SU+CQI,40003,2635.3,86.87,0.4557,1.0
CSI02,SU+Deadline-PF,40003,-3788.1,55.28,0.6431,1.0
CSI02,SU+PF,40003,-4417.0,55.08,0.6409,1.0
CSI02,SU+Random,40003,-8105.5,39.13,0.7335,1.0
CSI02,SU+MW,40003,1064.3,79.85,0.5051,1.0
CSI02,SU+EDF,40003,-13063.9,21.87,0.8526,1.0
CSI02,SUS+Deadline-PF,40004,2069.6,59.93,0.4763,3.997
CSI02,SUS+PF,40004,2164.4,60.59,0.468,3.995
CSI02,SUS+Random,40004,363.9,52.97,0.5317,3.999
CSI02,SUS+MW,40004,2988.2,64.7,0.4422,3.995
CSI02,SUS+EDF,40004,-3475.4,35.18,0.6841,4.0
CSI02,SU+CQI,40004,1954.4,63.16,0.4608,1.0
