config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
V60max,SUS+PF,30016,24,1939.3,96.08,88.91,0.5103,0.486,3.98
V60max,SUS+Random,30016,24,3093.9,100.38,93.14,0.5334,0.4624,3.983
V60max,SU+PF,30016,24,-4993.3,67.36,61.94,0.357,0.6376,1.0
V60max,SU+Random,30016,24,-5824.9,67.23,56.06,0.3302,0.6647,1.0
V60max,SUS+PF,30017,26,-2735.7,70.82,58.68,0.388,0.6072,4.0
V60max,SUS+Random,30017,26,-3068.3,70.52,56.41,0.3749,0.6201,4.0
V60max,SU+PF,30017,26,-5892.7,56.01,47.26,0.3131,0.6812,1.0
V60max,SU+Random,30017,26,-8653.5,49.21,34.03,0.2337,0.7604,1.0
V60max,SUS+PF,30018,24,2925.8,65.08,59.66,0.5732,0.4239,3.95
V60max,SUS+Random,30018,24,2043.5,62.44,55.4,0.5349,0.462,3.981
V60max,SU+PF,30018,24,1140.3,57.73,52.83,0.5071,0.4898,1.0
V60max,SU+Random,30018,24,-1195.7,50.85,40.83,0.4052,0.5905,1.0
V60max,SUS+PF,30019,28,2917.9,72.03,64.02,0.5552,0.4389,3.995
V60max,SUS+Random,30019,28,2104.4,69.3,59.99,0.5227,0.4712,3.999
V60max,SU+PF,30019,28,-305.7,58.56,51.2,0.4484,0.545,1.0
V60max,SU+Random,30019,28,-2804.0,51.85,39.25,0.3507,0.6423,1.0
V60max,SUS+PF,30020,30,1576.4,73.12,64.65,0.5097,0.4864,3.999
V60max,SUS+Random,30020,30,1338.3,72.46,63.07,0.4984,0.4979,4.0
V60max,SU+PF,30020,30,-659.7,63.58,56.08,0.443,0.5533,1.0
V60max,SU+Random,30020,30,-3887.5,53.43,41.09,0.334,0.6614,1.0
V60max,SUS+PF,30021,21,3280.8,43.7,40.57,0.6771,0.319,3.658
V60max,SUS+Random,30021,21,3125.7,43.12,39.89,0.6661,0.3299,3.723
V60max,SU+PF,30021,21,3541.2,44.44,41.66,0.6957,0.3003,1.0
V60max,SU+Random,30021,21,2616.4,41.47,37.22,0.6251,0.369,1.0
V60max,SUS+PF,30022,20,3540.1,62.34,56.96,0.6087,0.3879,3.946
V60max,SUS+Random,30022,20,3369.1,61.72,55.99,0.5995,0.397,3.965
V60max,SU+PF,30022,20,2058.2,56.15,51.42,0.5491,0.4479,1.0
V60max,SU+Random,30022,20,-70.0,49.8,41.15,0.4471,0.5489,1.0
V60max,SUS+PF,30023,28,-3124.9,97.73,80.28,0.3968,0.5988,4.0
V60max,SUS+Random,30023,28,-5362.6,90.74,70.47,0.3508,0.6445,4.0
V60max,SU+PF,30023,28,-9299.0,69.8,57.64,0.289,0.7061,1.0
V60max,SU+Random,30023,28,-13041.0,59.53,41.13,0.2132,0.7816,1.0
V60max,SUS+PF,30024,19,-314.7,69.76,59.29,0.4474,0.5489,3.997
V60max,SUS+Random,30024,19,-1391.3,65.85,55.1,0.4142,0.5822,3.999
V60max,SU+PF,30024,19,-2574.9,59.11,50.92,0.3848,0.6117,1.0
V60max,SU+Random,30024,19,-6217.0,47.84,34.66,0.2689,0.7262,1.0
V60max,SUS+PF,30025,22,7646.7,98.57,88.98,0.6822,0.3147,3.992
V60max,SUS+Random,30025,22,5470.8,91.32,79.49,0.6116,0.385,3.999
V60max,SU+PF,30025,22,2876.3,78.41,70.14,0.5416,0.4543,1.0
V60max,SU+Random,30025,22,-1366.4,64.68,51.28,0.4061,0.5887,1.0
V60max,SUS+PF,30026,27,3645.1,67.05,58.77,0.5983,0.3985,3.994
V60max,SUS+Random,30026,27,2466.7,63.18,53.23,0.546,0.4496,3.998
V60max,SU+PF,30026,27,2486.5,61.59,54.51,0.556,0.441,1.0
V60max,SU+Random,30026,27,-1237.8,49.56,37.51,0.3948,0.6004,1.0
V60max,SUS+PF,30027,22,2611.4,83.03,74.27,0.5316,0.464,3.997
V60max,SUS+Random,30027,22,2184.4,81.27,71.84,0.5167,0.4785,3.999
V60max,SU+PF,30027,22,-1059.0,67.36,59.69,0.4317,0.5629,1.0
V60max,SU+Random,30027,22,-4407.5,56.62,44.82,0.3298,0.6637,1.0
V60max,SUS+PF,30028,16,8608.8,80.55,75.81,0.8213,0.1747,3.845
V60max,SUS+Random,30028,16,7536.2,77.47,70.92,0.7697,0.2255,3.926
V60max,SU+PF,30028,16,6386.0,71.92,67.29,0.7286,0.2671,1.0
V60max,SU+Random,30028,16,3616.4,62.85,53.9,0.595,0.3986,1.0
V60max,SUS+PF,30029,18,2857.0,63.67,55.45,0.5665,0.43,3.961
V60max,SUS+Random,30029,18,1850.0,60.21,51.27,0.524,0.4718,3.981
V60max,SU+PF,30029,18,2242.3,60.24,53.63,0.5465,0.4496,1.0
V60max,SU+Random,30029,18,-817.7,49.63,40.1,0.4157,0.5792,1.0
V60max,SUS+PF,30030,30,-3089.7,88.62,73.02,0.3912,0.6045,4.0
V60max,SUS+Random,30030,30,-3705.8,86.23,70.49,0.3778,0.6179,4.0
V60max,SU+PF,30030,30,-7285.9,69.26,57.7,0.3098,0.685,1.0
V60max,SU+Random,30030,30,-11320.1,56.83,39.94,0.2216,0.7727,1.0
V60max,SUS+PF,30031,21,106.8,58.44,49.63,0.4613,0.5349,3.982
V60max,SUS+Random,30031,21,-932.0,54.23,45.22,0.4235,0.5726,3.992
V60max,SU+PF,30031,21,-500.4,54.97,47.63,0.4426,0.5535,1.0
V60max,SU+Random,30031,21,-4316.5,42.47,30.91,0.2956,0.6996,1.0
V60max,SUS+PF,30032,31,1243.1,82.32,68.71,0.4861,0.5103,4.0
V60max,SUS+Random,30032,31,-594.0,75.88,60.49,0.4311,0.565,4.0
V60max,SU+PF,30032,31,-1878.5,68.13,56.42,0.404,0.5915,1.0
