world,sched,seed,reward
D26,SUS+MW@0.65,40000,2582.3
D26,SUS+MW@0.70,40000,2595.0
D26,SUS+MW@0.75,40000,2612.7
D26,SUS+MW@0.80,40000,2662.9
D26,SUS+MW@0.60,40001,2194.6
D26,SUS+MW@0.65,40001,2234.6
D26,SUS+MW@0.70,40001,2233.4
D26,SUS+MW@0.75,40001,2268.6
D26,SUS+MW@0.80,40001,2258.9
D26,SUS+MW@0.60,40002,4083.0
D26,SUS+MW@0.65,40002,4133.7
D26,SUS+MW@0.70,40002,4186.9
D26,SUS+MW@0.75,40002,4269.7
D26,SUS+MW@0.80,40002,4255.6
D26,SUS+MW@0.60,40003,5896.2
D26,SUS+MW@0.65,40003,5896.1
D26,SUS+MW@0.70,40003,5961.1
D26,SUS+MW@0.75,40003,5860.6
D26,SUS+MW@0.80,40003,5804.9
D26,SUS+MW@0.60,40004,3655.6
D26,SUS+MW@0.65,40004,3713.3
D26,SUS+MW@0.70,40004,3768.2
D26,SUS+MW@0.75,40004,3924.0
D26,SUS+MW@0.80,40004,3971.1
D26,SUS+MW@0.60,40005,4275.2
D26,SUS+MW@0.65,40005,4377.4
D26,SUS+MW@0.70,40005,4438.4
D26,SUS+MW@0.75,40005,4504.2
D26,SUS+MW@0.80,40005,4492.3
D26,SUS+MW@0.60,40006,6042.2
D26,SUS+MW@0.65,40006,6063.5
D26,SUS+MW@0.70,40006,6082.8
D26,SUS+MW@0.75,40006,6113.3
D26,SUS+MW@0.80,40006,6155.7
D26,SUS+MW@0.60,40007,1659.3
D26,SUS+MW@0.65,40007,1696.5
D26,SUS+MW@0.70,40007,1701.4
D26,SUS+MW@0.75,40007,1732.9
D26,SUS+MW@0.80,40007,1778.4
