update,policy_loss,value_loss,entropy_sum,entropy_mean,approx_KL,clip_fraction,grad_norm,explained_variance
0,0.004105674178851101,0.9944806064133824,9.375598341830733,0.5732480407878656,0.03008695641770389,0.3653353987068966,0.6241448699729517,-7.477613595607835e-05
1,-0.018781751259849905,26.212000064907883,10.14377657956532,0.6058410945998762,0.01757937541095026,0.23884529903017243,6.579716235399246,0.0009505697841948324
2,-0.014329332710187897,14.235742214970394,13.106354756495545,0.7547240155737232,0.012107684466925627,0.16771619073275862,6.736665189266205,0.007784883759968775
3,-0.006681185322425312,27.41298436834827,14.318147582654312,0.7959650410108413,0.019190983328308934,0.2529381061422414,12.063433170318604,0.009785329443773527
4,0.009149263509887755,28.40060441766122,7.896387119643398,0.466167420633422,0.02798810080514221,0.32476596174568967,16.21011060476303,0.026248720476396148
5,0.017386602832839885,17.504695353383937,9.171892854936043,0.5397004572881652,0.021798882239040567,0.26066641971982757,20.275996565818787,-0.0009581103996345597
6,0.01528363506434971,5.362410190978944,7.926337990655658,0.47178835576617784,0.02767951598371869,0.3181573275862069,16.036280361935496,-0.3049681163331266
7,-0.009864930352687283,1.548051667571152,9.72431922907909,0.5794057150198004,0.011373114835617436,0.1617473733836207,13.240320205688477,-0.1091442692411766
8,0.025077225146395873,11.896001636110963,13.329938669997098,0.7283571278031591,0.032369091530764026,0.3784684806034483,39.309794664382935,-0.26018898509178623
9,0.01074436358227174,25.96941599842629,11.045957756138423,0.6101391514257557,0.030303933806988363,0.3844372979525862,76.81522750854492,-0.13591246451978312
10,0.023103091776139326,3.6839901953784575,9.137384363011044,0.5308867480406944,0.026019375731140888,0.3092756600215517,22.005669394508004,-0.8919893129427117
11,0.02512749952772047,2.8880400468004503,12.714233654373574,0.7241496782594838,0.03977202113812131,0.4368938577586207,3.1296052783727646,-1.4577767271174125
12,-0.005320275110235404,2.13642747450847,9.714513366810118,0.5882771911373907,0.015737113820344754,0.2209051724137931,11.031876415014267,-2.1373000440140104
13,0.017244802380567872,1.5671556441794745,8.302204782834702,0.505821533301279,0.03459506625899692,0.4035981276939655,1.9363044770434499,-1.329102036815201
14,0.02032339797608137,2.7738270867685877,11.790146556254356,0.656961500663501,0.02506109883889339,0.33190497036637934,20.823752880096436,-0.3596528957140859
15,-0.005978860771156207,1.922560427962365,10.50964968870414,0.5931759503410863,0.011872459029385433,0.16165476831896552,14.571672350168228,-0.22437449431262624
16,-0.006538839879038371,1.5590694613669656,10.647329569728,0.616370357362406,0.012504595574714115,0.17172346443965517,13.391762182116508,-0.49807520994629817
17,-0.002486233865969836,1.6262051285359664,13.03943458545134,0.7439401690222941,0.01741302934508361,0.2230266702586207,17.731375008821487,0.05477935246463739
18,-0.011438198947247884,1.3924691897305572,13.48350625940406,0.7583782720158242,0.02152044722230318,0.2751043911637931,8.13093514740467,0.08314713674363483
19,0.023332815920490434,0.9391325752352351,9.915404487108201,0.5647465833510446,0.03966388923937961,0.4317837419181034,3.779016513377428,0.03485958519015875
20,-0.005342588196355266,1.3307589116485414,8.222659118573887,0.5165774589336094,0.008642032433899344,0.11808829471982758,22.157309114933014,-0.15374195134211943
21,-0.0005356695217730938,1.8159874776127518,9.190801043214693,0.5609350858997867,0.013726666164263312,0.1713109509698276,25.259980589151382,-0.20792567050272814
22,-0.0020321625622232945,0.7673423632440035,9.713966971280852,0.5790266853937283,0.02096176660591576,0.27288186961206895,4.246358748525381,-0.22536571300362196
23,-0.009865403723940406,0.8975131753332506,9.498603949835124,0.5531277870650229,0.014069521549039374,0.177490234375,8.425147697329521,-0.22159504630572213
24,-0.01637055054454975,0.6097793327099083,9.474195756846115,0.5621305106565003,0.008806488329669107,0.117919921875,5.286138623952866,0.011083633481123845
25,0.00781843824429396,1.645545956193739,12.135178940986876,0.6744808283622441,0.021726384186908476,0.31251683728448276,16.437098249793053,0.12218754355236583
26,0.011804537132054461,2.4451840941632743,12.875316762137588,0.7631933545740923,0.02366751523142488,0.29426522090517243,25.494643203914165,0.1668370755976455
27,0.012288389772985114,1.6224251213376628,12.090891176694202,0.7157771650956168,0.029535973339455988,0.34992086476293105,20.003459544852376,0.014523709265838125
28,-0.010966839891762017,0.8046891918828272,8.08147776778662,0.4817249677078131,0.011023214842837126,0.16242928340517243,12.20882397890091,-0.16620037012815447
29,0.003363476381251425,5.601976846767766,13.37113250081843,0.791624256077645,0.01826007488978513,0.24221275592672414,51.551691226661205,-0.24570991558990207
30,0.0013044265338890155,6.0341956616313315,9.877569176821673,0.5609444739603877,0.009507443542604271,0.13030374461206898,61.561786234378815,-0.08337442547400364
31,-0.012153971811027363,1.6302177257713417,12.525896511118908,0.7065854185836135,0.011131268747578422,0.16298491379310345,28.1146682202816,-0.07812967131702164
32,0.024512918618460028,3.890147479691743,8.08037539870139,0.45472900863858046,0.0292058409387868,0.35678205818965514,45.53790391236544,0.033034549073929664
33,-0.009899251240936319,1.183098457509646,13.025708086294893,0.7292780410370424,0.012323578020029879,0.16835600754310345,21.704232931137085,0.08496425785459083
34,-0.00763222823169744,1.4917717278757494,10.025065251268549,0.5637711218998197,0.0071877529608800304,0.08876616379310345,31.579862654209137,0.017500250021902142
35,-0.012787097958036888,1.0662888061734281,5.864397238672507,0.3336980117372945,0.0050265400829536296,0.05856007543103448,24.941984444856644,-0.10732246258075606
36,0.023062812837916474,1.0958236766665623,8.501062649666483,0.48970220727717567,0.028802000687925287,0.31043743265086204,16.557066425681114,-0.00766316048954474
37,0.016877012714273526,1.2535254176907842,12.9384719284436,0.7494733004774576,0.025569655902880437,0.34292497306034486,6.695949286222458,-0.11756742512002516
38,0.04372181458229083,1.6026233561029857,11.125469873987484,0.6254354818115173,0.0405344780105977,0.44455482219827586,21.90448541380465,-0.35865780709980766
39,-0.005654372873981753,1.2698320684573594,7.25705986361911,0.42483084037903923,0.012583571074456217,0.17142039331896552,30.456412434577942,-0.43109079977429965
40,0.009448170196533517,3.0129396750539343,11.343532495108306,0.6600911624359311,0.02386558298944849,0.2849205280172414,44.795753955841064,-0.09469413464437082
41,0.0011880417867057103,0.7588112610697737,8.414083254448308,0.48572757089044083,0.023479993117156296,0.2764766298491379,4.412537597119808,-0.0033259120783599716
42,-0.012360022741539713,0.7308392508463118,10.983189834372125,0.6154110052601278,0.019679809125905036,0.24387964709051724,6.395061284303665,0.11732621036380819
43,0.00011676473755234526,0.7873113799908725,9.194108406381051,0.5091069312868435,0.0162893537031025,0.1908422009698276,10.48017581552267,-0.08890071527288357
44,-0.009629971962753375,1.0452949031803855,10.56620230847781,0.5815242492166801,0.012046951077254248,0.1683644261853448,17.526864647865295,0.15781224297709195
45,-0.00862001059191407,0.8448705655564301,11.012820921962728,0.6189000281868582,0.014852237813415584,0.20400053879310343,10.534297496080399,0.07452608688025997
46,0.006462961845886247,2.4985580696912373,12.001878618577834,0.6783257433458418,0.011522378636010248,0.16851596174568967,41.66762185096741,0.16001891731733175
47,-0.0063853036688783504,1.164885196498037,8.432951824648693,0.47613766725763323,0.00960884648796717,0.13795629040948276,29.887064576148987,0.010801618179413275
48,-0.01013962236688595,1.63192021941018,12.932991640154546,0.729654228305976,0.00916321291427674,0.12556404903017243,24.424861386418343,0.17746699003115185
49,-0.009556028284614548,0.6100610645851037,6.01411678241355,0.3560321276208591,0.0053722561170961225,0.06776165140086207,14.035937249660492,0.18042227722936288
50,-0.01278826972250515,0.9651213574214172,12.201711288003997,0.6770517922751456,0.014638561024310486,0.19618803879310345,15.15534794330597,0.16744562446103106
51,-0.010191558862572947,1.2707888312937408,10.001718134237937,0.5733263004476612,0.012203061719854556,0.1546925511853448,25.81330832839012,0.06925337774444773
52,-0.0053522591655386234,4.1353044899697196,9.943273728131567,0.5919518082619264,0.010367745803799561,0.15120723329741378,57.86262872815132,0.12336802953049919
53,-0.0148397747088898,0.7170156232934533,10.225798152132734,0.5887615860475965,0.011658965524161588,0.16380994073275862,8.099494218826294,0.20647165628560715
54,-0.00031918494904571455,1.2258990732309099,7.903135193301479,0.44932302522070355,0.011527253520461241,0.15090416217672414,21.058264702558517,0.040919556119204614
55,0.0033700171690052927,10.315527015885024,10.124494283181086,0.6431014179518038,0.01664683734897749,0.20653455010775862,74.85110421292484,0.14692096111702035
56,-0.010320164380031777,1.3837587782105953,11.194298113821723,0.6319963480205404,0.009445570675748529,0.12470534752155171,17.957841515541077,0.11029512128464491
57,0.004236455692862286,1.6903308443845206,9.587879859133832,0.5695143960633843,0.018395598080352446,0.23748147898706895,20.853262841701508,0.1873745876220746
58,-0.0013482190522334596,2.2656729374185374,10.518522848995856,0.5864333430345141,0.014413304445795427,0.18699488146551724,25.933972895145416,0.04609159736662327
59,-0.009353048840221711,1.0588754224776524,9.460815385537993,0.5591536604932681,0.011550481301975227,0.15586274245689655,14.852232813835144,0.08583150366571857
60,-0.003486472685357638,3.5034814891948995,11.735386769316392,0.6810626798376626,0.008620886439216676,0.1161267510775862,33.09509879350662,0.08632253143441804
61,-0.0089116282445714,1.525652093489712,9.220825080648424,0.5393401702326157,0.012963077802349541,0.17388705549568967,19.7505761384964,0.009385152403727615
62,-0.003440665179200236,1.2424994113977808,10.544924649714035,0.5871809513224309,0.01819828679874953,0.2312937769396552,6.65601583942771,0.11652859189096798
63,0.0014515722328366024,3.326292532314108,9.965855627328736,0.5903782951931573,0.007674017483529088,0.10285055226293102,29.329487681388855,0.20688296230751801
