update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth
0,9355.421085854347,79.59130112487232,0.8858019123218474,0.11329604907090024,0.0,0,28.730564192166106,1.0,0.7159637578338497,5543,20,17.715005084939897,1.832083604970239
1,10087.488578592309,85.21722276677343,0.8888515217756853,0.11030771817723221,0.0,0,21.532250289330936,1.0,0.7245829547498879,5947,22,19.512842939025468,1.9799790165462106
2,10227.778568124097,93.40969376835014,0.835123367198839,0.16284470246734398,0.0,0,23.99389882854697,1.0,0.6281822553167848,6890,28,18.00649250535391,2.2874284952237978
3,11125.201702338747,99.13770842117177,0.8503486750348676,0.1479776847977685,0.0,0,17.040116443756006,1.0,0.6739261458362119,7170,30,18.250114482349236,2.6327959301085064
4,9504.955378613751,75.9208343130766,0.932336742722266,0.06687647521636507,0.0,0,22.47031447296091,1.0,0.8278369468933252,5084,18,17.78964979052596,2.068480523048207
5,9551.2990455696,78.75917835019918,0.9066963457614543,0.09200519384158783,0.0,0,16.05568985972559,1.0,0.7763892415602736,5391,20,17.558604538562438,2.219857887690285
6,7937.279031062351,63.79538905770181,0.9270516717325228,0.07177928454524199,0.0,0,15.589832329087374,1.0,0.8174275078137402,4277,16,19.43081881436943,2.093978119892367
7,6731.990841981753,62.990060461033245,0.8193153000845309,0.17857142857142858,0.0,0,9.498231079399606,1.0,0.6517791410854017,4732,21,16.846426299217686,2.3039815992035297
8,10549.162005797569,94.10070416185032,0.8477246207701283,0.1503792298716453,0.0,0,12.44419008149081,1.0,0.6769105441718862,6856,30,18.702445825282535,2.8419293846745384
9,13324.364064428552,104.77565884977373,0.9450261780104712,0.0533740546829552,0.0005817335660267597,0,16.639701861947994,1.0,0.8533920045803957,6876,25,18.924356563055127,3.000316019601072
10,9980.326371205716,84.37107833263228,0.8894583974030412,0.10917478216299334,0.00017085255424568598,0,14.313959643843353,1.0,0.7525205744837201,5853,23,18.634617545339307,2.5359705602005347
11,9455.02963996467,84.60164732925924,0.8454956409428479,0.1525670003228931,0.00016144656118824668,0,16.70506687257058,1.0,0.6730223956409684,6194,26,16.852879545205568,2.7483764021008645
12,8440.750972512287,76.0553212802086,0.8428520752039731,0.154487406881873,0.0,0,15.74477150275783,1.0,0.6471713423751632,5638,23,15.882014715800517,2.2757331638686424
13,7514.911814618964,63.274863390617504,0.8895427795382526,0.10842009959257583,0.00022634676324128565,0,14.68825466052361,1.0,0.7396680827927185,4418,17,15.988971398990916,2.3243266927140347
14,10600.344919622456,92.38246986276658,0.8638085138615361,0.13376761096803513,0.0006059687926071808,0,12.677805826724482,1.0,0.7115751275968649,6601,28,17.555402811106774,3.111794766117272
15,9523.06513895677,83.19243148424354,0.8619023821422622,0.13509911710811262,0.0011660836248542396,0,13.828047165416235,1.0,0.7051859242212714,6003,25,18.70882588222451,2.855299997585851
16,8037.340927805392,68.88759890028732,0.8751811219209273,0.12067894845787622,0.0016559718484785758,0,15.140466551982922,1.0,0.7148317387277506,4831,20,18.489397159253855,2.8176243113290638
17,9216.134291107115,89.0498910492143,0.8037205214589132,0.19437527464479273,0.00014647722279185587,0,12.531751355848368,1.0,0.6038034666817635,6827,30,16.795356031683596,2.4977074892891196
18,9304.894509838623,88.28921071616082,0.8085265519820494,0.1887808526551982,0.0007479431563201197,0,10.27914096628422,1.0,0.6494049640216109,6685,31,18.697296104003385,3.1790400978243705
19,9589.580886377378,85.04439475668352,0.8538298219826882,0.14290380532418748,0.0009799118079372856,0,11.443359255088836,1.0,0.6982054369348073,6123,26,19.07862141010402,2.744038921910932
20,6671.713394748719,58.28295412768585,0.8659942363112392,0.13208453410182516,0.0,0,12.915836330013267,1.0,0.7013589379246237,4164,16,17.736849977957775,1.8822877097002437
21,7121.897965352033,62.535746618679305,0.8604083444296493,0.1380381713271194,0.0,0,15.324860347761955,1.0,0.6788722283849352,4506,18,17.016397906251534,2.1091126639314672
22,7841.0846675307375,68.81526539972583,0.865257048092869,0.13329187396351574,0.0,0,14.8478786809691,1.0,0.7158411651511415,4824,19,17.526696645635205,2.1356061386834093
23,7724.132349550562,66.26618241650259,0.8768334771354616,0.12100949094046592,0.0008628127696289905,0,9.793918150862433,1.0,0.743761327728563,4636,20,16.864824558905447,2.6474140145935317
24,7875.437888012837,67.808024829241,0.8742999377722465,0.12424808131093135,0.00020742584526031943,0,16.504533539385065,1.0,0.7018627657770868,4821,19,15.070462690878696,2.1517503955355446
25,11111.614969331515,98.81376999779054,0.8514365802382621,0.14674141555711281,0.0001401541695865452,0,14.589196629848793,1.0,0.682171766801779,7135,30,17.93104018226611,2.841747953400321
26,11281.420681140145,95.3904071835441,0.8826706676669167,0.11432858214553639,0.000900225056264066,0,9.654486916003131,1.0,0.7655623126138652,6665,29,17.201959734221067,3.405873991496681
27,13277.782269883059,112.46680436678783,0.8832590706556334,0.11457670273711013,0.0006365372374283895,0,21.47576302879986,1.0,0.7192954459203589,7855,31,19.079746347127532,3.075996146413189
28,8666.39916203258,69.80606653293566,0.927405498281787,0.07216494845360824,0.0,0,17.611357010356002,1.0,0.8131360118416461,4656,17,20.592303205036856,2.271681911212615
29,6061.91669276507,58.76542755354257,0.7977833069441302,0.19995476136620674,0.00022619316896629722,0,13.922842823297907,1.0,0.6179398142737134,4421,20,16.423724014886982,2.6809292806149054
30,11608.146811938408,94.67105832966891,0.9180822352754405,0.0801714557866328,0.0006350214319733291,0,19.441874358059255,1.0,0.7950796289491913,6299,24,16.0672690823722,2.95997469902888
