update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth
0,6767.413649892102,61.74796198511427,0.8260576057605761,0.13253825382538253,0.04027902790279028,0,13.982123351864184,0.8624876909695118,0.4561737005067383,4444,20,15.0,3.782749902994336
1,6811.7877695828365,63.879626508501055,0.8069359272573483,0.13427786001268768,0.05730598435187143,0,9.599885165134918,0.856403024185368,0.5093857631480421,4729,22,15.0,3.809282155389773
2,5383.1234743706445,62.92390114922211,0.6935044729677169,0.2569039284325165,0.045507584597432905,0,11.600628148779112,0.8732906939052979,0.5806016995621427,5142,28,15.0,3.895060748293743
3,6430.611088173359,69.71102270800431,0.7263063063063063,0.22252252252252253,0.047747747747747746,0,9.732300423078803,0.8892239247167832,0.6611378486450443,5550,30,15.0,3.8879179919166154
4,7574.995860256452,63.18538573845697,0.8942803563056727,0.07571495546179091,0.029301453352086265,0,13.359963061194172,0.8690088530344108,0.4671675409983228,4266,18,15.0,3.4917704855804805
5,6776.124858075594,61.16394135592542,0.8309730470534491,0.11923252626770214,0.04819552306989493,0,7.429330688605171,0.8575151326545133,0.48877194803763513,4378,20,15.0,3.70755533289939
6,6594.1767891015725,55.51759735832185,0.8870315448908062,0.0892423833917498,0.02129954165543273,0,8.466220818973326,0.8677448192532307,0.421747669302707,3709,16,15.0,3.3890544894325516
7,3585.338685548293,44.371367267992746,0.6742202079445481,0.2439349506798187,0.0786456944814716,0,2.9677441905034203,0.862009724619355,0.4310124466862751,3751,21,15.0,3.8139499334773723
8,5454.20258811449,63.47587749446108,0.6981456700439687,0.24545975912827375,0.05199770598355955,0,6.15077987881272,0.8801777604541969,0.6574222026897881,5231,30,15.0,3.8728193657090513
9,10313.534767595176,85.4383968764202,0.8907255959631112,0.0789977379502349,0.028014616321559074,0,11.971545678721045,0.8810252524598774,0.6694506903547668,5747,25,15.0,3.6780556496246692
10,7079.786051745044,65.85609969642908,0.8135662898252827,0.12929085303186022,0.05570400822199383,0,8.76388493746973,0.8825122070823069,0.5296802288508577,4865,23,15.0,3.7860205280419392
11,5988.585111145421,63.59713236461684,0.7394408090422367,0.1965100138806266,0.06087646242316082,0,9.48638208927207,0.8749506025107946,0.5411270553363707,5043,26,15.0,3.8797781022424846
12,5009.049608027255,54.125696244567855,0.7397936294302377,0.17855540601166442,0.07940780619111709,0,7.9955836402595555,0.8752775427473031,0.4507612269787211,4458,23,15.0,3.867361745808833
13,5451.745596920967,51.10598941275995,0.8118811881188119,0.1122980719124544,0.07399687337154769,0,8.344519838036295,0.8993165073882605,0.3769641096458775,3838,17,15.0,3.7346933270967835
14,5920.707489550531,64.49098788573946,0.7236917221693625,0.2055185537583254,0.06736441484300666,0,6.768701538123613,0.8635893474211304,0.6043142264836711,5255,28,15.0,3.9031521722962927
15,5611.055463467013,59.8782518150315,0.7363163371488033,0.18772112382934444,0.07304890738813735,0,6.522411813705115,0.8759097374919536,0.534423550853641,4805,25,15.0,3.89152983603368
