scheduler,seed,reward,thr_mbps,sinr_db,comp,miss,retx_drop,total_fail,depth,jain,jain_allk
SUS+CQI,10000,6077.938305853401,63.62499575766389,8.91284370204205,0.7544343713046906,0.1984627512810406,0.044737879385100515,0.24320063066614112,3.975729132946901,0.598134808971411,0.4486011067285583
SUS+DPF,10000,5359.20639856523,59.50421894888528,8.895729763921613,0.7271799060649378,0.207269756994078,0.06289565039820298,0.270165407392281,3.9860101226634512,0.5784168437958899,0.4338126328469174
SUS+PF,10000,5607.296009533558,61.59819169899189,8.977310370285208,0.7333333333333333,0.20514342235410485,0.05875370919881306,0.2638971315529179,3.9854160750954706,0.5787998094562297,0.43409985709217225
SUS+Rnd,10000,4260.769459042579,52.40406770299035,8.330301810207997,0.6874044968347522,0.24536127483082296,0.06461471294477189,0.3099759877755949,3.9909356411218213,0.5768236348937935,0.43261772617034516
SU+CQI,10000,8121.369884883762,79.02541418147601,25.601523805828084,0.8017722349852314,0.19658680669510994,0.0,0.19658680669510994,1.0,0.5559888305006246,0.4169916228754684
SU+DPF,10000,5707.353732083244,60.86442234683895,25.083992807137378,0.7504621072088724,0.24645717806531114,0.0,0.24645717806531114,1.0,0.5601277335066709,0.42009580013000325
SU+PF,10000,5542.711209483,64.1266226854732,25.332711048818094,0.7245958429561201,0.2734795996920708,0.0,0.2734795996920708,1.0,0.5557651915387422,0.4168238936540566
SU+Rnd,10000,2172.1579498486176,41.38325472110472,22.720864496282292,0.5876236368247527,0.40857215318285567,0.0,0.40857215318285567,1.0,0.5975402177157979,0.44815516328684846
PPO,10000,8082.154854001673,78.05106888621015,23.196024299886616,0.8046396023198011,0.19436619718309858,0.0,0.19436619718309858,1.2393655991545562,0.5695795682348804,0.4271846761761603
SUS+CQI,10001,9941.05481092428,87.27738452323221,7.6594341155857215,0.8532749675745784,0.11462386511024643,0.029507133592736705,0.14413099870298313,3.947708978986501,0.7599502233103496,0.6412080009181075
SUS+DPF,10001,8813.074675661197,79.9202140649244,7.399832129170036,0.8238528956865441,0.12338889843615741,0.05018044337515037,0.1735693418113078,3.9734264291449657,0.7450244038271718,0.6286143407291762
SUS+PF,10001,8973.653201361867,81.32898046822885,7.42619617596219,0.8286004056795132,0.12102772143340094,0.0486815415821501,0.16970926301555106,3.967219500579375,0.7466196512540877,0.6299603307456365
SUS+Rnd,10001,7701.678740052376,73.53214410203789,6.991134063592581,0.7942145734163311,0.14976199194434273,0.05272793848407177,0.2024899304284145,3.9839311902856367,0.7530482722805885,0.6353844797367465
SU+CQI,10001,8135.247150874073,82.121637944348,19.951565348475203,0.7825414022597121,0.2159108497136666,0.0,0.2159108497136666,1.0,0.5481887548330461,0.46253426189038266
SU+DPF,10001,6606.6375753072725,62.75158120476335,18.415047664994532,0.7965591397849462,0.19978494623655915,0.0,0.19978494623655915,1.0,0.7469886127726552,0.6302716420269274
SU+PF,10001,5682.483917384716,66.441964247861,18.74863224101088,0.7180076628352491,0.2795019157088123,0.0,0.2795019157088123,1.0,0.7341289517725633,0.6194213030581005
SU+Rnd,10001,2977.484104917375,49.566308166583696,16.640454967281602,0.6065116279069768,0.38813953488372094,0.00023255813953488373,0.3883720930232558,1.0,0.7753460214389281,0.6541982055890954
PPO,10001,10667.07373611863,92.94974060857359,13.59952074634246,0.8650591583046279,0.1328440916579302,0.0001497678598172832,0.1329938595177475,2.193356873024897,0.7003690061283396,0.5909363489207864
SUS+CQI,10002,10797.713320894902,93.65513790459904,7.7194007491602825,0.8627450980392157,0.11339109287125702,0.021583827329381366,0.1349749202006384,3.9700146888632584,0.7699790710897534,0.7218553791466438
SUS+DPF,10002,9735.368997988773,86.80023328356353,7.658659069068045,0.8373708010335917,0.13210594315245477,0.028423772609819122,0.1605297157622739,3.988204159335197,0.754624792376404,0.7074607428528787
SUS+PF,10002,9443.468285868277,86.5324297511529,7.500113331714978,0.822772748928061,0.14387803716055264,0.031284738764491025,0.17516277592504367,3.9822343952984958,0.7654749775493336,0.7176327914525
