scheduler,seed,reward,thr,comp,drop
SUS-CQI@0.5,10000,8435.502060410417,85.78726204671248,0.7670446178766014,0.03872772787512885
SUS-CQI@0.5,10001,10385.159899584163,94.34681364097557,0.8275364410448838,0.021648145475537596
SUS-CQI@0.5,10002,11263.946389811845,97.38031427022811,0.8593772628530051,0.019840695148443156
SUS-CQI@0.5,10003,10586.934107006553,96.10360119268434,0.8305814788226848,0.022684852835606603
SUS-CQI@0.5,10004,12918.016951257727,107.46107960494135,0.8899294245385451,0.016829533116178068
SUS-CQI@0.5,10005,10514.8206256131,97.50041610890968,0.8134030549057383,0.03550295857988166
SUS-CQI@0.5,10006,8793.675072302402,88.64919305088655,0.7717805808154884,0.03402757406864183
SUS-CQI@0.5,10007,10531.938585942451,95.11062203980354,0.8300457404230989,0.03544882790165809
SUS-CQI@0.5,10008,9344.730207050041,89.4510486696478,0.7972336668628605,0.02516185991759859
SUS-CQI@0.5,10009,11415.966972662627,100.1189997016378,0.8514341409078251,0.02854358117516012
SUS-CQI@0.5,10010,9013.54356801781,87.93350729795718,0.7857463021066786,0.021515015688032272
SUS-CQI@0.5,10011,9592.933481384618,91.66084888271703,0.8002620468772748,0.021691658174406755
SUS-CQI@0.5,10012,7111.328558404185,78.2164384545208,0.735621521335807,0.03525046382189239
SUS-CQI@0.5,10013,11081.366651463357,99.36002803778564,0.8385438377101571,0.021119911074058636
SUS-CQI@0.5,10014,10107.566637632353,93.53794996025316,0.817423806785509,0.03234617596319724
SUS-CQI@0.5,10015,9992.611284629766,92.00009761906311,0.8180490654205608,0.037529205607476634
SUS-CQI@0.5,10016,11511.099927502626,100.06422551499331,0.8580755038319614,0.02043712744819756
SUS-CQI@0.5,10017,11447.637466197562,98.47606141125482,0.8623839907192575,0.022331786542923435
SUS-CQI@0.5,10018,9316.754690564889,88.07732038071755,0.8025699168556312,0.03250188964474679
SUS-CQI@0.5,10019,10823.750494182916,96.66380166842764,0.8373424971363116,0.033218785796105384
SUS-CQI@0.5,10020,11796.784184489668,100.34204817744394,0.8699175433608188,0.018055160648279785
SUS-CQI@0.5,10021,10774.951631713337,94.96895803193627,0.842479674796748,0.028310104529616725
SUS-CQI@0.5,10022,10255.602311678433,92.46604995332568,0.8287804149873116,0.022540677713091505
SUS-CQI@0.5,10023,10457.513745109994,92.9500298127956,0.8369793227449805,0.02637099190890021
SUS-CQI@0.5,10024,9317.429766641657,89.71902618799923,0.7914327917282127,0.03175775480059084
SUS-CQI@0.5,10025,10107.39663955295,93.62221251788087,0.8145243282498185,0.02832244008714597
SUS-CQI@0.5,10026,10681.938318024035,96.67421586494166,0.8279829545454546,0.031818181818181815
SUS-CQI@0.5,10027,11174.632024743045,98.2684299446364,0.8480217111841165,0.024996429081559777
SUS-CQI@0.5,10028,10251.964133080195,94.88637022653079,0.8133692875390293,0.03278455861481692
SUS-CQI@0.5,10029,12430.119385719643,105.12977896356078,0.8760747918657023,0.021837041080933532
SUS-CQI@0.5,10030,10249.722287880522,95.22209155289266,0.8160444571102878,0.024793388429752067
SUS-CQI@0.5,10031,9937.93809757263,94.4826850577802,0.8028426681677455,0.030819026175063328
SUS-CQI@0.5,10032,10443.088661368263,93.85537493396866,0.833162593297234,0.02048880433191863
SUS-CQI@0.5,10033,9793.63802270241,91.80424980700857,0.8090935587292335,0.026377149519090645
SUS-CQI@0.5,10034,9563.195852005183,92.75015869287952,0.7932787348206721,0.03332391979666761
SUS-CQI@0.5,10035,9797.619276507234,91.85735144166307,0.8067660550458715,0.037127293577981654
SUS-CQI@0.5,10036,11189.610754157622,99.19201056789062,0.8440701754385965,0.031578947368421054
SUS-CQI@0.5,10037,10875.396126617201,96.36920131553012,0.8463553033609778,0.016150152771715408
SUS-CQI@0.5,10038,7994.02257639034,82.30421836934897,0.7597442143727162,0.03684531059683313
SUS-CQI@0.5,10039,11129.335866747304,97.72938212156245,0.8501878069921988,0.02195897139555042
