scheduler,seed,reward,thr_mbps,comp,drop,depth
SUS+CQI,10000,6281.627240252425,64.95119959497879,0.7618305744888023,0.04070107108081791,3.979227326276933
SUS+CQI,10001,10035.815146296187,87.91033082580935,0.8559857443706463,0.023975376640207356,3.9506937971940603
SUS+CQI,10002,10701.66727149335,92.64662769932782,0.8624314442413162,0.018129189518586226,3.9718131539677786
SUS+CQI,10003,8659.801355383392,79.55282599105107,0.8226839826839827,0.017316017316017316,3.972733784070974
SUS+CQI,10004,12768.598481730962,107.30146584070283,0.8864194164166894,0.009680938096536678,3.966464186053723
SUS+CQI,10005,8006.595487904766,67.36569018578058,0.885949696444059,0.014310494362532523,3.8006658290987203
SUS+CQI,10006,6092.803255216493,57.679011359116366,0.8092540132200189,0.05028328611898017,3.8533863586488097
SUS+CQI,10007,7139.173267385732,59.04581851753733,0.9029567854435178,0.017690169320192066,3.394377328194785
SUS+CQI,10008,6852.538030009111,68.23664889560123,0.7776076555023923,0.038086124401913876,3.94734175821912
SUS+CQI,10009,11104.34948914277,96.05245517408181,0.8624136410407174,0.02072615022784066,3.934799840344603
SUS+CQI,10010,3763.159385451294,40.85133252494837,0.7353491271820449,0.04395261845386534,3.851652422647656
SUS+CQI,10011,8890.963191340801,76.25675461311984,0.8724365004703669,0.022577610536218252,3.8394547851704846
SUS+CQI,10012,4697.069082125239,47.26637355595343,0.7791891891891892,0.035405405405405405,3.866694843822044
SUS+CQI,10013,10744.438751780628,94.09365971279803,0.8585935131858139,0.011821764170960897,3.9611094467643317
SUS+CQI,10014,9270.904257139906,84.24474139586881,0.8331974563834991,0.034077939018424916,3.974396583711147
SUS+CQI,10015,9540.246097589585,85.74103904477369,0.8371944400063908,0.03578846461096022,3.9466143728729053
SUS+CQI,10016,10300.252336945921,86.35742768340528,0.8865103635745838,0.023955147808358817,3.9007251951544886
SUS+CQI,10017,7643.137637958202,61.90388808001774,0.9202153695545766,0.011013215859030838,3.509328075489754
SUS+CQI,10018,8179.130982304173,77.58150292000573,0.8005829903978052,0.025891632373113854,3.9866886212285446
SUS+CQI,10019,10323.786290282518,92.9658791849553,0.8354392745651851,0.025271294782220902,3.984533799992215
SUS+DPF,10000,5588.671320837709,61.00739090214621,0.7359324758842444,0.043810289389067524,3.9869688484197163
SUS+DPF,10001,9091.482618093683,81.29359996722353,0.83566791937137,0.036556200888281515,3.9717112495504066
SUS+DPF,10002,9599.93852025234,85.16156728765223,0.8380921479558728,0.029688513951979235,3.987944409120612
SUS+DPF,10003,7708.603130969123,73.7231756662181,0.7935081606455162,0.024206858609939482,3.9842710503661714
SUS+DPF,10004,12552.801631582304,105.47515536102911,0.8829772378159475,0.014523111297304846,3.973586578250498
SUS+DPF,10005,7986.726939136583,66.89496829146184,0.8903027643703378,0.01491882404563405,3.822999605426855
SUS+DPF,10006,5690.336115421102,55.698263299516405,0.7883610451306413,0.0665083135391924,3.87401410261217
SUS+DPF,10007,7053.625229966485,58.759924377677905,0.8953077699293642,0.01866801210898083,3.425132918021977
SUS+DPF,10008,5567.842940179643,60.64851207226327,0.7323450689726169,0.05600164710726786,3.9696076149357022
SUS+DPF,10009,10200.987933186476,90.78595075933362,0.8379167306805961,0.029497618681825166,3.967747025266412
SUS+DPF,10010,3695.5125866099374,40.89546394023614,0.7270775835633241,0.050291321680466114,3.8545582128707743
SUS+DPF,10011,8842.349293050425,76.07637362145948,0.8706618623174663,0.025981414754409255,3.8477564005654874
SUS+DPF,10012,4497.4526040861565,45.863469080501716,0.772877618522602,0.03996692392502756,3.882245780351321
SUS+DPF,10013,9841.911505945423,88.57207757177248,0.8355231913883172,0.013614057305683077,3.9767829782806015
SUS+DPF,10014,8179.147482470584,77.50565799400675,0.8023674729799279,0.04529078744209985,3.9889554267465144
SUS+DPF,10015,8636.869941588418,80.07911305340689,0.8155012636899748,0.04919966301600674,3.9730095790235462
SUS+DPF,10016,10152.063192711616,85.29709898054179,0.8859269517050372,0.02856153712999827,3.9061492423221456
SUS+DPF,10017,7656.437296121802,62.20240015530032,0.9159378036929058,0.01239067055393586,3.5194576391042323
SUS+DPF,10018,7068.148254493705,70.26504902642888,0.7691740412979351,0.03650442477876106,3.9923117261522267
SUS+DPF,10019,9188.308977468949,85.94740400919494,0.8045886075949367,0.02911392405063291,3.992388127172146
SUS+PF,10000,5630.889318054069,62.07899759881124,0.7337572024637393,0.0490760977548182,3.983774104769015
SUS+PF,10001,9250.900441115398,83.30868603805811,0.8350291909924937,0.03736447039199333,3.967333772839792
SUS+PF,10002,9448.804658106865,86.48389561829984,0.8255720915346455,0.031204992798847815,3.9881509312071914
SUS+PF,10003,7740.34217277374,75.17861584584762,0.7892857142857143,0.024107142857142858,3.9852680905983786
SUS+PF,10004,12480.02729940029,106.14579273943244,0.8752063841496973,0.016648321408915794,3.978257739808687
SUS+PF,10005,7993.3670627721085,67.57285912959182,0.885421213443911,0.015931907463989523,3.8054706024578224
SUS+PF,10006,5802.002929690766,56.227949755176176,0.7935012950317871,0.06804803390628679,3.8706848014524216
SUS+PF,10007,7099.12251570825,58.73300461625356,0.9018015732047704,0.01700076122811469,3.390230770393876
SUS+PF,10008,5526.861406751176,61.416744893254666,0.7265545878063602,0.06420903382621025,3.97100684631001
SUS+PF,10009,10153.116101050779,91.23586124436521,0.8340192043895748,0.03139765279682975,3.9662924528242707
SUS+PF,10010,3732.3753301432052,41.23415750128579,0.7295809115937596,0.04741511165494035,3.862946780938569
SUS+PF,10011,8733.980072463122,75.61540062161495,0.8644549763033176,0.026540284360189573,3.845613910544243
SUS+PF,10012,4606.976805120906,46.89628714839824,0.7752318603382433,0.031642116748499725,3.879492260942707
SUS+PF,10013,10110.714424647418,91.11765355232755,0.8382557600123705,0.012989021184475027,3.973286988939027
SUS+PF,10014,8213.463231167543,78.5584707448818,0.802012278308322,0.04894270122783083,3.9835369916408325
SUS+PF,10015,8537.106312344671,80.85664263732653,0.8057218895542249,0.05688622754491018,3.9735075327813445
SUS+PF,10016,10200.287952313767,85.7063298073592,0.8844901456726649,0.021936589545844043,3.9093384260121433
SUS+PF,10017,7501.68607509579,60.49008379619975,0.9225951903807615,0.01002004008016032,3.475818974873909
SUS+PF,10018,7072.764151547657,72.15570313811806,0.762152466367713,0.043408071748878924,3.9915928122656696
SUS+PF,10019,9075.364236771147,86.21475521233103,0.7995629097720887,0.03012800499531689,3.9923477227357345
SUS+Rnd,10000,4453.131710268053,53.571884311378284,0.6945478432231224,0.058900810159842346,3.9911135765164487
SUS+Rnd,10001,7846.670228382866,74.29543573622868,0.798804780876494,0.03965954364360739,3.981411893545143
SUS+Rnd,10002,7781.582600830457,75.15780283677972,0.7842345505617978,0.03493679775280899,3.9940970444044925
SUS+Rnd,10003,5969.393789976301,64.35764724135171,0.7309141384096768,0.02954590521514971,3.9935180128087326
SUS+Rnd,10004,9910.024801711128,89.84826627840611,0.8192771084337349,0.020080321285140562,3.993392642060179
SUS+Rnd,10005,7440.088722010271,63.68577085871623,0.8717539863325741,0.0193621867881549,3.8417868953821395
SUS+Rnd,10006,5106.467097868448,51.80384275850907,0.767762992719056,0.07105197087622395,3.9048029405024365
SUS+Rnd,10007,6578.648131486585,55.69959661374136,0.8804519180241723,0.02837624802942722,3.4983412964226757
SUS+Rnd,10008,4664.38301257869,55.699839930672766,0.6934543097861309,0.059840138258803195,3.9802244789258827
SUS+Rnd,10009,8528.512591107115,81.14813758693741,0.7939094650205761,0.03917695473251029,3.985033208086709
SUS+Rnd,10010,3203.9293582551372,37.84845745199143,0.6991037131882202,0.06594110115236876,3.892770158351239
SUS+Rnd,10011,8043.827430296361,70.51476930652814,0.8542003231017771,0.029079159935379646,3.888960701882637
SUS+Rnd,10012,4087.083217086169,43.10576960526865,0.7549726145863361,0.04064571922744307,3.90106298287353
SUS+Rnd,10013,8253.611136402274,78.11062424510848,0.7981886534518113,0.021872863978127138,3.989032812482225
SUS+Rnd,10014,6886.671132372142,68.95856388153918,0.7681079083518108,0.054138950480413894,3.9905368843686375
SUS+Rnd,10015,7479.349008816407,73.57033273056426,0.7792665726375176,0.055535966149506344,3.9828750884526665
SUS+Rnd,10016,8819.540346318505,76.94392405460378,0.850815418828762,0.0340993328391401,3.9547925731354394
SUS+Rnd,10017,7248.90108173195,59.61492398441768,0.9020295665246806,0.016537208719619143,3.5782830397665
SUS+Rnd,10018,5044.305143075624,59.49808326007151,0.6917171717171717,0.051515151515151514,3.9973468856950403
SUS+Rnd,10019,6551.605893313452,70.64880443774491,0.7270792693740025,0.040964710054974283,3.997622821700304
SU+CQI,10000,7952.5333842883765,77.9883178544442,0.7984341162751958,0.0,1.0
SU+CQI,10001,8106.315019758068,82.11068813544499,0.7808431494110354,0.0,1.0
SU+CQI,10002,7570.882193261814,82.93514194209502,0.7457602123580593,0.0,1.0
SU+CQI,10003,7721.264160146307,80.01715438540539,0.7703107745701214,0.0,1.0
SU+CQI,10004,9348.24642474289,95.79176462134667,0.7757193535672053,0.0,1.0
SU+CQI,10005,9049.138906049318,77.51499383050817,0.8829394387001477,0.0,1.0
SU+CQI,10006,7781.61473196783,71.12460996536457,0.8410236525785189,0.0,1.0
SU+CQI,10007,7640.110854576128,65.41368239191279,0.881993006993007,0.0,1.0
SU+CQI,10008,6952.3349250892525,72.93347194450472,0.7655873234584912,0.0,1.0
SU+CQI,10009,8819.734119198347,89.96703143245436,0.7770889108073834,0.0,1.0
SU+CQI,10010,5382.48025431432,52.27049985274112,0.8046934140802422,0.0,1.0
SU+CQI,10011,8992.458389426978,80.56749428632541,0.8500256805341551,0.0,1.0
SU+CQI,10012,6535.058804472606,60.793508526526935,0.8288687181757803,0.0,1.0
SU+CQI,10013,9014.82999058094,90.24085381567362,0.7870619946091644,0.0,1.0
SU+CQI,10014,9289.139884851871,88.70167559478368,0.8105837264150944,0.0,1.0
