scheduler,seed,reward,thr_mbps,sinr_db,comp,miss,retx_drop,total_fail,depth,jain,jain_allk
SUS+CQI,10000,6281.627240252425,64.95119959497879,9.101790891247362,0.7618305744888023,0.19552093476144108,0.04070107108081791,0.236222005842259,3.979227326276933,0.5936445358800392,0.44523340191002936
SUS+DPF,10000,5588.671320837709,61.00739090214621,9.024743782738078,0.7359324758842444,0.2182475884244373,0.043810289389067524,0.2620578778135048,3.9869688484197163,0.5785171423537501,0.4338878567653125
SUS+PF,10000,5630.889318054069,62.07899759881124,9.163787590549866,0.7337572024637393,0.21498112457778662,0.0490760977548182,0.2640572223326048,3.983774104769015,0.5774949721299445,0.43312122909745837
SUS+Rnd,10000,4453.131710268053,53.571884311378284,8.446930945251111,0.6945478432231224,0.24414276330194876,0.058900810159842346,0.3030435734617911,3.9911135765164487,0.5767166013755913,0.4325374510316935
SU+CQI,10000,7952.5333842883765,77.9883178544442,25.385248869752324,0.7984341162751958,0.20023321672497085,0.0,0.20023321672497085,1.0,0.560632840549131,0.4204746304118482
SU+DPF,10000,5773.262472966525,61.345254550377,25.173652473992032,0.7531827515400411,0.24455852156057495,0.0,0.24455852156057495,1.0,0.5556849100329658,0.4167636825247244
SU+PF,10000,5620.80095989593,64.24611189793593,25.34738185697988,0.7288523964101585,0.26923811342371584,0.0,0.26923811342371584,1.0,0.552984393941431,0.4147382954560732
SU+Rnd,10000,2063.227684746298,41.21233665703088,22.561114320039724,0.5798062213156553,0.41687914329423764,0.0,0.41687914329423764,1.0,0.5953646341398455,0.44652347560488415
PPO,10000,8033.264488666357,77.01819992884542,21.862462176744046,0.808284023668639,0.19002535925612848,0.0,0.19002535925612848,1.5177843616340734,0.5709568877295013,0.42821766579712595
SUS+CQI,10001,10035.815146296187,87.91033082580935,7.649284994375794,0.8559857443706463,0.1185809168961607,0.023975376640207356,0.14255629353636806,3.9506937971940603,0.7642958743275191,0.6448746439638441
SUS+DPF,10001,9091.482618093683,81.29359996722353,7.453016695681869,0.83566791937137,0.12640929279125385,0.036556200888281515,0.16296549367953536,3.9717112495504066,0.7570052975515863,0.6387232198091509
SUS+PF,10001,9250.900441115398,83.30868603805811,7.594141944745585,0.8350291909924937,0.12493744787322769,0.03736447039199333,0.16230191826522103,3.967333772839792,0.7529133032011828,0.6352705995759982
SUS+Rnd,10001,7846.670228382866,74.29543573622868,6.988767018966518,0.798804780876494,0.159181455994205,0.03965954364360739,0.19884099963781238,3.981411893545143,0.7543719018896248,0.6365012922193706
SU+CQI,10001,8106.315019758068,82.11068813544499,19.985143213272373,0.7808431494110354,0.21745195288282704,0.0,0.21745195288282704,1.0,0.5537278959930317,0.46720791224412056
SU+DPF,10001,6554.003870712882,62.25190043935643,18.41701366543044,0.7945794794579479,0.20262422026242202,0.0,0.20262422026242202,1.0,0.7462368375905953,0.629637331717065
SU+PF,10001,5527.695204142059,66.26416407800451,18.719578485432187,0.7089836315188428,0.28892272554244386,0.0,0.28892272554244386,1.0,0.7320968570882731,0.6177067231682304
SU+Rnd,10001,3300.5557480972484,50.554796822960995,16.801974535228332,0.6286435620840027,0.3679137020885931,0.0,0.3679137020885931,1.0,0.767830130154708,0.6478566723180348
PPO,10001,10658.901461464335,91.72229467793221,12.752083929432992,0.8713006526028229,0.1264228259219912,0.0004553042950371832,0.12687813021702837,2.4854939190343157,0.7233482147667879,0.6103250562094769
SUS+CQI,10002,10701.66727149335,92.64662769932782,7.589234004430882,0.8624314442413162,0.11761121267519806,0.018129189518586226,0.13574040219378428,3.9718131539677786,0.7778520863601283,0.7292363309626204
SUS+DPF,10002,9599.93852025234,85.16156728765223,7.553676579597095,0.8380921479558728,0.1299480856586632,0.029688513951979235,0.15963659961064244,3.987944409120612,0.7556624454689186,0.7084335426271112
SUS+PF,10002,9448.804658106865,86.48389561829984,7.5509669296333914,0.8255720915346455,0.14210273643783006,0.031204992798847815,0.17330772923667787,3.9881509312071914,0.7609816508853322,0.7134202977049989
SUS+Rnd,10002,7781.582600830457,75.15780283677972,6.951348636140034,0.7842345505617978,0.1778441011235955,0.03493679775280899,0.2127808988764045,3.9940970444044925,0.7570044287352613,0.7096916519393077
SU+CQI,10002,7570.882193261814,82.93514194209502,20.76964649632767,0.7457602123580593,0.2520277245244064,0.0,0.2520277245244064,1.0,0.5123583774193019,0.48033597883059564
SU+DPF,10002,6495.591497530499,62.64381328155585,19.13559634936332,0.7768249320225894,0.21961932650073207,0.0,0.21961932650073207,1.0,0.7483402358308038,0.7015689710913786
SU+PF,10002,5190.485175561528,67.81799748953341,19.593928192050164,0.6787769784172661,0.3183453237410072,0.0,0.3183453237410072,1.0,0.7288182638318559,0.6832671223423652
SU+Rnd,10002,2321.608921028572,50.000825480769905,17.094026008064652,0.5584756898817346,0.43736311870346034,0.0,0.43736311870346034,1.0,0.7813882773013916,0.7325515099700545
PPO,10002,11438.116423999505,98.12872122440706,11.377496884835987,0.8727220956719818,0.12457289293849658,0.0007118451025056948,0.12528473804100226,2.8174256098905945,0.7390616584383782,0.6928703047859794
SUS+CQI,10003,8659.801355383392,79.55282599105107,7.526724915611602,0.8226839826839827,0.15774891774891775,0.017316017316017316,0.17506493506493506,3.972733784070974,0.7170609511102236,0.6050201774992514
SUS+DPF,10003,7708.603130969123,73.7231756662181,7.445579610247508,0.7935081606455162,0.1797175866495507,0.024206858609939482,0.2039244452594902,3.9842710503661714,0.7029117833539886,0.5930818172049281
SUS+PF,10003,7740.34217277374,75.17861584584762,7.58350574484459,0.7892857142857143,0.18410714285714286,0.024107142857142858,0.2082142857142857,3.9852680905983786,0.7046883559815842,0.5945808003594613
SUS+Rnd,10003,5969.393789976301,64.35764724135171,6.904672215873193,0.7309141384096768,0.2361689470553242,0.02954590521514971,0.2657148522704739,3.9935180128087326,0.696902141413448,0.5880111818175967
SU+CQI,10003,7721.264160146307,80.01715438540539,22.754736725660656,0.7703107745701214,0.22779618236314877,0.0,0.22779618236314877,1.0,0.5282793755649976,0.4457357231329666
