scheduler,seed,reward,thr_mbps,comp,drop,depth
SU-CQI,10000,7952.5333842883765,77.9883178544442,0.7984341162751958,0.0,1.0
SUS-CQI@0.8,10000,6281.627240252425,64.95119959497879,0.7618305744888023,0.04070107108081791,3.979227326276933
Hybrid<=10,10000,6307.83324202653,65.23655439499034,0.7625145518044237,0.0389988358556461,3.965987445922875
Hybrid<=14,10000,6177.170107070228,63.962536541479835,0.7615475720489538,0.028622187129885512,3.784280769465733
Hybrid<=18,10000,7534.450263601643,74.790387683467,0.7899724328049621,0.0006891798759476223,2.231645880583532
Hybrid<=22,10000,7952.5333842883765,77.9883178544442,0.7984341162751958,0.0,1.0
PPO-best,10000,8033.264488666357,77.01819992884542,0.808284023668639,0.0,1.5177843616340734
SU-CQI,10001,8106.315019758068,82.11068813544499,0.7808431494110354,0.0,1.0
SUS-CQI@0.8,10001,10035.815146296187,87.91033082580935,0.8559857443706463,0.023975376640207356,3.9506937971940603
Hybrid<=10,10001,10026.442005403409,87.98556704864885,0.8546042003231018,0.02568659127625202,3.9508312658164155
Hybrid<=14,10001,9903.807234935426,87.15790440484884,0.8527207559465624,0.01857282502443793,3.908408775752935
Hybrid<=18,10001,9141.540169315138,83.75080422696281,0.828050583018558,0.0029561504352110363,3.2157610894605035
Hybrid<=22,10001,8208.59745317327,82.16499653361726,0.7857254168614617,0.0,1.934059714194699
PPO-best,10001,10658.901461464335,91.72229467793221,0.8713006526028229,0.0004553042950371832,2.4854939190343157
SU-CQI,10002,7570.882193261814,82.93514194209502,0.7457602123580593,0.0,1.0
SUS-CQI@0.8,10002,10701.66727149335,92.64662769932782,0.8624314442413162,0.018129189518586226,3.9718131539677786
Hybrid<=10,10002,10701.66727149335,92.64662769932782,0.8624314442413162,0.018129189518586226,3.9718131539677786
Hybrid<=14,10002,10587.575125371834,92.03457894653926,0.8596248462484625,0.01998769987699877,3.962470846807349
Hybrid<=18,10002,10428.608657189994,91.0252044611067,0.8553401046475839,0.008156355801785165,3.757057618276154
Hybrid<=22,10002,8635.3827323968,85.62598408344937,0.784517881394296,0.0003017956843217142,2.7154715974204278
PPO-best,10002,11438.116423999505,98.12872122440706,0.8727220956719818,0.0007118451025056948,2.8174256098905945
SU-CQI,10003,7721.264160146307,80.01715438540539,0.7703107745701214,0.0,1.0
SUS-CQI@0.8,10003,8659.801355383392,79.55282599105107,0.8226839826839827,0.017316017316017316,3.972733784070974
Hybrid<=10,10003,8495.323181312722,78.70467637494772,0.8191060473269062,0.019807186678352323,3.971002288003978
Hybrid<=14,10003,8609.869661741872,79.40714133571936,0.8223385689354276,0.018848167539267015,3.930377338814747
Hybrid<=18,10003,8155.728651600769,77.4075950261287,0.8042043085476025,0.005385684503127172,3.4435371780643744
Hybrid<=22,10003,7786.305038879977,79.72939895046466,0.7750556792873051,0.0,1.9362222619208946
PPO-best,10003,9352.992437970563,84.02359809981213,0.8395510591210876,0.0009484666455896301,2.4578526469279445
SU-CQI,10004,9348.24642474289,95.79176462134667,0.7757193535672053,0.0,1.0
SUS-CQI@0.8,10004,12768.598481730962,107.30146584070283,0.8864194164166894,0.009680938096536678,3.966464186053723
Hybrid<=10,10004,12750.532576537727,107.17249737014937,0.8860655737704918,0.009426229508196722,3.9659423955479562
Hybrid<=14,10004,12771.281776270605,107.55460098282353,0.8833243096913914,0.007309149972929074,3.9583805295085392
Hybrid<=18,10004,12439.883638775398,105.54423645802531,0.8781662995594713,0.00454295154185022,3.834778805483798
Hybrid<=22,10004,10586.770450665243,97.79235330867996,0.821740941274469,0.00027766208524226016,2.956167607255042
PPO-best,10004,13112.502643849391,109.8541535646893,0.8862298438699769,0.0010238034297414896,2.943272583844956
SU-CQI,10005,9049.138906049318,77.51499383050817,0.8829394387001477,0.0,1.0
SUS-CQI@0.8,10005,8006.595487904766,67.36569018578058,0.885949696444059,0.014310494362532523,3.8006658290987203
Hybrid<=10,10005,7904.545211357158,66.53951324230026,0.8868548742831937,0.009925011027790032,3.640563077636195
Hybrid<=14,10005,8718.06129744227,74.63801066342089,0.8815458937198067,0.0005797101449275362,1.9439190163865114
Hybrid<=18,10005,9049.138906049318,77.51499383050817,0.8829394387001477,0.0,1.0
Hybrid<=22,10005,9049.138906049318,77.51499383050817,0.8829394387001477,0.0,1.0
PPO-best,10005,9220.345574468382,76.2542543856485,0.9029162746942615,0.0,1.7428031974602236
SU-CQI,10006,7781.61473196783,71.12460996536457,0.8410236525785189,0.0,1.0
SUS-CQI@0.8,10006,6092.803255216493,57.679011359116366,0.8092540132200189,0.05028328611898017,3.8533863586488097
Hybrid<=10,10006,6269.195351948372,58.36095590617733,0.8189473684210526,0.03929824561403509,3.7304593511149173
Hybrid<=14,10006,7319.188917331437,66.59093693337242,0.8402072538860104,0.001243523316062176,2.251803471639957
Hybrid<=18,10006,7781.61473196783,71.12460996536457,0.8410236525785189,0.0,1.0
Hybrid<=22,10006,7781.61473196783,71.12460996536457,0.8410236525785189,0.0,1.0
PPO-best,10006,7398.895047892321,66.48319906419611,0.8455449563628983,0.0,1.5202838345109413
SU-CQI,10007,7640.110854576128,65.41368239191279,0.881993006993007,0.0,1.0
SUS-CQI@0.8,10007,7139.173267385732,59.04581851753733,0.9029567854435178,0.017690169320192066,3.394377328194785
Hybrid<=10,10007,7053.246120742518,59.604131844706465,0.8880137829190253,0.008860447944868325,2.9919325255744456
Hybrid<=14,10007,7563.604999607942,65.0936131920907,0.8768322030190331,0.0002187705097352877,1.4192220851277588
Hybrid<=18,10007,7640.110854576128,65.41368239191279,0.881993006993007,0.0,1.0
Hybrid<=22,10007,7640.110854576128,65.41368239191279,0.881993006993007,0.0,1.0
PPO-best,10007,7968.478150960107,65.45593281318682,0.9090102086107412,0.0,1.8985277392733497
SU-CQI,10008,6952.3349250892525,72.93347194450472,0.7655873234584912,0.0,1.0
SUS-CQI@0.8,10008,6852.538030009111,68.23664889560123,0.7776076555023923,0.038086124401913876,3.94734175821912
Hybrid<=10,10008,6699.960310977187,66.80498614322487,0.7757716948165405,0.0397980974568045,3.943117641610633
Hybrid<=14,10008,6894.024404667607,68.18498498709806,0.783011583011583,0.02837837837837838,3.858644082129384
Hybrid<=18,10008,6799.284981969092,69.85157425798708,0.7691029900332226,0.002399409376153562,2.8583253017771257
Hybrid<=22,10008,7020.318974052081,73.340593262483,0.7674058793192368,0.0,1.5458581472728439
PPO-best,10008,7622.730755666275,72.94483252349656,0.8053549409899595,0.0007045974986788797,2.0148821490302744
SU-CQI,10009,8819.734119198347,89.96703143245436,0.7770889108073834,0.0,1.0
SUS-CQI@0.8,10009,11104.34948914277,96.05245517408181,0.8624136410407174,0.02072615022784066,3.934799840344603
Hybrid<=10,10009,11104.34948914277,96.05245517408181,0.8624136410407174,0.02072615022784066,3.934799840344603
Hybrid<=14,10009,11105.162739722136,96.53266709847475,0.8611151763500658,0.020635152934289476,3.9140746313483405
Hybrid<=18,10009,10369.339976988536,92.201302451478,0.8451622687291477,0.01091901728844404,3.5742276841690006
Hybrid<=22,10009,9129.203052577619,89.0196207997994,0.7958974358974359,0.00014652014652014652,2.367787712268474
PPO-best,10009,12015.872202487742,102.75542099082521,0.8762125973493646,0.001093045498018855,2.6603205558055945
SU-CQI,10010,5382.48025431432,52.27049985274112,0.8046934140802422,0.0,1.0
SUS-CQI@0.8,10010,3763.159385451294,40.85133252494837,0.7353491271820449,0.04395261845386534,3.851652422647656
Hybrid<=10,10010,4113.142458280693,42.83806104432473,0.7599756320438623,0.025281754492841913,3.475124933725387
Hybrid<=14,10010,5430.935138495445,52.916697560040205,0.8040050062578222,0.0,1.4815578285162552
Hybrid<=18,10010,5382.48025431432,52.27049985274112,0.8046934140802422,0.0,1.0
Hybrid<=22,10010,5382.48025431432,52.27049985274112,0.8046934140802422,0.0,1.0
PPO-best,10010,5083.509420626988,49.002156102099406,0.8049105951427808,0.0,1.5134622627785437
SU-CQI,10011,8992.458389426978,80.56749428632541,0.8500256805341551,0.0,1.0
SUS-CQI@0.8,10011,8890.963191340801,76.25675461311984,0.8724365004703669,0.022577610536218252,3.8394547851704846
Hybrid<=10,10011,8871.616268863725,75.82284005936779,0.8752140003804452,0.02092448164352292,3.7812180392169368
Hybrid<=14,10011,8610.1270552497,75.26769088034092,0.8612059158134243,0.005119453924914676,3.1647532450142464
Hybrid<=18,10011,8919.214436880826,80.45080311141831,0.8479834539813857,0.0,1.5119646634985744
Hybrid<=22,10011,8992.458389426978,80.56749428632541,0.8500256805341551,0.0,1.0
PPO-best,10011,10009.374674093277,83.93826943251769,0.8920521945432978,0.0001694628029147602,1.9515328847535225
SU-CQI,10012,6535.058804472606,60.793508526526935,0.8288687181757803,0.0,1.0
SUS-CQI@0.8,10012,4697.069082125239,47.26637355595343,0.7791891891891892,0.035405405405405405,3.866694843822044
Hybrid<=10,10012,4676.880221515198,47.24421696181969,0.778470715835141,0.01898047722342733,3.5744309396043388
