[MixedSpeed_L2b] best.pt update 859 (3-seed eval 10030.2), critic_v2=True
[MixedSpeed_L2b] seed 10011 PPO-best      10009.2 (395s)
[MixedSpeed_L2b] seed 10012 SU-CQI         6476.1 (402s)
[MixedSpeed_L2b] seed 10012 SUS-CQI@0.8    4641.5 (404s)
[MixedSpeed_L2b] seed 10012 Hybrid<=10     4643.3 (406s)
[MixedSpeed_L2b] seed 10012 Hybrid<=14     6340.4 (407s)
[MixedSpeed_L2b] seed 10012 Hybrid<=18     6476.1 (408s)
[MixedSpeed_L2b] seed 10012 Hybrid<=22     6476.1 (409s)
[MixedSpeed_L2b] seed 10012 PPO-best       6348.0 (425s)
[MixedSpeed_L2b] seed 10013 SU-CQI         8972.8 (432s)
[MixedSpeed_L2b] seed 10013 SUS-CQI@0.8   10751.3 (434s)
[MixedSpeed_L2b] seed 10013 Hybrid<=10    10803.4 (436s)
[MixedSpeed_L2b] seed 10013 Hybrid<=14    10696.7 (437s)
[MixedSpeed_L2b] seed 10013 Hybrid<=18    10216.8 (439s)
[MixedSpeed_L2b] seed 10013 Hybrid<=22     9261.5 (440s)
[MixedSpeed_L2b] seed 10013 PPO-best      11480.5 (458s)
[MixedSpeed_L2b] seed 10014 SU-CQI         9257.6 (465s)
[MixedSpeed_L2b] seed 10014 SUS-CQI@0.8    9012.6 (467s)
[MixedSpeed_L2b] seed 10014 Hybrid<=10     8937.8 (469s)
[MixedSpeed_L2b] seed 10014 Hybrid<=14     8821.2 (470s)
[MixedSpeed_L2b] seed 10014 Hybrid<=18     8815.9 (472s)
[MixedSpeed_L2b] seed 10014 Hybrid<=22     9222.2 (473s)
[MixedSpeed_L2b] seed 10014 PPO-best      10587.1 (493s)
[MixedSpeed_L2b] seed 10015 SU-CQI         8311.0 (500s)
[MixedSpeed_L2b] seed 10015 SUS-CQI@0.8    9800.6 (502s)
[MixedSpeed_L2b] seed 10015 Hybrid<=10     9631.9 (504s)
[MixedSpeed_L2b] seed 10015 Hybrid<=14     9727.8 (505s)
[MixedSpeed_L2b] seed 10015 Hybrid<=18     9238.4 (507s)
[MixedSpeed_L2b] seed 10015 Hybrid<=22     8471.1 (508s)
[MixedSpeed_L2b] seed 10015 PPO-best      10973.2 (526s)
[MixedSpeed_L2b] seed 10016 SU-CQI         9541.7 (533s)
[MixedSpeed_L2b] seed 10016 SUS-CQI@0.8   10238.7 (535s)
[MixedSpeed_L2b] seed 10016 Hybrid<=10    10266.0 (537s)
[MixedSpeed_L2b] seed 10016 Hybrid<=14     9777.6 (538s)
[MixedSpeed_L2b] seed 10016 Hybrid<=18     9619.2 (540s)
[MixedSpeed_L2b] seed 10016 Hybrid<=22     9541.7 (541s)
[MixedSpeed_L2b] seed 10016 PPO-best      11157.6 (559s)
[MixedSpeed_L2b] seed 10017 SU-CQI         7821.4 (566s)
[MixedSpeed_L2b] seed 10017 SUS-CQI@0.8    7462.0 (567s)
[MixedSpeed_L2b] seed 10017 Hybrid<=10     7459.6 (569s)
[MixedSpeed_L2b] seed 10017 Hybrid<=14     7859.2 (570s)
[MixedSpeed_L2b] seed 10017 Hybrid<=18     7821.4 (571s)
[MixedSpeed_L2b] seed 10017 Hybrid<=22     7821.4 (572s)
[MixedSpeed_L2b] seed 10017 PPO-best       8317.0 (590s)
[MixedSpeed_L2b] seed 10018 SU-CQI         7252.9 (597s)
[MixedSpeed_L2b] seed 10018 SUS-CQI@0.8    8050.8 (599s)
[MixedSpeed_L2b] seed 10018 Hybrid<=10     8063.5 (600s)
[MixedSpeed_L2b] seed 10018 Hybrid<=14     8128.3 (602s)
[MixedSpeed_L2b] seed 10018 Hybrid<=18     7706.8 (604s)
[MixedSpeed_L2b] seed 10018 Hybrid<=22     7303.2 (605s)
[MixedSpeed_L2b] seed 10018 PPO-best       8927.7 (622s)
[MixedSpeed_L2b] seed 10019 SU-CQI         8565.6 (630s)
[MixedSpeed_L2b] seed 10019 SUS-CQI@0.8   10145.0 (632s)
[MixedSpeed_L2b] seed 10019 Hybrid<=10    10145.0 (633s)
[MixedSpeed_L2b] seed 10019 Hybrid<=14    10213.6 (635s)
[MixedSpeed_L2b] seed 10019 Hybrid<=18    10278.5 (637s)
[MixedSpeed_L2b] seed 10019 Hybrid<=22     9257.8 (638s)
[MixedSpeed_L2b] seed 10019 PPO-best      11544.3 (657s)

=== MixedSpeed_L2b: FINAL 20-seed summary ===
  SU-CQI           8068.3 +- 1034.9
  SUS-CQI@0.8      8490.4 +- 2277.8
  Hybrid<=10       8480.6 +- 2281.7
  Hybrid<=14       8698.4 +- 1909.6
  Hybrid<=18       8672.2 +- 1648.2
  Hybrid<=22       8276.9 +- 1197.9
  PPO-best         9581.3 +- 2028.2
  oracle-envelope   8964.3  | best hybrid: Hybrid<=14 (8698.4)
  PPO - SUS-CQI@0.8:  +1090.9 CI[+905,+1276] 20/20승 (+12.85%) -> 유의한 승
  PPO - best-hybrid:   +882.9 CI[+647,+1118] 19/20승 (+10.15%) -> 유의한 승
  PPO - oracle-envelope:   +617.0 CI[+410,+824] 16/20승 (+6.88%) -> 유의한 승
[MixedSpeed_L2b] done in 657s
