seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
20000,PPO,4664.99,48.901,47.5572,16.3668,0.765,0.2324,0.0008,2.2951,0.8104
20000,SUS+CQI,4222.354,48.0842,45.6189,10.4067,0.7311,0.265,0.0013,3.5441,0.8021
20000,SUS+DPF,4069.9858,47.7667,44.8974,10.2388,0.7193,0.2763,0.0018,3.5937,0.8022
20000,SUS+PF,4062.3308,47.724,44.902,10.2679,0.7193,0.2763,0.0018,3.5827,0.8024
20000,SUS+Rnd,3878.1441,47.0534,44.03,10.104,0.7068,0.2891,0.0015,3.6678,0.7939
20000,SU+CQI,4487.0236,48.6108,46.9335,23.7293,0.7517,0.2458,0.0005,1.0,0.8044
20000,SU+DPF,4218.6295,48.1769,45.4781,23.7025,0.7286,0.2689,0.0005,1.0,0.8145
20000,SU+PF,4228.4463,48.1384,45.6315,23.7088,0.7314,0.2658,0.0008,1.0,0.8139
20000,SU+Rnd,3155.4017,44.6122,40.5104,23.5105,0.6537,0.3412,0.0013,1.0,0.7992
20001,PPO,1990.2249,35.7066,34.1829,16.465,0.6093,0.3868,0.0,1.7424,0.7027
20001,SUS+CQI,1070.726,35.2394,30.3742,7.1965,0.5277,0.4679,0.0,3.9658,0.6841
20001,SUS+DPF,326.7676,33.5803,26.803,7.2106,0.4674,0.5279,0.0,3.9795,0.7152
20001,SUS+PF,318.8702,33.5663,26.8268,7.2102,0.4685,0.5268,0.0,3.9787,0.715
20001,SUS+Rnd,-513.1146,30.8361,23.4101,7.0681,0.4082,0.5866,0.0,3.9872,0.6574
20001,SU+CQI,2111.2129,37.8156,35.2746,23.1715,0.6082,0.3882,0.0,1.0,0.6978
20001,SU+DPF,1347.0116,36.5276,30.927,23.1481,0.5381,0.4578,0.0,1.0,0.7765
20001,SU+PF,1306.3777,36.6352,30.9444,23.1535,0.5395,0.4567,0.0,1.0,0.7762
20001,SU+Rnd,-843.963,29.7277,21.4697,22.7024,0.3814,0.6129,0.0003,1.0,0.7212
20002,PPO,-184.0794,53.6912,52.0932,13.8276,0.4713,0.5245,0.0004,1.8863,0.5087
20002,SUS+CQI,-1034.5948,52.4587,48.4264,7.2648,0.4343,0.5617,0.0001,3.9707,0.501
20002,SUS+DPF,-2927.5618,46.3548,39.9384,7.2068,0.3604,0.6346,0.0001,3.9891,0.491
20002,SUS+PF,-2899.6782,46.5799,40.3117,7.1795,0.3635,0.6319,0.0003,3.9863,0.4913
20002,SUS+Rnd,-2804.4139,46.1778,40.7298,7.2728,0.3675,0.6271,0.0003,3.993,0.4758
20002,SU+CQI,-268.9932,54.1125,51.9932,23.1551,0.4663,0.53,0.0,1.0,0.5103
20002,SU+DPF,-2523.2883,47.0138,41.2703,23.1531,0.3717,0.6229,0.0001,1.0,0.5197
20002,SU+PF,-2501.1996,47.6639,41.9264,23.1546,0.3782,0.6165,0.0007,1.0,0.5184
20002,SU+Rnd,-5269.0317,37.6967,29.9506,21.9867,0.2746,0.7193,0.0007,1.0,0.5083
20003,PPO,5888.8777,72.121,70.2872,10.8441,0.6999,0.2963,0.0002,2.7745,0.7627
20003,SUS+CQI,5340.7185,74.0368,67.4111,7.8097,0.6631,0.3333,0.0,3.9855,0.7908
20003,SUS+DPF,4021.4476,71.0454,60.5431,7.8094,0.5989,0.3962,0.0002,3.9963,0.8205
20003,SUS+PF,4008.344,71.0983,60.7923,7.8084,0.6021,0.3934,0.0002,3.9949,0.819
20003,SUS+Rnd,2215.5121,65.1032,52.9895,7.6596,0.527,0.4675,0.0002,3.9982,0.7748
20003,SU+CQI,4045.0909,67.0307,63.8515,20.7864,0.6234,0.3731,0.0,1.0,0.7059
20003,SU+DPF,2737.342,63.051,55.2252,20.7159,0.5471,0.4469,0.0005,1.0,0.8022
20003,SU+PF,2518.0631,63.9269,55.3967,20.7147,0.5506,0.4444,0.0006,1.0,0.7987
20003,SU+Rnd,-1121.212,52.1234,38.7748,19.3763,0.3962,0.5977,0.0,1.0,0.8171
20004,PPO,2608.9089,33.1495,31.8006,10.014,0.6884,0.3065,0.002,1.701,0.7753
20004,SUS+CQI,1800.7306,32.2385,28.3655,3.3627,0.6039,0.3907,0.0027,3.7325,0.7582
20004,SUS+DPF,1509.6385,31.5298,27.0497,3.2677,0.5751,0.4137,0.0081,3.7738,0.7589
20004,SUS+PF,1517.6739,31.4868,27.1324,3.2708,0.5771,0.4114,0.0085,3.7702,0.7588
20004,SUS+Rnd,1257.3118,30.4398,25.9578,3.1055,0.5545,0.4364,0.0054,3.8292,0.7378
20004,SU+CQI,2717.68,34.6521,32.5189,13.6873,0.6898,0.3065,0.0014,1.0,0.7901
20004,SU+DPF,2307.7413,33.6901,30.4055,13.6893,0.6468,0.3478,0.0024,1.0,0.8118
20004,SU+PF,2235.2194,33.5371,30.1757,13.6874,0.6424,0.3505,0.0041,1.0,0.8093
20004,SU+Rnd,954.6684,29.7846,24.0495,13.365,0.5203,0.4719,0.0037,1.0,0.7733
20005,PPO,3340.068,101.8056,98.9174,12.8521,0.5464,0.4509,0.0,3.0714,0.5925
20005,SUS+CQI,2740.725,103.2488,95.6047,11.9251,0.5253,0.4718,0.0,3.9997,0.618
20005,SUS+DPF,-4378.5766,77.1295,63.0978,10.9375,0.3536,0.6412,0.0003,3.9999,0.669
20005,SUS+PF,-4290.8907,80.2941,64.0984,11.1782,0.36,0.6356,0.0003,3.9999,0.6607
20005,SUS+Rnd,-4704.8706,78.811,62.2017,11.2524,0.3492,0.6464,0.0001,4.0,0.6076
20005,SU+CQI,-1199.0868,84.5096,82.1577,25.0675,0.4503,0.5465,0.0,1.0,0.4904
20005,SU+DPF,-6858.2984,62.6459,53.4444,23.2078,0.2991,0.6952,0.0002,1.0,0.694
20005,SU+PF,-7175.5605,65.3443,54.0212,23.3242,0.3044,0.6911,0.0003,1.0,0.6883
20005,SU+Rnd,-10997.543,53.5545,37.0688,21.9134,0.2167,0.7783,0.0001,1.0,0.7005
20006,PPO,2920.2951,100.6343,98.0164,9.8849,0.5378,0.4596,0.0,3.3495,0.5976
20006,SUS+CQI,2747.53,103.1044,96.8883,9.2021,0.5283,0.4691,0.0,3.994,0.6146
20006,SUS+DPF,-4902.9301,77.4886,61.4272,8.5881,0.3417,0.6538,0.0002,3.9999,0.6772
20006,SUS+PF,-4994.4575,79.8942,61.801,8.7531,0.3456,0.6505,0.0003,3.9999,0.67
20006,SUS+Rnd,-5865.6395,76.5958,57.8621,8.556,0.3252,0.6705,0.0002,3.9999,0.619
20006,SU+CQI,-2162.7701,81.9706,79.3686,21.6086,0.4308,0.5661,0.0,1.0,0.4923
20006,SU+DPF,-7530.6773,62.2284,51.5757,19.9202,0.2869,0.7078,0.0001,1.0,0.7017
20006,SU+PF,-8007.749,64.5683,51.0845,20.0635,0.2883,0.7073,0.0002,1.0,0.6952
20006,SU+Rnd,-12007.8009,51.9896,34.2441,18.4463,0.1984,0.7966,0.0003,1.0,0.7034
