seed,n_active,mean_speed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,total_fail_rate,mu_depth,jain
10015,28,16.4,SU+Random,3841.3,54.95,20.49,0.6483,0.3478,0.0,0.3478,1.0,0.7405
10016,25,17.5,PPO-L2b,11755.7,97.92,24.55,0.8996,0.0996,0.0,0.0996,1.97,0.7485
10016,25,17.5,SUS+CQI,11362.6,94.11,17.9,0.8958,0.0748,0.028,0.1028,3.975,0.7903
10016,25,17.5,SUS+Deadline-PF,11047.9,92.29,17.74,0.8867,0.0731,0.0385,0.1116,3.979,0.7845
10016,25,17.5,SUS+PF,10956.0,92.63,18.11,0.8794,0.0821,0.0367,0.1189,3.98,0.7786
10016,25,17.5,SUS+Random,9728.6,83.64,17.62,0.8611,0.0934,0.0436,0.1371,3.989,0.7768
10016,25,17.5,SU+CQI,9976.4,91.44,30.03,0.8378,0.1607,0.0,0.1607,1.0,0.6346
10016,25,17.5,SU+Deadline-PF,9195.2,79.58,30.24,0.8685,0.1289,0.0,0.1289,1.0,0.7251
10016,25,17.5,SU+PF,8476.7,81.96,30.32,0.8113,0.187,0.0,0.187,1.0,0.7205
10016,25,17.5,SU+Random,5373.5,61.09,28.03,0.7266,0.2701,0.0,0.2701,1.0,0.8099
10017,17,16.1,PPO-L2b,8896.4,71.04,23.56,0.932,0.0667,0.0,0.0667,1.858,0.8133
10017,17,16.1,SUS+CQI,8262.5,66.28,16.89,0.9248,0.0531,0.0203,0.0734,3.735,0.8407
10017,17,16.1,SUS+Deadline-PF,8327.0,66.59,17.0,0.928,0.0461,0.0233,0.0694,3.706,0.8482
10017,17,16.1,SUS+PF,8106.8,65.18,16.99,0.9234,0.0506,0.0244,0.075,3.72,0.8508
10017,17,16.1,SUS+Random,7959.4,64.16,16.7,0.9201,0.0534,0.0253,0.0788,3.736,0.8326
10017,17,16.1,SU+CQI,8335.7,71.02,28.44,0.888,0.111,0.0,0.111,1.0,0.7411
10017,17,16.1,SU+Deadline-PF,8164.7,66.98,28.26,0.9143,0.0848,0.0,0.0848,1.0,0.7836
10017,17,16.1,SU+PF,7797.3,67.73,28.26,0.8781,0.1208,0.0,0.1208,1.0,0.7856
10017,17,16.1,SU+Random,5741.7,52.46,26.89,0.8433,0.1539,0.0,0.1539,1.0,0.845
10018,28,15.4,PPO-L2b,9556.4,88.47,21.32,0.8269,0.1713,0.0,0.1713,1.883,0.6166
10018,28,15.4,SUS+CQI,9198.6,83.85,14.47,0.8261,0.1521,0.0197,0.1718,3.998,0.7007
10018,28,15.4,SUS+Deadline-PF,7533.7,73.52,14.33,0.7801,0.1719,0.0458,0.2177,4.0,0.6756
10018,28,15.4,SUS+PF,7411.9,75.16,14.45,0.7667,0.1838,0.0466,0.2304,4.0,0.6818
10018,28,15.4,SUS+Random,5529.5,62.35,13.67,0.7101,0.2365,0.0501,0.2866,4.0,0.6846
10018,28,15.4,SU+CQI,7986.6,83.07,27.22,0.7684,0.2298,0.0,0.2298,1.0,0.5298
10018,28,15.4,SU+Deadline-PF,6156.3,63.74,26.86,0.7582,0.2389,0.0,0.2389,1.0,0.6538
10018,28,15.4,SU+PF,5173.9,66.05,26.83,0.6887,0.3089,0.0,0.3089,1.0,0.6481
10018,28,15.4,SU+Random,2513.7,49.17,24.45,0.5787,0.4185,0.0,0.4185,1.0,0.7209
10019,31,18.9,PPO-L2b,12822.5,110.75,25.0,0.8735,0.1252,0.0,0.1252,2.284,0.6801
10019,31,18.9,SUS+CQI,12066.8,104.62,19.33,0.8601,0.1099,0.0282,0.1381,4.0,0.716
10019,31,18.9,SUS+Deadline-PF,10291.0,93.37,19.68,0.8221,0.1441,0.032,0.1761,3.999,0.6781
10019,31,18.9,SUS+PF,10201.5,95.69,19.52,0.8093,0.1537,0.0347,0.1884,3.999,0.6879
10019,31,18.9,SUS+Random,7685.6,78.08,18.45,0.7584,0.1979,0.0412,0.2391,4.0,0.7145
10019,31,18.9,SU+CQI,9088.7,93.48,32.29,0.7749,0.2233,0.0,0.2233,1.0,0.5448
10019,31,18.9,SU+Deadline-PF,7702.8,74.8,32.08,0.789,0.2081,0.0,0.2081,1.0,0.6525
10019,31,18.9,SU+PF,6523.9,78.18,32.22,0.7107,0.2869,0.0,0.2869,1.0,0.6353
10019,31,18.9,SU+Random,3257.5,57.3,29.1,0.5976,0.3992,0.0,0.3992,1.0,0.7567
