seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
20090,PPO,4518.9922,76.8648,74.9917,10.6934,0.6199,0.3774,0.0001,2.7593,0.6653
20090,SUS+CQI,3736.2845,76.5429,71.4111,7.9756,0.5865,0.4105,0.0003,3.935,0.6729
20090,SUS+DPF,2055.6454,71.6564,63.7121,7.85,0.5252,0.4716,0.0003,3.9734,0.6722
20090,SUS+PF,2099.105,71.9765,64.1102,7.8599,0.528,0.4686,0.0003,3.9765,0.6715
20090,SUS+Rnd,1571.1154,70.0014,61.5638,7.7532,0.5089,0.4876,0.0004,3.9908,0.652
20090,SU+CQI,2561.0554,70.5614,67.8935,20.3001,0.5552,0.4418,0.0,1.0,0.6172
20090,SU+DPF,657.6483,63.5907,58.0073,20.1332,0.4781,0.5179,0.0001,1.0,0.6599
20090,SU+PF,433.2017,64.6054,57.8644,20.208,0.478,0.518,0.0008,1.0,0.6521
20090,SU+Rnd,-2664.6166,54.5489,43.4379,18.9454,0.3675,0.6281,0.0003,1.0,0.6796
20091,PPO,5738.45,84.025,82.3872,11.7555,0.652,0.3457,0.0001,2.777,0.6944
20091,SUS+CQI,4883.5598,83.2152,78.3213,9.6814,0.6185,0.3792,0.0,3.9806,0.6994
20091,SUS+DPF,2560.0826,75.8294,67.6607,9.6541,0.5365,0.4601,0.0006,3.9992,0.7023
20091,SUS+PF,2580.1504,76.5011,68.0142,9.6857,0.5399,0.4568,0.0006,3.9975,0.7013
20091,SUS+Rnd,1575.8146,72.9415,63.085,9.5218,0.5049,0.4908,0.0006,3.9998,0.6779
20091,SU+CQI,2982.8639,74.2667,71.9954,21.0738,0.5671,0.4302,0.0,1.0,0.6238
20091,SU+DPF,-95.5459,62.6118,56.3222,20.5899,0.4491,0.5463,0.0001,1.0,0.7032
20091,SU+PF,-262.2677,64.6355,56.386,20.7758,0.4538,0.5425,0.0005,1.0,0.6942
20091,SU+Rnd,-3884.3738,52.4721,40.6244,19.2169,0.3341,0.6609,0.0006,1.0,0.719
20092,PPO,6777.0042,74.283,73.055,12.9946,0.7433,0.2549,0.0002,2.6597,0.7826
20092,SUS+CQI,6117.6629,73.7023,69.9142,9.7131,0.7093,0.2886,0.0002,3.9527,0.7846
20092,SUS+DPF,5321.5068,71.813,65.8416,9.7484,0.6704,0.3273,0.0002,3.9801,0.7952
20092,SUS+PF,5244.7988,71.7982,65.6198,9.7474,0.668,0.3296,0.0003,3.9775,0.7949
20092,SUS+Rnd,4439.9823,68.9605,62.0041,9.8562,0.6327,0.3646,0.0003,3.9933,0.7693
20092,SU+CQI,5262.0728,69.3971,67.2799,22.1276,0.6804,0.3178,0.0,1.0,0.731
20092,SU+DPF,3879.8593,64.6683,59.5444,22.1487,0.6082,0.3897,0.0,1.0,0.7795
20092,SU+PF,3707.7504,65.5075,59.3443,22.2047,0.6077,0.39,0.0002,1.0,0.7772
20092,SU+Rnd,478.7901,54.8055,44.6248,21.1268,0.4658,0.5305,0.0002,1.0,0.7877
20093,PPO,6916.6011,73.9166,73.0952,11.475,0.7546,0.2428,0.0002,2.7663,0.7729
20093,SUS+CQI,6628.9545,73.4223,71.6799,8.9214,0.7396,0.2567,0.0008,3.7886,0.7739
20093,SUS+DPF,5810.269,70.9008,67.7375,8.7209,0.7012,0.2947,0.0005,3.9083,0.7737
