p_arrival,seed,n_active,sched,reward,throughput_mbps,completion_rate,deadline_miss_rate,buffer_overflow_rate,mu_depth,mean_delay,mean_qlen,jain
0.45,10002,30,SUS+MW,2818.6,111.89,0.4961,0.4965,0.0003,4.0,4.801,62.475,0.7134
0.45,10002,30,SU+CQI,-4417.4,87.34,0.3981,0.5973,0.00044,1.0,1.816,56.176,0.4527
0.5,10002,30,PPO-Mixed,2625.2,123.31,0.4957,0.4991,0.00053,3.9,4.563,69.376,0.6797
0.5,10002,30,SUS+CQI,2378.9,123.02,0.4887,0.5051,0.00053,4.0,4.52,69.626,0.6809
0.5,10002,30,SUS+MW,936.9,117.14,0.4606,0.5333,0.00046,4.0,5.169,74.096,0.6857
0.5,10002,30,SU+CQI,-6819.2,90.92,0.3688,0.6267,0.00086,1.0,1.83,65.813,0.4022
0.1,10003,27,PPO-Mixed,3717.8,35.97,0.7983,0.2002,0.0,1.897,2.317,6.175,0.8746
0.1,10003,27,SUS+CQI,3184.8,34.58,0.7284,0.2401,0.0,3.628,2.969,7.854,0.8813
0.1,10003,27,SUS+MW,3217.5,34.62,0.7324,0.2346,0.0,3.645,2.982,7.889,0.882
0.1,10003,27,SU+CQI,3553.0,35.93,0.7837,0.2156,0.0,1.0,1.704,5.126,0.8702
0.22,10003,27,PPO-Mixed,5262.5,66.46,0.6779,0.3163,0.0,2.801,2.783,18.491,0.7499
0.22,10003,27,SUS+CQI,4382.8,64.02,0.6262,0.3499,0.0,3.986,3.154,20.744,0.7643
0.22,10003,27,SUS+MW,4207.3,63.45,0.6169,0.3581,0.0,3.988,3.204,21.032,0.7587
0.22,10003,27,SU+CQI,3633.8,61.59,0.6193,0.3777,0.0,1.0,1.776,16.933,0.6881
0.33,10003,27,PPO-Mixed,4891.2,87.25,0.5944,0.3994,0.00022,3.256,3.285,33.395,0.6925
0.33,10003,27,SUS+CQI,3882.6,84.24,0.5562,0.4291,0.00022,3.997,3.486,35.469,0.6969
0.33,10003,27,SUS+MW,3545.4,82.96,0.5447,0.4427,0.00022,3.998,3.64,36.363,0.6933
0.33,10003,27,SU+CQI,1216.6,75.14,0.5079,0.4893,0.00022,1.0,1.756,31.418,0.5647
0.45,10003,27,PPO-Mixed,2818.1,102.74,0.5129,0.4797,0.00033,3.473,3.809,51.507,0.6366
0.45,10003,27,SUS+CQI,2072.3,100.96,0.4909,0.497,0.00033,3.994,3.912,52.99,0.6437
0.45,10003,27,SUS+MW,1523.3,98.51,0.4777,0.5113,0.00025,3.995,4.2,54.68,0.6393
0.45,10003,27,SU+CQI,-2186.1,86.11,0.4323,0.5634,0.0005,1.0,1.711,47.509,0.469
0.5,10003,27,PPO-Mixed,1401.7,107.31,0.4828,0.5086,0.00052,3.512,4.002,60.238,0.6188
0.5,10003,27,SUS+CQI,613.4,105.17,0.4627,0.5269,0.00059,4.0,4.176,61.997,0.6245
0.5,10003,27,SUS+MW,37.4,102.47,0.4496,0.5395,0.00059,4.0,4.473,63.955,0.6177
0.5,10003,27,SU+CQI,-4114.9,89.17,0.4041,0.5904,0.00103,1.0,1.852,56.151,0.4391
0.1,10004,32,PPO-Mixed,5767.8,46.65,0.9213,0.0774,0.0,2.012,2.133,4.628,0.9567
0.1,10004,32,SUS+CQI,5552.5,46.28,0.8934,0.0893,0.0,3.127,2.558,5.856,0.9657
0.1,10004,32,SUS+MW,5546.1,46.24,0.8921,0.0944,0.0,3.115,2.55,5.841,0.9664
0.1,10004,32,SU+CQI,5282.6,45.44,0.8821,0.1169,0.0,1.0,1.678,4.036,0.9389
0.22,10004,32,PPO-Mixed,8317.0,85.72,0.7476,0.2464,0.0,3.318,2.874,19.493,0.8511
0.22,10004,32,SUS+CQI,7655.6,83.87,0.7124,0.2705,0.0,3.973,3.113,21.125,0.8663
0.22,10004,32,SUS+MW,7304.8,82.96,0.6967,0.2887,0.0,3.98,3.258,22.076,0.8664
0.22,10004,32,SU+CQI,4738.9,73.61,0.6381,0.3593,0.0,1.0,1.731,18.935,0.7211
0.33,10004,32,PPO-Mixed,7801.0,109.84,0.6371,0.3565,0.0,3.766,3.379,37.821,0.7692
0.33,10004,32,SUS+CQI,7460.9,110.1,0.6238,0.3681,0.0,3.998,3.387,38.337,0.7844
0.33,10004,32,SUS+MW,6381.3,106.04,0.5922,0.3992,0.0,3.999,3.7,41.113,0.7737
0.33,10004,32,SU+CQI,1691.7,89.36,0.5145,0.4819,0.0,1.0,1.686,36.706,0.5867
0.45,10004,32,PPO-Mixed,6265.0,130.98,0.5645,0.4295,0.00028,3.898,3.676,56.28,0.6965
0.45,10004,32,SUS+CQI,6058.1,131.59,0.5574,0.437,0.00028,3.999,3.664,56.519,0.7096
0.45,10004,32,SUS+MW,4557.7,125.58,0.5257,0.4676,0.00021,4.0,4.11,60.734,0.7005
0.45,10004,32,SU+CQI,-2331.1,101.69,0.4388,0.5577,0.00042,1.0,1.611,54.433,0.4729
0.5,10004,32,PPO-Mixed,4896.9,137.87,0.5307,0.4639,0.00075,3.911,3.875,66.689,0.6735
0.5,10004,32,SUS+CQI,4742.1,138.64,0.5255,0.4689,0.00082,4.0,3.835,66.865,0.6806
0.5,10004,32,SUS+MW,3226.0,132.46,0.4968,0.4973,0.00082,4.0,4.422,72.033,0.6781
0.5,10004,32,SU+CQI,-4246.2,106.59,0.4141,0.5817,0.00088,1.0,1.667,63.986,0.4384
0.1,10005,19,PPO-Mixed,3061.3,26.96,0.8612,0.1367,0.0,1.53,1.978,3.021,0.943
0.1,10005,19,SUS+CQI,2987.3,26.92,0.8438,0.152,0.0,2.796,2.363,3.702,0.9476
0.1,10005,19,SUS+MW,2979.0,26.9,0.8422,0.1531,0.0,2.792,2.397,3.758,0.9475
0.1,10005,19,SU+CQI,3075.8,27.26,0.8639,0.134,0.0,1.0,1.588,2.395,0.9381
0.22,10005,19,PPO-Mixed,5613.6,54.56,0.7915,0.2062,0.0,2.01,2.119,9.356,0.8424
0.22,10005,19,SUS+CQI,4808.9,52.16,0.7252,0.2573,0.0,3.835,2.847,12.444,0.8515
0.22,10005,19,SUS+MW,4828.7,52.12,0.7264,0.2589,0.0,3.843,2.921,12.67,0.85
