baseline,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked
SU+PF,10003,4933.6703,63.18,55.8667,0.6868,0.3113,0.0,1.0,0.6555,0.9057,1.0903
SU+PF,10004,6684.8397,78.5061,69.8987,0.7164,0.282,0.0,1.0,0.7288,0.9286,1.0684
SU+PF,10005,7888.3691,71.6527,67.8428,0.8486,0.15,0.0,1.0,0.7177,0.917,1.0795
SU+PF,10006,6361.2877,62.1471,58.7312,0.8035,0.1954,0.0,1.0,0.6392,0.9005,1.0952
SU+PF,10007,6565.3218,59.7582,56.0473,0.8459,0.1527,0.0,1.0,0.7729,0.889,1.1073
SU+Random,10000,2297.1895,41.6105,37.1497,0.5972,0.3995,0.0,1.0,0.5967,0.8406,1.1445
SU+Random,10001,2997.5498,50.1099,40.7632,0.6065,0.3889,0.0,1.0,0.7689,0.8584,1.1343
SU+Random,10002,2404.8035,49.7887,39.5322,0.5669,0.4296,0.0,1.0,0.7748,0.8545,1.1331
SU+Random,10003,2135.339,45.4724,36.1922,0.5622,0.4354,0.0,1.0,0.715,0.8465,1.1387
SU+Random,10004,3449.5653,57.9872,46.8936,0.6037,0.3924,0.0,1.0,0.8078,0.8648,1.1229
SU+Random,10005,5166.7589,51.7899,47.0322,0.7853,0.2129,0.0,1.0,0.7822,0.8726,1.1175
SU+Random,10006,3270.3763,41.7712,36.8424,0.6832,0.313,0.0006,1.0,0.6816,0.8432,1.1474
SU+Random,10007,4390.7554,44.2396,39.6018,0.7811,0.2162,0.0003,1.0,0.8138,0.8459,1.1463
