seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10016,SU+Rnd,-2882.4401,60.4581,47.9263,28.6976,0.3656,0.6283,0.0,1.0,0.7885
10016,SUS+CQI,7605.7104,98.2005,92.2481,10.4999,0.6836,0.3132,0.0001,3.9958,0.7683
10016,SUS+DPF,5370.5521,91.6416,81.393,10.6812,0.6066,0.3891,0.0,4.0,0.7929
10016,SUS+PF,5329.4486,92.1517,81.5533,10.6346,0.6081,0.3882,0.0,3.9996,0.7921
10016,SUS+Rnd,3703.1889,85.9511,74.5605,10.6159,0.5579,0.4374,0.0,4.0,0.7535
10017,PPO,6000.2209,83.9477,81.2879,10.448,0.6587,0.338,0.0,3.0357,0.7293
10017,SU+CQI,3921.603,76.523,74.1031,29.1448,0.5953,0.4012,0.0,1.0,0.6603
10017,SU+DPF,1855.8645,69.3282,62.8476,29.1976,0.5089,0.486,0.0,1.0,0.743
10017,SU+PF,1947.3826,71.5261,63.9556,29.1633,0.5202,0.4757,0.0,1.0,0.7382
10017,SU+Rnd,-2717.0287,55.2262,43.6643,28.0846,0.3626,0.6319,0.0,1.0,0.7711
10017,SUS+CQI,4920.6427,82.8347,76.0128,8.5714,0.6144,0.3822,0.0,3.9875,0.7479
10017,SUS+DPF,3383.516,78.3593,68.3878,8.6212,0.5573,0.4386,0.0,3.9969,0.766
10017,SUS+PF,3336.6831,78.6312,68.579,8.6325,0.5576,0.4384,0.0,3.9954,0.7664
10017,SUS+Rnd,1889.9763,73.7006,62.3034,9.0099,0.5084,0.4869,0.0,3.9994,0.725
10018,PPO,2955.3764,100.2362,97.6282,12.3529,0.5383,0.4582,0.0,3.2888,0.5833
10018,SU+CQI,-1805.4739,82.0866,79.7984,27.4687,0.4384,0.5577,0.0,1.0,0.5085
10018,SU+DPF,-7366.9968,62.5668,51.5634,27.0781,0.2893,0.7044,0.0,1.0,0.6565
10018,SU+PF,-7573.3884,66.2616,51.859,27.3418,0.295,0.6993,0.0,1.0,0.6453
10018,SU+Rnd,-12168.4828,49.1563,33.6948,25.286,0.195,0.799,0.0,1.0,0.6781
