seed,n_active,mean_speed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,total_fail_rate,mu_depth,jain
10006,19,15.4,PPO-L2b,7852.3,70.03,17.68,0.8533,0.1453,0.0,0.1453,1.288,0.6474
10006,19,15.4,SUS+CQI,6524.0,60.24,7.75,0.8189,0.1341,0.0444,0.1784,3.989,0.6873
10006,19,15.4,SUS+Deadline-PF,5919.5,57.63,7.69,0.7917,0.1381,0.0686,0.2067,3.993,0.6633
10006,19,15.4,SUS+PF,5876.1,57.54,7.62,0.7899,0.1361,0.072,0.208,3.994,0.6684
10006,19,15.4,SUS+Random,5295.3,53.17,7.33,0.7725,0.1616,0.0637,0.2253,3.992,0.6672
10006,19,15.4,SU+CQI,8093.0,73.39,19.36,0.8469,0.1518,0.0,0.1518,1.0,0.6349
10006,19,15.4,SU+Deadline-PF,6803.6,63.62,19.05,0.8252,0.1733,0.0,0.1733,1.0,0.6475
10006,19,15.4,SU+PF,6782.9,65.66,19.14,0.81,0.1881,0.0,0.1881,1.0,0.6414
10006,19,15.4,SU+Random,3909.9,46.38,17.18,0.713,0.2851,0.0,0.2851,1.0,0.6803
10007,17,18.7,PPO-L2b,8461.8,69.56,14.82,0.9098,0.0889,0.0,0.0889,1.612,0.7824
10007,17,18.7,SUS+CQI,7121.8,59.64,7.27,0.8891,0.0631,0.0461,0.1092,3.825,0.8294
10007,17,18.7,SUS+Deadline-PF,7030.6,59.03,7.27,0.8851,0.0619,0.0512,0.1132,3.819,0.8314
10007,17,18.7,SUS+PF,7083.0,59.15,7.15,0.8861,0.0588,0.0539,0.1127,3.819,0.8307
10007,17,18.7,SUS+Random,6794.8,57.48,7.05,0.8788,0.0653,0.0544,0.1197,3.861,0.8217
10007,17,18.7,SU+CQI,8250.4,69.89,18.16,0.8908,0.1086,0.0,0.1086,1.0,0.7396
10007,17,18.7,SU+Deadline-PF,7691.3,63.93,18.16,0.9049,0.0935,0.0,0.0935,1.0,0.7846
10007,17,18.7,SU+PF,7380.0,64.89,18.13,0.8697,0.129,0.0,0.129,1.0,0.7863
10007,17,18.7,SU+Random,5315.9,50.01,16.52,0.8234,0.1743,0.0,0.1743,1.0,0.8275
10008,25,18.1,PPO-L2b,8085.1,76.24,17.33,0.8148,0.1835,0.0,0.1835,1.707,0.6037
10008,25,18.1,SUS+CQI,7531.5,71.79,9.91,0.7998,0.168,0.0307,0.1987,3.998,0.6543
10008,25,18.1,SUS+Deadline-PF,5483.8,60.13,9.86,0.7256,0.2141,0.0582,0.2723,4.0,0.5972
10008,25,18.1,SUS+PF,5480.9,61.7,9.88,0.7224,0.2096,0.0657,0.2752,4.0,0.6031
10008,25,18.1,SUS+Random,4421.4,54.43,9.11,0.6808,0.2536,0.0624,0.3159,4.0,0.6242
10008,25,18.1,SU+CQI,7601.6,77.41,21.63,0.7807,0.218,0.0,0.218,1.0,0.545
10008,25,18.1,SU+Deadline-PF,5689.7,60.36,21.05,0.7527,0.2456,0.0,0.2456,1.0,0.595
10008,25,18.1,SU+PF,5134.5,61.78,21.2,0.7105,0.2881,0.0,0.2881,1.0,0.5912
10008,25,18.1,SU+Random,2511.3,45.24,19.14,0.5951,0.4009,0.0,0.4009,1.0,0.6549
10009,30,17.5,PPO-L2b,12754.9,108.36,18.1,0.8846,0.114,0.0,0.114,2.356,0.7259
10009,30,17.5,SUS+CQI,12114.1,102.73,13.13,0.8778,0.0968,0.0233,0.1201,3.998,0.7613
10009,30,17.5,SUS+Deadline-PF,10743.7,94.0,13.19,0.8462,0.116,0.0358,0.1518,4.0,0.7404
10009,30,17.5,SUS+PF,10729.8,96.18,13.27,0.8361,0.1237,0.0382,0.1618,3.999,0.7417
10009,30,17.5,SUS+Random,8460.7,80.43,12.36,0.7922,0.1648,0.0403,0.2051,4.0,0.7533
10009,30,17.5,SU+CQI,9318.8,92.9,25.12,0.7883,0.2098,0.0,0.2098,1.0,0.5581
10009,30,17.5,SU+Deadline-PF,8011.2,74.32,24.29,0.8141,0.1837,0.0,0.1837,1.0,0.7277
10009,30,17.5,SU+PF,6728.1,77.76,24.57,0.7256,0.2727,0.0,0.2727,1.0,0.7093
