seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
20060,PPO,6891.9975,98.7939,97.1467,13.8933,0.6563,0.3407,0.0,2.871,0.7023
20060,SUS+CQI,5914.616,97.4646,92.5769,12.5267,0.6245,0.3724,0.0,3.9807,0.7074
20060,SUS+DPF,2527.7573,86.2342,76.8138,12.6883,0.5214,0.4746,0.0001,3.9992,0.7215
20060,SUS+PF,2418.6639,87.0737,76.6546,12.6169,0.521,0.4754,0.0,3.9973,0.7193
20060,SUS+Rnd,1709.0536,84.0426,73.45,12.6969,0.5009,0.4952,0.0,3.9992,0.6914
20060,SU+CQI,2254.1161,82.0421,79.4367,24.634,0.5338,0.4632,0.0,1.0,0.5963
20060,SU+DPF,-1710.7886,66.4506,59.1363,23.681,0.4021,0.5927,0.0,1.0,0.7333
20060,SU+PF,-1906.6208,68.8683,59.312,23.9305,0.4079,0.5876,0.0001,1.0,0.7198
20060,SU+Rnd,-5355.5186,57.3603,44.045,22.4936,0.3108,0.6841,0.0,1.0,0.7391
20061,PPO,6088.0019,98.3602,96.4681,10.8078,0.6295,0.3683,0.0,3.1117,0.6841
20061,SUS+CQI,5729.8113,99.7862,94.4892,9.7401,0.6137,0.3843,0.0,3.9741,0.6996
20061,SUS+DPF,2682.7169,90.6496,79.5957,9.6382,0.5205,0.4758,0.0001,3.9986,0.7168
20061,SUS+PF,2723.1553,91.5861,80.4744,9.5748,0.5263,0.4706,0.0,3.9979,0.7144
20061,SUS+Rnd,785.2325,84.8015,71.6055,9.5074,0.4715,0.5248,0.0002,3.9994,0.6857
20061,SU+CQI,1394.9627,81.5051,78.7196,27.2118,0.5105,0.4871,0.0,1.0,0.5782
20061,SU+DPF,-1695.1126,69.6324,61.3039,26.1986,0.4029,0.5926,0.0,1.0,0.7291
20061,SU+PF,-1879.8566,72.3066,62.0766,26.4793,0.4117,0.5845,0.0001,1.0,0.7212
20061,SU+Rnd,-6073.5645,58.9465,43.3669,25.0168,0.2966,0.6987,0.0001,1.0,0.7351
20062,PPO,2840.0173,66.2461,64.6265,13.9354,0.574,0.4225,0.0001,2.3302,0.6138
20062,SUS+CQI,1997.4967,65.1797,60.8633,10.2576,0.5371,0.4593,0.0001,3.9741,0.6131
20062,SUS+DPF,1033.188,62.378,56.4242,10.4295,0.4978,0.4984,0.0,3.9886,0.6127
20062,SUS+PF,1028.7946,62.5207,56.5026,10.3793,0.4987,0.4978,0.0,3.9872,0.612
