world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
P055,SUS+CQI-Feasible,30017,-843.8643,108.6424,105.7068,0.4635,0.5324,3.8129,0.5396
P055,SUS+CQI@m=3,30017,-1762.9183,107.1671,101.2029,0.4431,0.5529,3.0,0.5229
P055,SUS-RPS,30018,-27.5135,100.037,99.734,0.4817,0.514,3.0887,0.5429
P055,SUS+CQI-Feasible,30018,188.123,103.3467,101.1262,0.482,0.5138,3.7452,0.5426
P055,SUS+CQI@m=3,30018,-489.2197,102.6333,97.9017,0.4646,0.5313,3.0,0.5291
P055,SUS-RPS,30019,-5981.9348,90.6943,90.301,0.3839,0.611,2.9903,0.6028
P055,SUS+CQI-Feasible,30019,-2274.8631,112.0436,106.9769,0.4395,0.5564,3.9297,0.5442
P055,SUS+CQI@m=3,30019,-3254.1525,109.6702,102.7083,0.4203,0.5753,3.0,0.5215
P055,SUS-RPS,30020,-3873.9234,108.4652,107.9862,0.4181,0.5773,2.8269,0.5674
P055,SUS+CQI-Feasible,30020,1723.5637,134.8356,131.8292,0.5035,0.493,3.8498,0.5546
P055,SUS+CQI@m=3,30020,605.4451,132.0725,126.968,0.4838,0.5128,3.0,0.5358
P055,SUS-RPS,30021,6451.0974,113.5169,112.4397,0.6167,0.38,2.6349,0.6465
P055,SUS+CQI-Feasible,30021,6584.4498,113.7151,112.9967,0.6203,0.3763,3.3148,0.6529
P055,SUS+CQI@m=3,30021,5993.567,113.3946,109.8386,0.6016,0.3948,2.9973,0.6534
P055,SUS-RPS,30022,3151.729,95.0892,94.4831,0.552,0.4445,3.0929,0.625
P055,SUS+CQI-Feasible,30022,3722.9812,99.1475,97.4226,0.5612,0.4356,3.713,0.627
P055,SUS+CQI@m=3,30022,3043.2111,98.3313,93.7622,0.5397,0.4568,2.9975,0.6165
P055,SUS-RPS,30023,-3014.8783,102.2455,101.6703,0.4283,0.5666,2.7158,0.6325
P055,SUS+CQI-Feasible,30023,2579.7126,130.0526,125.7265,0.5177,0.4788,3.9011,0.5939
P055,SUS+CQI@m=3,30023,1273.1393,126.5687,120.1594,0.4935,0.5029,2.9999,0.5694
P055,SUS-RPS,30024,2238.6055,89.0733,88.2296,0.532,0.4643,2.7512,0.5887
P055,SUS+CQI-Feasible,30024,2380.3582,91.1532,89.412,0.5348,0.462,3.5388,0.5882
P055,SUS+CQI@m=3,30024,1760.4465,91.2685,85.1715,0.5113,0.4854,2.9977,0.5925
P055,SUS-RPS,30025,8497.7239,124.5621,124.2595,0.6509,0.3459,3.196,0.7266
P055,SUS+CQI-Feasible,30025,8581.2645,128.8953,124.9314,0.6459,0.351,3.8366,0.7368
P055,SUS+CQI@m=3,30025,7558.1102,127.167,120.0673,0.6192,0.3778,2.9996,0.7191
P055,SUS-RPS,30026,-2493.8258,100.4849,99.8,0.433,0.5613,2.7115,0.6098
P055,SUS+CQI-Feasible,30026,2134.1045,124.3357,119.7816,0.5104,0.4854,3.8693,0.5904
P055,SUS+CQI@m=3,30026,1242.3845,122.4578,115.6878,0.492,0.5037,3.0,0.5724
P055,SUS-RPS,30027,5429.6783,113.3842,112.8203,0.5879,0.4083,3.1641,0.6532
P055,SUS+CQI-Feasible,30027,5995.5013,117.3839,115.6297,0.598,0.3992,3.6947,0.6535
P055,SUS+CQI@m=3,30027,5010.0117,115.5936,110.8399,0.5726,0.4243,2.9999,0.6421
P055,SUS-RPS,30028,9625.3866,103.2358,102.4826,0.7501,0.2473,2.9445,0.8178
P055,SUS+CQI-Feasible,30028,9711.8671,105.0399,102.6995,0.7473,0.2497,3.6978,0.8366
P055,SUS+CQI@m=3,30028,9142.6819,105.1166,99.5584,0.7224,0.2748,2.9898,0.828
P055,SUS-RPS,30029,3460.0209,89.0104,88.0275,0.5667,0.4302,2.6565,0.6187
P055,SUS+CQI-Feasible,30029,3410.2196,89.9567,87.9334,0.5625,0.4344,3.5383,0.6282
