threshold,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
0.9,10014,9733.6817,87.825,0.8408,0.1497,0.0079,3.7697,0.6863
0.5,10015,10617.4119,92.4546,0.8584,0.1054,0.0347,3.9966,0.739
0.6,10015,10959.9965,94.4097,0.8676,0.1047,0.0261,3.9944,0.7412
0.7,10015,11016.9225,95.1104,0.8694,0.1064,0.023,3.9819,0.7397
0.8,10015,10687.6904,92.9486,0.8638,0.1197,0.0145,3.9369,0.7373
0.9,10015,10460.5785,92.1879,0.8576,0.138,0.0023,3.6407,0.7228
0.5,10016,11362.5995,94.1054,0.8958,0.0748,0.028,3.9749,0.7903
0.6,10016,11531.0665,95.42,0.8987,0.0756,0.0245,3.9761,0.7982
0.7,10016,11539.0868,95.4386,0.9003,0.0793,0.0185,3.9494,0.7985
0.8,10016,11592.2434,96.1425,0.8995,0.0802,0.0187,3.8906,0.7917
0.9,10016,11302.115,94.4954,0.898,0.0948,0.0062,3.5669,0.7931
0.5,10017,8262.5152,66.2761,0.9248,0.0531,0.0203,3.7353,0.8407
0.6,10017,8338.4906,67.0547,0.9266,0.0563,0.0157,3.7144,0.8476
0.7,10017,8398.7532,66.5445,0.9372,0.0509,0.0103,3.608,0.8535
0.8,10017,8422.1218,67.5592,0.9327,0.0611,0.0046,3.4252,0.8409
0.9,10017,8357.7716,67.2445,0.928,0.0709,0.0,2.909,0.8415
0.5,10018,9198.6235,83.846,0.8261,0.1521,0.0197,3.9983,0.7007
0.6,10018,9299.6757,84.4485,0.8291,0.1477,0.0214,3.9989,0.6955
0.7,10018,9327.7072,84.7537,0.831,0.1542,0.013,3.9967,0.6992
0.8,10018,9163.4765,84.1843,0.8265,0.1589,0.0128,3.9846,0.6967
0.9,10018,8459.4831,80.4094,0.8041,0.1849,0.0081,3.799,0.6812
0.5,10019,12066.7578,104.6222,0.8601,0.1099,0.0282,3.9997,0.716
0.6,10019,12187.9436,105.4311,0.8635,0.1144,0.0204,3.999,0.7192
0.7,10019,12125.3507,105.1451,0.8649,0.1161,0.0176,3.9972,0.7306
0.8,10019,12197.9835,105.9857,0.8641,0.1233,0.0106,3.9841,0.7174
0.9,10019,11315.5458,101.3533,0.8438,0.1486,0.0053,3.7405,0.7023
