seed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10007,PPO,8409.5865,67.9625,13.1417,0.9223,0.0764,0.0,2.0947,0.8068
10007,SUS+CQI,7121.7892,59.6407,7.2738,0.8891,0.0631,0.0461,3.8251,0.8294
10007,SUS+DPF,7030.5787,59.0348,7.2697,0.8851,0.0619,0.0512,3.8187,0.8314
10007,SUS+PF,7083.0381,59.1533,7.1467,0.8861,0.0588,0.0539,3.8192,0.8307
10007,SUS+Rnd,6794.7703,57.4754,7.0539,0.8788,0.0653,0.0544,3.8606,0.8217
10007,SU+CQI,8250.4213,69.887,18.1622,0.8908,0.1086,0.0,1.0,0.7396
10007,SU+DPF,7691.281,63.9257,18.1639,0.9049,0.0935,0.0,1.0,0.7846
10007,SU+PF,7379.9782,64.8947,18.1315,0.8697,0.129,0.0,1.0,0.7863
10007,SU+Rnd,5315.8982,50.015,16.5194,0.8234,0.1743,0.0,1.0,0.8275
10008,PPO,8348.1326,76.4193,14.3717,0.8322,0.1664,0.0,2.5428,0.6452
10008,SUS+CQI,7531.522,71.7869,9.9094,0.7998,0.168,0.0307,3.9983,0.6543
10008,SUS+DPF,5483.8096,60.1333,9.8561,0.7256,0.2141,0.0582,3.9996,0.5972
10008,SUS+PF,5480.9355,61.697,9.8816,0.7224,0.2096,0.0657,3.9996,0.6031
10008,SUS+Rnd,4421.4266,54.4314,9.1095,0.6808,0.2536,0.0624,3.9996,0.6242
10008,SU+CQI,7601.5772,77.4067,21.629,0.7807,0.218,0.0,1.0,0.545
10008,SU+DPF,5689.6754,60.3636,21.0494,0.7527,0.2456,0.0,1.0,0.595
10008,SU+PF,5134.5134,61.7784,21.2013,0.7105,0.2881,0.0,1.0,0.5912
10008,SU+Rnd,2511.2828,45.2435,19.1415,0.5951,0.4009,0.0,1.0,0.6549
10009,PPO,13090.9465,108.7935,16.1909,0.8992,0.0997,0.0,2.9596,0.7628
10009,SUS+CQI,12114.0952,102.7266,13.1318,0.8778,0.0968,0.0233,3.9975,0.7613
10009,SUS+DPF,10743.717,93.9983,13.1906,0.8462,0.116,0.0358,3.9998,0.7404
10009,SUS+PF,10729.7675,96.1803,13.266,0.8361,0.1237,0.0382,3.9989,0.7417
10009,SUS+Rnd,8460.7472,80.4341,12.3645,0.7922,0.1648,0.0403,3.9998,0.7533
10009,SU+CQI,9318.8488,92.9012,25.1158,0.7883,0.2098,0.0,1.0,0.5581
10009,SU+DPF,8011.2473,74.3151,24.285,0.8141,0.1837,0.0,1.0,0.7277
10009,SU+PF,6728.0834,77.7585,24.5671,0.7256,0.2727,0.0,1.0,0.7093
10009,SU+Rnd,4002.8089,59.0554,22.4466,0.6382,0.3577,0.0,1.0,0.7892
10010,PPO,5210.9618,49.1586,13.7487,0.8162,0.1819,0.0,1.8592,0.6239
10010,SUS+CQI,4174.8784,43.1633,6.464,0.7577,0.1903,0.0496,3.9875,0.6333
10010,SUS+DPF,3838.439,41.3058,6.3718,0.7346,0.2105,0.0524,3.9918,0.6012
10010,SUS+PF,3780.4074,41.2648,6.4416,0.731,0.2158,0.0504,3.994,0.6065
10010,SUS+Rnd,3260.4465,37.8896,6.2296,0.7037,0.2379,0.0554,3.9948,0.5979
10010,SU+CQI,5917.728,55.7722,17.9991,0.8225,0.1763,0.0,1.0,0.6014
10010,SU+DPF,5131.8485,50.7521,18.1235,0.7967,0.202,0.0,1.0,0.5891
10010,SU+PF,4963.2282,51.0526,18.0046,0.7792,0.2187,0.0,1.0,0.5941
10010,SU+Rnd,2638.4217,35.8595,16.469,0.6664,0.3305,0.0,1.0,0.6273
10011,PPO,10420.0078,85.8653,17.3095,0.9075,0.0916,0.0,2.2622,0.7682
10011,SUS+CQI,9193.5323,78.2322,11.4501,0.8754,0.0822,0.0406,3.9793,0.7776
