seed,sched,n_arrivals,n_buffer_overflow,n_offered,buffer_overflow_rate,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate
20084,PPO,6970,0,6970,0.0,7091.7462513005485,81.93888407360511,80.537424,0.7229555236728837,0.27489239598278337,0.00014347202295552367
20084,SUS+CQI,6970,0,6970,0.0,6322.988029501125,80.64608934566536,76.84081,0.6893830703012912,0.3084648493543759,0.0
20085,PPO,13822,7,13829,0.0005061826596283173,4435.839172536014,124.4005094296916,121.15481,0.5546230646794964,0.4421936043987845,0.0
20085,SUS+CQI,13822,7,13829,0.0005061826596283173,3943.2222507739643,126.16262120382119,118.607732,0.5395022428013312,0.4571697294168717,0.0
20086,PPO,12664,4,12668,0.00031575623618566466,3657.8651800321772,112.74218539510504,111.428254,0.5488787113076438,0.4485154769425142,7.896399241945672e-05
20086,SUS+CQI,12664,4,12668,0.00031575623618566466,2996.837311790595,112.504608785443,107.996962,0.5311118130132659,0.4662034112444725,0.0
20087,PPO,14308,11,14319,0.0007682100705356519,3326.2743672941056,123.90855977084935,119.432898,0.5306821358680458,0.4661028795079676,0.0
20087,SUS+CQI,14308,8,14316,0.0005588153115395362,3113.5621749036104,126.8226945376055,119.011388,0.5225747833379927,0.4744897959183674,0.0
20088,PPO,8206,3,8209,0.00036545255207698867,1853.0147076141318,70.85125320939989,69.576736,0.5338776504996344,0.46331952230075557,0.0
20088,SUS+CQI,8206,4,8210,0.00048721071863581,1405.0790863217612,69.57999852957926,67.620134,0.5187667560321716,0.47818669266390446,0.00012186205215695832
20089,PPO,2841,0,2841,0.0,3318.65113672389,34.687578291885075,33.370674,0.762055614220345,0.2365364308342133,0.0
20089,SUS+CQI,2841,0,2841,0.0,2615.9931682940824,33.87831356598777,30.361412,0.6856740584301302,0.31221400915170716,0.00035198873636043646
20090,PPO,7693,0,7693,0.0,4518.992208971057,76.86479376773076,74.991716,0.6199142077213051,0.3773560379565839,0.00012998830105290525
20090,SUS+CQI,7693,0,7693,0.0,3736.2845333519344,76.5428569987755,71.411078,0.5865072143507084,0.41050305472507476,0.0002599766021058105
20091,PPO,8028,0,8028,0.0,5738.4499529952445,84.02500815947637,82.387194,0.6519681116093672,0.34566517189835577,0.00012456402590931738
20091,SUS+CQI,8028,0,8028,0.0,4883.55978007665,83.21515288539159,78.321252,0.6184603886397608,0.37917289486796213,0.0
20092,PPO,6202,0,6202,0.0,6777.004161610431,74.282988749212,73.054988,0.7433086101257659,0.25491776846178654,0.00016123831022250886
20092,SUS+CQI,6202,0,6202,0.0,6117.6629151713005,73.70231616113928,69.91425,0.7092873266688166,0.2886165752982909,0.00016123831022250886
20093,PPO,6080,0,6080,0.0,6916.601119025714,73.91658532955215,73.095154,0.7546052631578948,0.24276315789473685,0.0001644736842105263
20093,SUS+CQI,6080,0,6080,0.0,6628.954521701356,73.42225466914032,71.679876,0.7396381578947369,0.2567434210526316,0.0008223684210526315
20094,PPO,4563,0,4563,0.0,4933.291870003341,54.54363831181444,53.307596,0.7392066622835853,0.2583826429980276,0.0
20094,SUS+CQI,4563,0,4563,0.0,4304.528749141681,54.27217560890571,50.426562,0.6938417707648477,0.3022134560596099,0.0010957703265395574
20095,PPO,14636,5,14641,0.00034150672768253537,2317.7067949224393,122.39005884458665,119.320596,0.514894779994534,0.4815523367040175,0.0
20095,SUS+CQI,14636,8,14644,0.0005462988254575252,1551.286886127905,122.629607737357,115.778136,0.4977452855971577,0.49877015578026784,0.0
20096,PPO,3484,0,3484,0.0,4763.943062017874,45.63383273778505,44.575198,0.8071182548794489,0.19001148105625718,0.0008610792192881745
20096,SUS+CQI,3484,0,3484,0.0,4456.419261320915,45.15140115570683,43.122608,0.7809988518943742,0.2158438576349024,0.001148105625717566
20097,PPO,6401,1,6402,0.00015620118712902218,5410.1386764193585,70.36257464911417,68.429582,0.6808311201374785,0.31713794719575067,0.0
20097,SUS+CQI,6401,1,6402,0.00015620118712902218,4769.940602930087,71.30111422054954,65.27779,0.6434932041868459,0.35416341196688017,0.0
20098,PPO,7672,0,7672,0.0,3844.737300405453,74.11169376791723,72.775674,0.5986704900938478,0.3971584984358707,0.00013034410844629823
20098,SUS+CQI,7672,0,7672,0.0,3045.482582372508,72.98387025909146,68.786524,0.5660844629822732,0.42935349322210636,0.0
20099,PPO,12971,1,12972,7.70891150169596e-05,4209.367869637482,116.59531816657946,113.380096,0.5553157042633567,0.44160049340837254,0.0
20099,SUS+CQI,12971,1,12972,7.70891150169596e-05,3707.7932124123436,118.2617398247613,110.739522,0.5393570272145556,0.4574820753989669,0.0
