seed,K_act,p_a,speed_mean,ev_gae_all,ev_mc_all,bias,g_mean,g_sd
60000,22,0.23267271262327777,21.83344158671649,0.15221107286775026,-0.0014296516880685228,-42.71127675838437,463.6947816784181,20.091254441950774
60001,18,0.2706632550764272,21.471548168050933,0.32920973197562664,0.04343282292067274,-345.7497922948232,151.36881100281914,26.737878230863885
60002,26,0.42129593310033997,24.37752396411507,0.3266412490241726,0.11690459254762142,18.16057453103747,493.02651364410946,22.915807791357366
60003,16,0.32811823758460734,23.02413355543566,0.07931274083233175,0.010831625856415394,-214.34806450290216,285.20591638437463,16.407533520331636
60004,28,0.46468518043964324,24.750181813674594,0.31402775017380224,0.05543955341101692,-307.5546880105207,142.3269712737985,30.45995685847284
60005,17,0.4603914326752383,20.749960925554355,0.2617195526541414,0.11012872136558349,-27.887078915200277,463.3154557876457,41.09015106387389
60006,18,0.3201036064311429,20.696883892646568,0.31877950415177925,0.06341840713546065,-282.39777273252787,214.04367602409886,30.776111257927727
60007,29,0.4007367049991184,18.204146274705195,0.4414595047033135,0.17635031236853738,-42.145733746740405,424.4168830919873,37.81467542758532
60008,17,0.47130282596567796,22.66572284922802,0.3180769517827513,0.0985169446411922,-136.3968696181143,349.88766708145323,15.679777583150877
60009,22,0.39674692835696357,27.2330222139427,0.12044593626643674,0.013936957391111782,86.30105877597998,575.8885732064348,36.35937210781055
60010,25,0.4025796515396416,23.032467464592152,0.09053244385494852,-0.026114644980279378,-71.58043784828163,404.1613744598936,20.032784002166082
60011,30,0.29700387918798615,23.388196336683443,0.27795718392946267,0.05022944919177241,51.56610960926025,534.6327998907195,28.973532934575484
60012,16,0.19121119927170582,27.394511426179534,-0.6824259996343756,-0.19276303302889208,99.21720804835604,633.4640404109398,17.882573639070912
60013,19,0.2339902313230694,22.440583804422122,0.190954733970632,0.020859068876986187,-273.79416947561623,228.50425703805564,21.7510987893793
60014,29,0.2865286954142691,21.046363867384564,0.32294180254712324,0.09693330236342379,2.740236289715199,488.54377419254723,32.66968809944204
60015,20,0.2528296355646828,25.57653493222135,0.3049963346457991,0.14051914291240586,-145.64198878883184,357.9991884921391,20.689306817870712
60016,26,0.2724814134884299,20.958356934321095,0.24391042558837095,0.02453344204829866,44.5659988649914,539.2762102646147,16.94112804770093
60017,32,0.4211280354578416,23.036968490789135,0.3050639825678657,0.1119133996378312,-205.92908454635307,247.0528744205833,23.343684580286013
60018,26,0.350485672643519,23.540465480112683,0.2555363625252153,-0.041199292957140754,10.860872975901145,494.8370846109458,21.56509582034204
60019,24,0.3367623167698069,24.65165470737677,0.22342060209117143,0.08991268930482144,-54.00533444830069,431.73614138177743,20.512336867050298
60020,27,0.2910126965147297,24.502971081081817,0.16828651116330806,-0.025795606873282306,52.4766469191361,545.2477343476378,23.74212177092635
60021,31,0.34651233856926045,21.38615405901941,0.4044460711152311,0.13885371376043354,-97.85570609267631,374.182547822293,42.712199680527156
60022,24,0.2830124536930716,21.18641926982275,0.15967572651808537,-0.08401751732504059,69.24144876971815,567.856388475703,21.533804762471505
60023,16,0.30279398849595973,21.946207258391233,0.016399923708517394,-0.0979969101023419,73.25310186031061,587.9393011575344,21.58206047018437
60024,26,0.19310835180361524,22.978029404704028,0.08678415239356085,-0.020975410151347518,133.06659528743216,646.4521616500856,25.89270884260399
60025,18,0.39725355477186125,22.372966216314442,0.3405407361895806,0.13941402384399992,-70.85724411681912,423.16328087271773,21.5337083226115
60026,23,0.44661949688418046,20.927013639327292,0.3451903335214114,0.09414273650912364,-183.69976442174487,290.72037979561003,33.5185223548087
60027,22,0.37553643808571024,23.250471946412095,0.26488255259650595,0.05007091089156268,-85.1557176196846,399.5390917762417,23.731373848303672
60028,23,0.4953232156159919,21.268143661532328,0.32179267652300914,0.10812213766873424,-185.42406470259266,282.77630142115174,45.581523449956414
60029,21,0.27588520784641013,21.218617204210616,0.3034239640774963,0.10872622248626651,-127.26124590343704,371.4073753123833,27.823455781310255
60030,28,0.43465660439577547,21.104797634177427,0.3110388820781872,0.14059412010471906,-36.660835036769186,428.7710094456527,30.79010586293924
60031,25,0.4608131431633492,23.24010841855717,0.2860093927049755,0.11329184554331895,-48.21443861052353,420.91298117184255,26.363300218610746
60032,16,0.45746207871931566,20.989320894779166,0.28914480850396207,0.11388920509505807,-72.76746940212354,421.0042490862972,30.115582127940435
60033,29,0.3490044211746141,20.87135274104118,0.24552603229399783,0.0352815728636523,-194.28193129287638,278.89333063513703,23.11433745309475
60034,27,0.31917045321871074,23.684300124050406,0.32602050345957667,0.0697620759229226,-235.375298333173,245.1756380769135,18.119502582737677
60035,22,0.36496951648476794,19.994342313379306,0.3134010122693949,0.06410853170578112,-299.54367691331987,180.6717851664095,32.538950581106214
60036,22,0.15834196640236073,22.77001048581632,0.03636975964670164,-0.011820008932879267,-81.21101299047831,436.7119818302527,16.398841275436485
60037,20,0.454306276500943,20.606645417262875,0.2740770415553614,0.032119709323648715,-195.6532740519071,287.62305420388253,26.07314902552552
60038,17,0.3474484161760522,22.876670428229204,0.1947361583541296,-0.08040475747973108,188.97565134900685,696.9380865645481,25.418480333686844
60039,16,0.4750613403904914,19.80600382855744,0.0732258315191392,-0.026768670553505514,447.2069139065141,949.854135455412,21.374643709924065
