p_arrival,scheduler,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
0.4,SUS+PF,10001,-43.3769,91.9562,76.1782,0.4509,0.5443,3.9999
0.4,SUS+PF,10002,-2820.5525,93.1643,73.7757,0.3916,0.6034,4.0
0.4,SUS+PF,10003,-2566.3656,82.3892,67.0586,0.3935,0.6014,3.9997
0.4,SUS+Random,10000,-458.1466,75.403,69.2544,0.4539,0.5415,3.9101
0.4,SUS+Random,10001,-697.5763,89.049,73.4298,0.4348,0.5602,4.0
0.4,SUS+Random,10002,-4352.6668,88.0534,66.968,0.3573,0.6372,3.9996
0.4,SUS+Random,10003,-3770.2732,77.7808,61.9803,0.3653,0.6296,3.9994
0.4,SUS+MW,10000,2717.0737,86.8873,83.2973,0.5427,0.4542,3.9949
0.4,SUS+MW,10001,5166.4457,109.0398,99.8392,0.5766,0.4197,3.9998
0.4,SUS+MW,10002,2857.9434,111.9552,99.2727,0.5106,0.4849,3.9999
0.4,SUS+MW,10003,1838.333,97.093,86.4536,0.499,0.4966,3.9998
0.4,SUS+EDF,10000,-5832.3896,52.6446,45.2027,0.2982,0.6952,3.9145
0.4,SUS+EDF,10001,-4917.418,69.2256,54.5379,0.3229,0.6704,3.9999
0.4,SUS+EDF,10002,-9207.8947,65.3632,45.7106,0.2463,0.7476,3.9995
0.4,SUS+EDF,10003,-7771.4125,59.2143,43.7308,0.2599,0.7339,3.9997
0.4,SU+CQI,10000,2039.6492,82.7186,81.2558,0.5294,0.4674,1.0
0.4,SU+CQI,10001,533.3506,86.0193,84.3928,0.4895,0.5065,1.0
0.4,SU+CQI,10002,-1880.6477,87.3826,84.7594,0.438,0.5578,1.0
0.4,SU+CQI,10003,-359.5191,83.3393,80.8059,0.4673,0.5288,1.0
0.4,SU+Deadline-PF,10000,-2915.0832,63.7733,58.9323,0.3841,0.6105,1.0
0.4,SU+Deadline-PF,10001,-4663.0725,66.9013,56.9253,0.3363,0.6573,1.0
0.4,SU+Deadline-PF,10002,-7016.0137,68.2071,56.5897,0.3003,0.6937,1.0
0.4,SU+Deadline-PF,10003,-5610.1378,63.9853,54.1636,0.3179,0.6762,1.0
0.4,SU+PF,10000,-2587.6981,67.3399,60.8789,0.4009,0.5947,1.0
0.4,SU+PF,10001,-5060.7439,70.3306,56.5311,0.3403,0.6541,1.0
0.4,SU+PF,10002,-7342.5917,72.1968,56.6565,0.3068,0.6876,1.0
0.4,SU+PF,10003,-5768.7406,67.7331,54.5649,0.3251,0.6697,1.0
0.4,SU+Random,10000,-7764.4622,47.4295,39.6299,0.2658,0.7286,1.0
0.4,SU+Random,10001,-9335.6743,55.8141,38.7235,0.2397,0.7547,1.0
0.4,SU+Random,10002,-11866.4583,56.4557,38.2177,0.2116,0.7825,1.0
0.4,SU+Random,10003,-10235.6031,51.7477,36.3259,0.2208,0.7734,1.0
0.4,SU+MW,10000,1916.0187,82.574,80.5508,0.5232,0.4731,1.0
0.4,SU+MW,10001,-658.5869,83.0412,78.5754,0.4481,0.547,1.0
0.4,SU+MW,10002,-3626.7757,82.4,76.8631,0.3879,0.6068,1.0
0.4,SU+MW,10003,-1620.5924,79.8216,74.9222,0.4265,0.5685,1.0
0.4,SU+EDF,10000,-15493.4103,14.831,11.3984,0.0772,0.9162,1.0
0.4,SU+EDF,10001,-14047.1823,29.4472,24.8205,0.1452,0.8481,1.0
0.4,SU+EDF,10002,-17772.6962,24.5015,20.324,0.1082,0.8856,1.0
0.4,SU+EDF,10003,-13693.4276,30.8412,25.4325,0.1502,0.8434,1.0
0.4,PPO,10000,2866.6964,85.4888,84.2055,0.5515,0.4451,2.7946
0.4,PPO,10001,5914.736,106.501,103.6566,0.6105,0.3863,3.4823
0.4,PPO,10002,3950.3651,107.937,104.2913,0.5566,0.4398,3.6854
0.4,PPO,10003,2834.4734,94.4027,91.5594,0.5405,0.4557,3.4127
0.5,SUS+CQI,10000,2738.7903,104.9865,101.9508,0.5309,0.4659,3.9991
0.5,SUS+CQI,10001,4868.5582,125.8643,119.0072,0.5607,0.4373,3.9994
0.5,SUS+CQI,10002,2093.9081,129.7293,121.0702,0.5024,0.4938,3.9999
0.5,SUS+CQI,10003,867.1023,112.9883,103.7321,0.4831,0.5119,3.9999
0.5,SUS+Deadline-PF,10000,-4079.8006,79.3172,72.3642,0.3799,0.6151,3.9737
0.5,SUS+Deadline-PF,10001,-4759.0891,91.0917,76.2322,0.3601,0.6353,4.0
0.5,SUS+Deadline-PF,10002,-8836.0374,91.3538,70.3042,0.2993,0.6943,4.0
0.5,SUS+Deadline-PF,10003,-7369.7906,82.8285,67.1654,0.3162,0.6767,3.9998
0.5,SUS+PF,10000,-3866.3069,82.1959,73.5249,0.3868,0.6083,3.9797
0.5,SUS+PF,10001,-5033.4299,94.879,74.521,0.3591,0.6368,4.0
0.5,SUS+PF,10002,-8971.0291,95.3872,70.9938,0.3037,0.6903,4.0
0.5,SUS+PF,10003,-7309.0095,86.3252,68.0365,0.3225,0.671,3.9998
0.5,SUS+Random,10000,-3018.9325,84.9546,76.2554,0.402,0.5927,3.9116
0.5,SUS+Random,10001,-4771.6269,95.1842,76.1083,0.3645,0.6316,4.0
0.5,SUS+Random,10002,-9937.0636,91.4606,66.6514,0.2876,0.7067,3.9997
0.5,SUS+Random,10003,-7518.0908,85.2138,67.3349,0.3186,0.6748,4.0
0.5,SUS+MW,10000,2814.3882,105.5899,102.1257,0.5314,0.4651,3.9997
0.5,SUS+MW,10001,4258.6175,124.684,115.522,0.5401,0.4575,4.0
0.5,SUS+MW,10002,-193.4549,123.3554,110.1537,0.4528,0.5424,4.0
0.5,SUS+MW,10003,376.4021,111.9935,101.609,0.4681,0.5263,3.9999
0.5,SUS+EDF,10000,-10269.6339,54.2408,45.2954,0.2416,0.7519,3.925
0.5,SUS+EDF,10001,-9578.9639,72.0127,55.8152,0.2673,0.7278,4.0
0.5,SUS+EDF,10002,-15525.9098,64.5638,43.7881,0.1926,0.801,3.9996
0.5,SUS+EDF,10003,-12686.0081,61.437,45.1957,0.2162,0.7766,3.9998
0.5,SU+CQI,10000,-120.285,92.9612,91.1719,0.4749,0.5211,1.0
0.5,SU+CQI,10001,-3475.5285,90.563,88.7577,0.4162,0.5807,1.0
0.5,SU+CQI,10002,-6339.6191,92.9964,90.776,0.3766,0.6189,1.0
0.5,SU+CQI,10003,-3699.2926,90.9489,88.9685,0.4119,0.5826,1.0
0.5,SU+Deadline-PF,10000,-7078.9874,65.1393,59.6555,0.3137,0.6801,1.0
0.5,SU+Deadline-PF,10001,-9810.6588,67.6403,55.9167,0.2678,0.7275,1.0
0.5,SU+Deadline-PF,10002,-13053.9344,68.7247,54.8768,0.2364,0.7572,1.0
0.5,SU+Deadline-PF,10003,-10876.1814,64.6359,53.5809,0.2533,0.7394,1.0
0.5,SU+PF,10000,-6738.405,69.5823,62.0235,0.3292,0.6654,1.0
0.5,SU+PF,10001,-10325.2831,71.6277,54.5686,0.2682,0.7276,1.0
0.5,SU+PF,10002,-13535.2754,72.9344,54.4481,0.2382,0.7557,1.0
0.5,SU+PF,10003,-10940.7573,68.3707,55.2215,0.2637,0.7296,1.0
0.5,SU+Random,10000,-12195.136,48.9574,40.2365,0.2164,0.7775,1.0
0.5,SU+Random,10001,-14564.378,56.6165,38.2053,0.19,0.8056,1.0
0.5,SU+Random,10002,-17886.7552,57.7569,37.3059,0.1667,0.8269,1.0
0.5,SU+Random,10003,-15682.4089,52.1582,35.4494,0.175,0.8178,1.0
0.5,SU+MW,10000,-364.3894,91.8651,89.5567,0.4634,0.5318,1.0
0.5,SU+MW,10001,-4838.2299,86.5884,82.327,0.3778,0.6185,1.0
0.5,SU+MW,10002,-8399.4004,86.9872,81.1323,0.3297,0.6646,1.0
0.5,SU+MW,10003,-5072.4606,86.5117,82.2463,0.3758,0.6175,1.0
0.5,SU+EDF,10000,-20628.2622,13.7191,9.9298,0.053,0.9404,1.0
0.5,SU+EDF,10001,-19176.4894,29.9607,25.1412,0.1191,0.8761,1.0
0.5,SU+EDF,10002,-24174.5075,23.1221,19.3001,0.083,0.9106,1.0
0.5,SU+EDF,10003,-19237.5266,30.4467,25.3753,0.12,0.8727,1.0
0.5,PPO,10000,2910.6806,104.2435,103.0462,0.5376,0.4591,2.8737
0.5,PPO,10001,5071.472,123.1918,120.2015,0.5708,0.427,3.5311
0.5,PPO,10002,1081.6832,120.8004,116.5109,0.4944,0.5016,3.7936
0.5,PPO,10003,1138.8954,109.1902,105.7123,0.4978,0.4973,3.5056
