seed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10007,PPO,8409.5865,67.9625,13.1417,0.9223,0.0764,0.0,2.0947,0.8068
10007,SU+CQI,8250.4213,69.887,18.1622,0.8908,0.1086,0.0,1.0,0.7396
10007,SU+DPF,7691.281,63.9257,18.1639,0.9049,0.0935,0.0,1.0,0.7846
10007,SU+PF,7379.9782,64.8947,18.1315,0.8697,0.129,0.0,1.0,0.7863
10007,SU+Rnd,5315.8982,50.015,16.5194,0.8234,0.1743,0.0,1.0,0.8275
10007,SUS+CQI,7341.7665,60.4011,7.7331,0.906,0.0735,0.0185,3.6639,0.8393
10007,SUS+DPF,7362.3086,60.9625,7.8851,0.9014,0.0744,0.022,3.6643,0.8365
10007,SUS+PF,7361.1646,61.3125,7.8483,0.8968,0.0751,0.0262,3.6721,0.8372
10007,SUS+Rnd,7033.6568,58.596,7.4708,0.8935,0.0756,0.0291,3.727,0.8351
10008,PPO,8348.1326,76.4193,14.3717,0.8322,0.1664,0.0,2.5428,0.6452
10008,SU+CQI,7601.5772,77.4067,21.629,0.7807,0.218,0.0,1.0,0.545
10008,SU+DPF,5689.6754,60.3636,21.0494,0.7527,0.2456,0.0,1.0,0.595
10008,SU+PF,5134.5134,61.7784,21.2013,0.7105,0.2881,0.0,1.0,0.5912
10008,SU+Rnd,2511.2828,45.2435,19.1415,0.5951,0.4009,0.0,1.0,0.6549
10008,SUS+CQI,7471.8472,71.7505,9.9944,0.7961,0.1754,0.0264,3.991,0.6537
10008,SUS+DPF,5926.5618,62.7866,9.9572,0.7447,0.2039,0.049,3.9969,0.6108
10008,SUS+PF,5848.3264,63.6207,9.9319,0.7358,0.2141,0.047,3.9971,0.6156
10008,SUS+Rnd,4721.7012,55.5111,9.2813,0.6989,0.2511,0.0479,3.9978,0.6234
10009,PPO,13090.9465,108.7935,16.1909,0.8992,0.0997,0.0,2.9596,0.7628
10009,SU+CQI,9318.8488,92.9012,25.1158,0.7883,0.2098,0.0,1.0,0.5581
10009,SU+DPF,8011.2473,74.3151,24.285,0.8141,0.1837,0.0,1.0,0.7277
10009,SU+PF,6728.0834,77.7585,24.5671,0.7256,0.2727,0.0,1.0,0.7093
10009,SU+Rnd,4002.8089,59.0554,22.4466,0.6382,0.3577,0.0,1.0,0.7892
10009,SUS+CQI,12237.6624,103.8504,13.2326,0.8788,0.1048,0.0147,3.9825,0.7654
10009,SUS+DPF,11297.1356,97.4186,13.2273,0.8627,0.1158,0.0195,3.993,0.7545
10009,SUS+PF,11291.2864,98.8416,13.2926,0.8568,0.123,0.0186,3.9889,0.7564
10009,SUS+Rnd,9189.7457,84.9562,12.7469,0.8152,0.1544,0.0283,3.9978,0.7494
10010,PPO,5210.9618,49.1586,13.7487,0.8162,0.1819,0.0,1.8592,0.6239
10010,SU+CQI,5917.728,55.7722,17.9991,0.8225,0.1763,0.0,1.0,0.6014
10010,SU+DPF,5131.8485,50.7521,18.1235,0.7967,0.202,0.0,1.0,0.5891
10010,SU+PF,4963.2282,51.0526,18.0046,0.7792,0.2187,0.0,1.0,0.5941
10010,SU+Rnd,2638.4217,35.8595,16.469,0.6664,0.3305,0.0,1.0,0.6273
10010,SUS+CQI,4202.7147,43.2088,6.7371,0.7616,0.2014,0.0348,3.9489,0.6269
10010,SUS+DPF,3986.4107,41.9605,6.7762,0.7508,0.2167,0.0304,3.957,0.6076
10010,SUS+PF,3946.5948,41.8795,6.6961,0.7461,0.2133,0.0373,3.9587,0.6131
10010,SUS+Rnd,3334.6827,38.733,6.4474,0.7043,0.2551,0.0368,3.9757,0.5964
10011,PPO,10420.0078,85.8653,17.3095,0.9075,0.0916,0.0,2.2622,0.7682
10011,SU+CQI,9510.325,84.8476,23.6786,0.8551,0.1441,0.0,1.0,0.6601
10011,SU+DPF,8197.0904,71.6456,23.3321,0.864,0.1342,0.0,1.0,0.7272
10011,SU+PF,7795.5685,73.9032,23.3579,0.8204,0.1781,0.0,1.0,0.7211
10011,SU+Rnd,5302.921,56.4315,21.6567,0.7565,0.2414,0.0,1.0,0.7827
10011,SUS+CQI,9395.634,79.6368,11.9204,0.8814,0.0895,0.0279,3.9196,0.7755
10011,SUS+DPF,8971.9988,76.7403,11.8484,0.8718,0.0921,0.0339,3.9275,0.7731
10011,SUS+PF,9134.6792,78.0869,11.9516,0.875,0.0908,0.0329,3.9356,0.7676
10011,SUS+Rnd,8237.6121,72.2976,11.5873,0.8523,0.1074,0.0384,3.9472,0.7646
10012,PPO,6475.3708,59.8372,17.8698,0.8306,0.1678,0.0,1.2912,0.6039
10012,SU+CQI,6995.0689,64.4495,19.4134,0.8361,0.1625,0.0,1.0,0.6073
10012,SU+DPF,5789.549,55.4595,19.0989,0.811,0.1873,0.0,1.0,0.5982
10012,SU+PF,5891.0679,57.3908,19.2287,0.8043,0.1948,0.0,1.0,0.5981
10012,SU+Rnd,3598.1239,40.5623,17.6295,0.7318,0.2661,0.0,1.0,0.6157
10012,SUS+CQI,4900.1041,48.6796,7.7871,0.7871,0.1908,0.02,3.9582,0.6159
10012,SUS+DPF,4881.5015,48.7413,7.8752,0.7838,0.1905,0.0236,3.9678,0.6085
10012,SUS+PF,4961.8109,49.2396,7.9671,0.787,0.1882,0.023,3.9533,0.6092
