config,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
CSI02-cont,SUS+CQI@0.60,30000,2853.0,51.82,47.43,0.604,0.3832,3.991
CSI02-cont,SUS+CQI@0.60,30001,2570.5,79.39,73.62,0.5396,0.4517,3.998
CSI02-cont,SUS+CQI@0.60,30002,1631.3,109.33,103.2,0.5012,0.4944,4.0
CSI02-cont,SUS+CQI@0.60,30003,1665.7,38.4,34.53,0.5678,0.4224,3.992
CSI02-cont,SUS+CQI@0.60,30004,3143.8,70.17,64.71,0.5694,0.4205,4.0
CSI02-cont,SUS+CQI@0.60,30005,3996.1,69.42,64.7,0.6095,0.3783,3.972
CSI02-cont,SUS+CQI@0.60,30006,4479.7,99.09,93.91,0.5748,0.4195,3.96
CSI02-cont,SUS+CQI@0.60,30007,4035.8,56.75,54.69,0.663,0.3261,3.974
CSI02-cont,SUS+CQI@0.65,30000,2831.5,51.73,47.36,0.6028,0.3834,3.989
CSI02-cont,SUS+CQI@0.65,30001,2581.6,79.43,73.63,0.5399,0.4517,4.0
CSI02-cont,SUS+CQI@0.65,30002,1730.1,110.04,103.42,0.5025,0.4934,4.0
CSI02-cont,SUS+CQI@0.65,30003,1643.4,38.4,34.43,0.5659,0.4239,3.986
CSI02-cont,SUS+CQI@0.65,30004,3209.9,70.35,64.9,0.5715,0.4177,3.989
CSI02-cont,SUS+CQI@0.65,30005,3980.4,69.43,64.6,0.6089,0.3789,3.988
CSI02-cont,SUS+CQI@0.65,30006,4575.4,99.6,94.16,0.5768,0.4174,3.962
CSI02-cont,SUS+CQI@0.65,30007,4052.1,56.76,54.77,0.664,0.3251,3.955
CSI02-cont,SUS+CQI@0.70,30000,2834.3,51.69,47.4,0.6036,0.383,3.984
CSI02-cont,SUS+CQI@0.70,30001,2599.5,79.46,73.82,0.5409,0.4516,3.994
CSI02-cont,SUS+CQI@0.70,30002,1786.5,110.34,103.65,0.5033,0.4927,4.0
CSI02-cont,SUS+CQI@0.70,30003,1639.8,38.33,34.4,0.5659,0.4242,3.978
CSI02-cont,SUS+CQI@0.70,30004,3232.1,70.29,65.05,0.5723,0.417,3.987
CSI02-cont,SUS+CQI@0.70,30005,3983.3,69.43,64.59,0.6091,0.3782,3.99
CSI02-cont,SUS+CQI@0.70,30006,4721.0,100.18,94.64,0.58,0.4142,3.981
CSI02-cont,SUS+CQI@0.70,30007,4042.2,56.75,54.73,0.6634,0.3253,3.931
CSI02-cont,SUS+CQI@0.75,30000,2791.3,51.55,47.23,0.6011,0.3855,3.967
CSI02-cont,SUS+CQI@0.75,30001,2581.0,79.37,73.73,0.5402,0.4523,3.98
CSI02-cont,SUS+CQI@0.75,30002,1947.7,110.86,104.28,0.5063,0.4896,4.0
CSI02-cont,SUS+CQI@0.75,30003,1617.8,38.28,34.29,0.5641,0.4255,3.96
CSI02-cont,SUS+CQI@0.75,30004,3181.3,70.3,64.74,0.5703,0.4195,3.981
CSI02-cont,SUS+CQI@0.75,30005,3940.6,69.37,64.28,0.6067,0.3797,3.988
CSI02-cont,SUS+CQI@0.75,30006,4746.1,100.51,94.67,0.5799,0.4147,3.985
CSI02-cont,SUS+CQI@0.75,30007,4038.2,56.75,54.69,0.6632,0.3257,3.88
CSI02-cont,SUS+CQI@0.80,30000,2755.6,51.39,47.13,0.5995,0.3867,3.914
CSI02-cont,SUS+CQI@0.80,30001,2423.2,79.02,73.06,0.5347,0.4569,3.937
CSI02-cont,SUS+CQI@0.80,30002,1852.7,110.64,103.63,0.5042,0.4913,3.999
CSI02-cont,SUS+CQI@0.80,30003,1568.7,38.24,34.01,0.56,0.4302,3.893
CSI02-cont,SUS+CQI@0.80,30004,3009.5,69.74,64.01,0.5637,0.425,3.955
CSI02-cont,SUS+CQI@0.80,30005,3872.0,69.17,64.01,0.6037,0.383,3.978
CSI02-cont,SUS+CQI@0.80,30006,4744.2,100.55,94.45,0.5794,0.4144,3.991
CSI02-cont,SUS+CQI@0.80,30007,4052.3,56.77,54.8,0.6642,0.3243,3.794
CSI02-cont,SU+CQI,30000,3073.3,51.19,48.86,0.622,0.3731,1.0
CSI02-cont,SU+CQI,30001,971.3,70.55,68.75,0.5031,0.4928,1.0
CSI02-cont,SU+CQI,30002,-6215.4,76.63,74.74,0.3615,0.6346,1.0
CSI02-cont,SU+CQI,30003,1807.1,37.64,35.74,0.5844,0.412,1.0
CSI02-cont,SU+CQI,30004,870.9,59.21,56.81,0.5005,0.4955,1.0
CSI02-cont,SU+CQI,30005,2752.4,62.74,60.72,0.5719,0.4221,1.0
CSI02-cont,SU+CQI,30006,-1287.7,74.6,72.52,0.4444,0.5505,1.0
CSI02-cont,SU+CQI,30007,3891.6,55.49,54.23,0.658,0.3373,1.0
CSI02-cont,PPO,30000,3393.8,51.73,49.77,0.6399,0.351,2.419
CSI02-cont,PPO,30001,3243.7,79.65,76.85,0.5651,0.427,2.76
CSI02-cont,PPO,30002,2428.0,109.92,105.95,0.5189,0.4764,3.817
CSI02-cont,PPO,30003,2178.1,38.54,36.93,0.6106,0.3837,2.134
CSI02-cont,PPO,30004,3803.0,71.23,67.73,0.5963,0.3949,3.135
CSI02-cont,PPO,30005,4589.9,70.02,67.62,0.6377,0.3524,2.977
CSI02-cont,PPO,30006,4847.8,98.65,95.28,0.5868,0.4078,3.63
CSI02-cont,PPO,30007,4281.0,57.06,55.79,0.6776,0.3154,2.563
CSI02-cqi4,SUS+CQI@0.60,30000,2544.1,50.4,46.45,0.5908,0.3995,3.955
CSI02-cqi4,SUS+CQI@0.60,30001,2321.4,78.15,72.99,0.5339,0.4588,3.993
CSI02-cqi4,SUS+CQI@0.60,30002,797.5,106.66,99.76,0.485,0.511,4.0
CSI02-cqi4,SUS+CQI@0.60,30003,1401.7,37.09,33.59,0.5535,0.44,3.988
CSI02-cqi4,SUS+CQI@0.60,30004,2955.3,69.4,64.03,0.5633,0.4271,3.984
CSI02-cqi4,SUS+CQI@0.60,30005,3726.9,68.24,63.71,0.6008,0.3879,3.997
CSI02-cqi4,SUS+CQI@0.60,30006,3797.1,96.57,91.11,0.5582,0.4359,3.997
CSI02-cqi4,SUS+CQI@0.60,30007,3989.6,56.46,54.59,0.6617,0.3292,3.804
CSI02-cqi4,SUS+CQI@0.65,30000,2537.9,50.39,46.45,0.5904,0.3997,3.946
CSI02-cqi4,SUS+CQI@0.65,30001,2283.6,78.13,72.77,0.5325,0.4596,3.997
CSI02-cqi4,SUS+CQI@0.65,30002,947.2,107.3,100.24,0.4874,0.5085,4.0
CSI02-cqi4,SUS+CQI@0.65,30003,1384.5,37.08,33.5,0.5519,0.4416,3.982
