update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals
0,1502.6342250195148,49.27334757996074,0.7620320855614974,0.07754010695187166,0.15240641711229946,0,13.352104514516665,0.7595441256443602,0.7313885375136862,1122
1,971.2398879156844,37.55498713622653,0.6988577362409139,0.10799584631360332,0.18483904465212878,0,3.2746340768191073,0.7783637418139854,0.6560125267484785,963
2,1574.582988798036,48.90138324721865,0.792572463768116,0.08333333333333333,0.11684782608695653,0,9.123879716414471,0.8004479735839124,0.7670849919834057,1104
3,1290.4589379973304,42.55972245170758,0.7680722891566265,0.11144578313253012,0.11345381526104417,0,3.7245772133237907,0.8102046101357635,0.7479394335339107,996
4,1576.020522548816,47.28987158596241,0.8109125117591721,0.05738476011288805,0.1213546566321731,0,7.554381238037047,0.7866712885907394,0.7925919723386736,1063
5,1020.0575092680015,38.82457535548474,0.6980942828485457,0.09829488465396188,0.19759277833500502,0,5.460801759361416,0.7782344189218603,0.6426048986211583,997
6,1049.621753397449,39.18603424129585,0.6979591836734694,0.12551020408163266,0.17142857142857143,0,4.3508634494699026,0.7533738592246411,0.6789715857827829,980
7,992.9024727481999,38.793267064087274,0.6849451645064806,0.11665004985044865,0.1914257228315055,0,4.965149199183044,0.7343764553035936,0.6437568568527565,1003
8,1137.5511615922237,40.781167160827906,0.709,0.102,0.179,0,5.955559135753593,0.7175575252410388,0.7329701189106951,1000
9,1386.6796509450228,45.53852663131833,0.7632575757575758,0.08996212121212122,0.14393939393939395,0,7.623740542416572,0.7159548939225192,0.7685773910800092,1056
10,1593.4489422631784,49.513980139221296,0.791005291005291,0.07319223985890652,0.12962962962962962,0,16.04972259642031,0.7248767171463212,0.7513550364282335,1134
11,1320.9291794834603,44.16163811834077,0.7365328109696376,0.0901077375122429,0.16454456415279137,0,15.330248476900838,0.696354210678452,0.810495934802674,1021
12,1419.8056377218127,46.115468087723116,0.7668886774500476,0.08563273073263558,0.14176974310180782,0,13.939483345797361,0.7295326820683019,0.757012567323668,1051
13,1095.8863743088987,39.984812599201945,0.7015228426395939,0.10253807106598985,0.19289340101522842,0,11.59836409939044,0.7114154508593816,0.713998064441892,985
14,1108.294583807086,41.636514799105335,0.7010406811731315,0.11447492904446546,0.17786187322611163,0,11.003319920799502,0.7476187361474876,0.6175509062332329,1057
15,1394.6601409008326,47.33136171156367,0.7486388384754991,0.09528130671506352,0.15063520871143377,0,13.467444046671154,0.7742063800413154,0.6737456658795243,1102
16,914.8298689403866,37.17759608619436,0.6687116564417178,0.14008179959100203,0.18302658486707565,0,5.984372465243096,0.7477692654570315,0.647726642475933,978
17,1005.7896519653381,39.23486424941952,0.6837944664031621,0.13537549407114624,0.17094861660079053,0,8.11665643029137,0.7649378665577239,0.6418296842920331,1012
18,1147.6225306070212,41.755890211893224,0.7101879327398615,0.10187932739861523,0.17606330365974282,0,7.344150901207668,0.7284775573300853,0.6900565757547727,1011
19,1526.479878321514,46.1843139525366,0.8081510934393639,0.09741550695825049,0.08648111332007952,0,3.9155321598299553,0.7284074915915428,0.8389173906248791,1006
20,1302.4119079148018,43.76154718183945,0.7502458210422812,0.10226155358898721,0.14257620452310718,0,9.847464527031528,0.7424799456620664,0.7337174123461934,1017
21,1094.2888444799537,40.91754433282729,0.6923837784371909,0.11473788328387735,0.18595450049455983,0,9.937363034550932,0.7253208434148989,0.7178776694040636,1011
22,1010.0683482199286,37.554216947811966,0.6977730646871686,0.12937433722163308,0.16967126193001061,0,8.38743717201945,0.702562344545817,0.7084363134929602,943
23,1457.8271470179595,46.25250425291327,0.7767083734359962,0.0712223291626564,0.1424446583253128,0,7.348456080581195,0.7600074904898172,0.7564042947504254,1039
24,1605.5068852472941,48.84457640787759,0.8107109879963066,0.06740535549399815,0.11819021237303785,0,10.712467752092564,0.7230904421851247,0.7820143639561037,1083
25,1370.3935503710982,45.28402695445971,0.7504816955684007,0.0905587668593449,0.14932562620423892,0,8.74406573024498,0.7405002682339873,0.7268624931723606,1038
26,1364.120935827339,44.631963000263895,0.7588235294117647,0.08137254901960785,0.15294117647058825,0,10.855185353686359,0.7226114545053941,0.7736249237574556,1020
27,1103.4553432834336,39.08878259838972,0.7050592034445641,0.0968783638320775,0.18514531754574812,0,4.14072537247571,0.6764934665953442,0.8307155414140047,929
28,1485.3020138257789,45.85043014429716,0.7906976744186046,0.0872093023255814,0.1182170542635659,0,12.240194778288975,0.6906378077202316,0.8221575479695984,1032
29,1058.9232468993775,38.674198803229395,0.7011615628299894,0.1583949313621964,0.13093980992608237,0,6.5921070314775125,0.7140940877214744,0.7615503767564983,947
30,991.0227387931452,37.95382639297931,0.6798748696558915,0.12408759124087591,0.18665276329509906,0,5.26920473436765,0.70575366573108,0.696401126545233,959
31,1171.2981324646407,42.604350176863434,0.7174329501915708,0.12164750957854406,0.15613026819923373,0,10.33984385289298,0.7507947667188587,0.6450317703358487,1044
32,1047.6209217776548,39.1153224978805,0.7089627391742196,0.13595166163141995,0.1470292044310171,0,6.9236526899489235,0.7749535372515,0.6317327039988159,993
33,1458.3385560000265,47.96387169064919,0.7697841726618705,0.09082733812949641,0.13489208633093525,0,13.836989235998791,0.765172423156308,0.6797801510421657,1112
34,1189.1002937475553,43.05898760604714,0.7153488372093023,0.0986046511627907,0.18232558139534882,0,12.800370312073408,0.6891188072644403,0.6380809730717104,1075
35,1648.2170017286835,51.43311822124652,0.7918825561312608,0.07512953367875648,0.12607944732297063,0,21.323280642849586,0.7455382839100958,0.7340810367756487,1158
36,1195.7786424577562,42.5143676144278,0.718568665377176,0.11218568665377177,0.1644100580270793,0,14.052048773907552,0.7261442194865395,0.6747040539854158,1034
37,1185.2396774734113,42.268699668752255,0.7098943323727186,0.10566762728146013,0.17483189241114314,0,11.25350236979565,0.7070713965898358,0.686697978601321,1041
38,1376.8808694604368,44.96218741866165,0.7497648165569144,0.09407337723424271,0.14675446848541862,0,11.328503688970699,0.7041362712842919,0.732587009726607,1063
39,1599.1816406929054,48.38423179692535,0.8092485549132948,0.07321772639691715,0.11078998073217726,0,10.175923845660755,0.6852767074574274,0.8956469829565971,1038
40,1490.8972818183743,46.10803214868938,0.7863247863247863,0.08452041785375118,0.1177587844254511,0,8.44891167073075,0.7404478969364189,0.7626532186788475,1053
41,1285.4263421170265,44.14400099284711,0.7326923076923076,0.10480769230769231,0.1548076923076923,0,10.961759857308422,0.732495264892984,0.7009049858730619,1040
42,1139.187588994297,39.62644748143616,0.7274655355249204,0.11983032873807,0.14846235418875928,0,4.787933420169956,0.7064926760751955,0.7722518169130019,943
43,1342.7462861140282,44.57260909757875,0.7519685039370079,0.07578740157480315,0.16338582677165353,0,7.609838181913441,0.7421029134063389,0.7722694671493616,1016
44,827.9013852495585,34.82540224337516,0.6487907465825447,0.12723449001051526,0.21556256572029442,0,6.994638923734912,0.6958933535701739,0.6697381886278421,951
45,1695.606433823947,51.49779785671342,0.8120437956204379,0.06295620437956205,0.1177007299270073,0,10.93174402151082,0.7263291722650239,0.8257206514008774,1096
46,995.2775726399628,38.308826562455934,0.6838905775075987,0.1286727456940223,0.1773049645390071,0,4.803967415811059,0.7439712753838877,0.6478014854550068,987
47,1341.883466878,44.036040620096976,0.75,0.10700389105058365,0.13229571984435798,0,9.16579709529026,0.7351345688217764,0.749588280557863,1028
48,922.9549363804882,38.51135919448183,0.6624015748031497,0.125,0.20669291338582677,0,7.956210796239973,0.7326177897466521,0.5836541332344183,1016
49,842.1637258559106,34.94514189088131,0.6512875536480687,0.1298283261802575,0.20815450643776823,0,2.4551026070234148,0.6843912480397387,0.7130552733436338,932
50,984.2901264868314,37.82524420432771,0.6769865841073271,0.10939112487100103,0.20227038183694532,0,5.072543352179665,0.7004532787794396,0.7009757979252752,969
51,1279.029038004626,44.11274085936397,0.7231800766283525,0.09003831417624521,0.18199233716475097,0,15.140129490086158,0.6889730746039197,0.7619102909839784,1044
52,1680.4310281979879,49.30778059631939,0.8234183191690274,0.061378659112370164,0.10859301227573183,0,8.528298200620823,0.6970589812277466,0.8889860950582064,1059
53,2124.7605226393584,59.17645035387806,0.8809917355371901,0.045454545454545456,0.07024793388429752,0,13.431905373137543,0.7881560581212932,0.8481798724401441,1210
54,1317.1148213276022,43.765775804483354,0.7576335877862596,0.08874045801526717,0.14599236641221375,0,9.460576829415979,0.7392989738849333,0.7017991055249861,1048
55,1096.7566068897816,39.40076660576237,0.7253306205493387,0.10274669379450661,0.16378433367243134,0,7.797228240004897,0.7559382464396488,0.6716471701103027,983
56,1563.7012827153778,47.35865084401685,0.8122605363984674,0.07567049808429119,0.10632183908045977,0,12.33534592566449,0.7598403108325392,0.8209659212448257,1044
57,1257.7995773221437,42.56735392933164,0.7428003972194638,0.1012909632571996,0.14796425024826215,0,6.852755284272388,0.719105453134319,0.7408088199827952,1007
58,1556.5021752337307,49.05005248625411,0.7836846929422548,0.08065994500458296,0.12832263978001834,0,11.471455350424085,0.7032329962940375,0.8216323943555885,1091
59,1490.6864249017676,46.85037261135416,0.7875939849624061,0.08552631578947369,0.1212406015037594,0,9.943494380899105,0.7428856391800602,0.7873845485341491,1064
60,2002.3366475897326,56.06906975623991,0.8698979591836735,0.05442176870748299,0.06972789115646258,0,16.429245150563126,0.7505844077569865,0.858613081969577,1176
